,d2o 015 By Administrator Date Monday. December 13 2021,
Time,14:16:54,
Wavenumbers [1/cm],Transmittance %,
6420.000,10.984,
6419.000,11.0804,
6418.000,11.1796,
6417.000,11.2793,
6416.000,11.3798,
6415.000,11.4817,
6414.000,11.584,
6413.000,11.6855,
6412.000,11.788,
6411.000,11.893,
6410.000,11.9982,
6409.000,12.0997,
6408.000,12.1962,
6407.000,12.2906,
6406.000,12.3862,
6405.000,12.4845,
6404.000,12.586,
6403.000,12.6901,
6402.000,12.7955,
6401.000,12.9001,
6400.000,13.0025,
6399.000,13.1013,
6398.000,13.1973,
6397.000,13.2935,
6396.000,13.3933,
6395.000,13.4963,
6394.000,13.5998,
6393.000,13.7021,
6392.000,13.8033,
6391.000,13.9028,
6390.000,14.0004,
6389.000,14.0988,
6388.000,14.2019,
6387.000,14.309,
6386.000,14.4146,
6385.000,14.5155,
6384.000,14.6124,
6383.000,14.7054,
6382.000,14.7914,
6381.000,14.8709,
6380.000,14.9501,
6379.000,15.0336,
6378.000,15.1193,
6377.000,15.2035,
6376.000,15.2872,
6375.000,15.3722,
6374.000,15.4562,
6373.000,15.5352,
6372.000,15.6089,
6371.000,15.68,
6370.000,15.7503,
6369.000,15.8204,
6368.000,15.8907,
6367.000,15.9593,
6366.000,16.0227,
6365.000,16.0813,
6364.000,16.1386,
6363.000,16.1959,
6362.000,16.2503,
6361.000,16.3003,
6360.000,16.3497,
6359.000,16.4005,
6358.000,16.4485,
6357.000,16.4891,
6356.000,16.5236,
6355.000,16.555,
6354.000,16.583,
6353.000,16.6069,
6352.000,16.6302,
6351.000,16.6562,
6350.000,16.682,
6349.000,16.7033,
6348.000,16.72,
6347.000,16.7349,
6346.000,16.7471,
6345.000,16.7537,
6344.000,16.7551,
6343.000,16.7539,
6342.000,16.7502,
6341.000,16.7422,
6340.000,16.7301,
6339.000,16.715,
6338.000,16.6967,
6337.000,16.6749,
6336.000,16.651,
6335.000,16.6259,
6334.000,16.5987,
6333.000,16.5688,
6332.000,16.5379,
6331.000,16.5061,
6330.000,16.4694,
6329.000,16.4253,
6328.000,16.3759,
6327.000,16.3236,
6326.000,16.2672,
6325.000,16.2057,
6324.000,16.1438,
6323.000,16.0866,
6322.000,16.0335,
6321.000,15.9804,
6320.000,15.9256,
6319.000,15.8695,
6318.000,15.8101,
6317.000,15.7444,
6316.000,15.6728,
6315.000,15.5989,
6314.000,15.5251,
6313.000,15.4513,
6312.000,15.3771,
6311.000,15.3014,
6310.000,15.2226,
6309.000,15.14,
6308.000,15.0558,
6307.000,14.9719,
6306.000,14.8882,
6305.000,14.8043,
6304.000,14.7214,
6303.000,14.64,
6302.000,14.5574,
6301.000,14.4713,
6300.000,14.383,
6299.000,14.2955,
6298.000,14.2091,
6297.000,14.1222,
6296.000,14.0334,
6295.000,13.9414,
6294.000,13.8448,
6293.000,13.7451,
6292.000,13.6461,
6291.000,13.5499,
6290.000,13.4543,
6289.000,13.3578,
6288.000,13.2623,
6287.000,13.1695,
6286.000,13.0773,
6285.000,12.9834,
6284.000,12.889,
6283.000,12.7966,
6282.000,12.7045,
6281.000,12.6102,
6280.000,12.5153,
6279.000,12.4238,
6278.000,12.3363,
6277.000,12.2494,
6276.000,12.1614,
6275.000,12.0726,
6274.000,11.9827,
6273.000,11.8905,
6272.000,11.7974,
6271.000,11.7065,
6270.000,11.6193,
6269.000,11.5338,
6268.000,11.4476,
6267.000,11.3598,
6266.000,11.2699,
6265.000,11.1776,
6264.000,11.0848,
6263.000,10.9947,
6262.000,10.9091,
6261.000,10.8271,
6260.000,10.7465,
6259.000,10.666,
6258.000,10.5855,
6257.000,10.505,
6256.000,10.4247,
6255.000,10.3441,
6254.000,10.2621,
6253.000,10.1791,
6252.000,10.097,
6251.000,10.0182,
6250.000,9.9435,
6249.000,9.87224,
6248.000,9.80335,
6247.000,9.73512,
6246.000,9.66494,
6245.000,9.59099,
6244.000,9.51436,
6243.000,9.4382,
6242.000,9.36473,
6241.000,9.2939,
6240.000,9.22469,
6239.000,9.15655,
6238.000,9.08927,
6237.000,9.02241,
6236.000,8.95557,
6235.000,8.88904,
6234.000,8.82351,
6233.000,8.75896,
6232.000,8.6944,
6231.000,8.62926,
6230.000,8.56512,
6229.000,8.50505,
6228.000,8.45045,
6227.000,8.39943,
6226.000,8.34895,
6225.000,8.2978,
6224.000,8.24607,
6223.000,8.19308,
6222.000,8.13792,
6221.000,8.08185,
6220.000,8.02735,
6219.000,7.9745,
6218.000,7.92055,
6217.000,7.86414,
6216.000,7.80786,
6215.000,7.75532,
6214.000,7.70742,
6213.000,7.66266,
6212.000,7.61954,
6211.000,7.57699,
6210.000,7.53363,
6209.000,7.48867,
6208.000,7.44282,
6207.000,7.39724,
6206.000,7.35212,
6205.000,7.30752,
6204.000,7.26466,
6203.000,7.2249,
6202.000,7.18758,
6201.000,7.15039,
6200.000,7.11199,
6199.000,7.07317,
6198.000,7.03515,
6197.000,6.99786,
6196.000,6.96037,
6195.000,6.92264,
6194.000,6.88605,
6193.000,6.85183,
6192.000,6.81931,
6191.000,6.78665,
6190.000,6.75357,
6189.000,6.72215,
6188.000,6.69396,
6187.000,6.66739,
6186.000,6.63968,
6185.000,6.61058,
6184.000,6.58213,
6183.000,6.55502,
6182.000,6.52796,
6181.000,6.50094,
6180.000,6.47621,
6179.000,6.45468,
6178.000,6.43387,
6177.000,6.41138,
6176.000,6.38833,
6175.000,6.36715,
6174.000,6.34765,
6173.000,6.32775,
6172.000,6.30701,
6171.000,6.28666,
6170.000,6.26656,
6169.000,6.24496,
6168.000,6.22187,
6167.000,6.20006,
6166.000,6.18195,
6165.000,6.16703,
6164.000,6.15348,
6163.000,6.14075,
6162.000,6.12919,
6161.000,6.11805,
6160.000,6.10548,
6159.000,6.09079,
6158.000,6.07552,
6157.000,6.06208,
6156.000,6.05149,
6155.000,6.04295,
6154.000,6.03515,
6153.000,6.0276,
6152.000,6.0204,
6151.000,6.01335,
6150.000,6.00592,
6149.000,5.99805,
6148.000,5.9903,
6147.000,5.98338,
6146.000,5.97777,
6145.000,5.97382,
6144.000,5.97143,
6143.000,5.9698,
6142.000,5.9681,
6141.000,5.96611,
6140.000,5.96381,
6139.000,5.96082,
6138.000,5.95734,
6137.000,5.95494,
6136.000,5.95496,
6135.000,5.95629,
6134.000,5.95658,
6133.000,5.95601,
6132.000,5.95784,
6131.000,5.96444,
6130.000,5.9748,
6129.000,5.98688,
6128.000,6.00034,
6127.000,6.01506,
6126.000,6.0284,
6125.000,6.03668,
6124.000,6.03927,
6123.000,6.03985,
6122.000,6.04347,
6121.000,6.05292,
6120.000,6.06737,
6119.000,6.08342,
6118.000,6.09812,
6117.000,6.11129,
6116.000,6.12477,
6115.000,6.13909,
6114.000,6.15269,
6113.000,6.16512,
6112.000,6.17908,
6111.000,6.19707,
6110.000,6.2175,
6109.000,6.23653,
6108.000,6.25314,
6107.000,6.26982,
6106.000,6.28867,
6105.000,6.30917,
6104.000,6.33041,
6103.000,6.35318,
6102.000,6.37868,
6101.000,6.40636,
6100.000,6.43423,
6099.000,6.46092,
6098.000,6.4868,
6097.000,6.51339,
6096.000,6.54205,
6095.000,6.57311,
6094.000,6.60587,
6093.000,6.6392,
6092.000,6.67181,
6091.000,6.70242,
6090.000,6.73094,
6089.000,6.76008,
6088.000,6.79414,
6087.000,6.83484,
6086.000,6.87908,
6085.000,6.92199,
6084.000,6.96153,
6083.000,6.99901,
6082.000,7.03611,
6081.000,7.07348,
6080.000,7.11222,
6079.000,7.15471,
6078.000,7.20306,
6077.000,7.2571,
6076.000,7.31424,
6075.000,7.3707,
6074.000,7.42354,
6073.000,7.47228,
6072.000,7.51893,
6071.000,7.56571,
6070.000,7.61317,
6069.000,7.66085,
6068.000,7.70893,
6067.000,7.75814,
6066.000,7.80807,
6065.000,7.85706,
6064.000,7.9044,
6063.000,7.95239,
6062.000,8.00518,
6061.000,8.06516,
6060.000,8.13035,
6059.000,8.19616,
6058.000,8.26,
6057.000,8.32309,
6056.000,8.38734,
6055.000,8.45194,
6054.000,8.51502,
6053.000,8.57727,
6052.000,8.64091,
6051.000,8.70575,
6050.000,8.76923,
6049.000,8.83116,
6048.000,8.89492,
6047.000,8.963,
6046.000,9.03426,
6045.000,9.10658,
6044.000,9.17933,
6043.000,9.25149,
6042.000,9.32079,
6041.000,9.38696,
6040.000,9.45346,
6039.000,9.52346,
6038.000,9.59634,
6037.000,9.67043,
6036.000,9.74655,
6035.000,9.82604,
6034.000,9.90721,
6033.000,9.98722,
6032.000,10.0661,
6031.000,10.146,
6030.000,10.2278,
6029.000,10.3106,
6028.000,10.3942,
6027.000,10.4783,
6026.000,10.5616,
6025.000,10.6429,
6024.000,10.7243,
6023.000,10.8083,
6022.000,10.895,
