,d2o 166 By Administrator Date Wednesday. December 15 2021,
Time,16:38:58,
Wavenumbers [1/cm],Transmittance %,
6258.000,11.6099,
6257.000,11.5691,
6256.000,11.5286,
6255.000,11.4889,
6254.000,11.4495,
6253.000,11.41,
6252.000,11.3707,
6251.000,11.3308,
6250.000,11.2883,
6249.000,11.2431,
6248.000,11.1977,
6247.000,11.1541,
6246.000,11.1115,
6245.000,11.0677,
6244.000,11.0217,
6243.000,10.9729,
6242.000,10.9214,
6241.000,10.8679,
6240.000,10.8139,
6239.000,10.7602,
6238.000,10.7074,
6237.000,10.6572,
6236.000,10.6111,
6235.000,10.5671,
6234.000,10.5206,
6233.000,10.4701,
6232.000,10.4183,
6231.000,10.3682,
6230.000,10.3188,
6229.000,10.2685,
6228.000,10.2174,
6227.000,10.1662,
6226.000,10.1145,
6225.000,10.0624,
6224.000,10.0117,
6223.000,9.96321,
6222.000,9.91539,
6221.000,9.86588,
6220.000,9.81351,
6219.000,9.75735,
6218.000,9.69666,
6217.000,9.63329,
6216.000,9.57195,
6215.000,9.51616,
6214.000,9.46529,
6213.000,9.41665,
6212.000,9.36867,
6211.000,9.32081,
6210.000,9.27213,
6209.000,9.22148,
6208.000,9.16814,
6207.000,9.11194,
6206.000,9.05401,
6205.000,8.99736,
6204.000,8.94444,
6203.000,8.89413,
6202.000,8.84344,
6201.000,8.79246,
6200.000,8.74424,
6199.000,8.69942,
6198.000,8.65438,
6197.000,8.60626,
6196.000,8.55622,
6195.000,8.50637,
6194.000,8.45655,
6193.000,8.40607,
6192.000,8.35561,
6191.000,8.30537,
6190.000,8.25413,
6189.000,8.20206,
6188.000,8.15163,
6187.000,8.10339,
6186.000,8.05413,
6185.000,8.0019,
6184.000,7.94971,
6183.000,7.90097,
6182.000,7.8538,
6181.000,7.80385,
6180.000,7.75103,
6179.000,7.69937,
6178.000,7.65106,
6177.000,7.60463,
6176.000,7.55863,
6175.000,7.51329,
6174.000,7.46813,
6173.000,7.4211,
6172.000,7.37117,
6171.000,7.31986,
6170.000,7.26904,
6169.000,7.21903,
6168.000,7.16976,
6167.000,7.12237,
6166.000,7.0784,
