,6,
Wavenumbers [1/cm],Transmittance,
7219.232,0.1751891,
7217.303,0.1740455,
7215.375,0.1723304,
7213.446,0.1701161,
7211.517,0.1678015,
7209.589,0.1654977,
7207.660,0.1630381,
7205.731,0.1601243,
7203.802,0.1566726,
7201.874,0.1532363,
7199.945,0.1501386,
7198.016,0.1471938,
7196.087,0.1444485,
7194.159,0.1416585,
7192.230,0.1384074,
7190.301,0.1350957,
7188.373,0.1320602,
7186.444,0.1290097,
7184.515,0.1259424,
7182.586,0.1229952,
7180.658,0.1200553,
7178.729,0.1170659,
7176.800,0.1140102,
7174.871,0.1109825,
7172.943,0.1082575,
7171.014,0.1059231,
7169.085,0.1037274,
7167.157,0.1013508,
7165.228,0.09871833,
7163.299,0.09608625,
7161.370,0.09373009,
7159.442,0.09176692,
7157.513,0.09014773,
7155.584,0.08849708,
7153.655,0.08664464,
7151.727,0.08486505,
7149.798,0.08324947,
7147.869,0.08164661,
7145.941,0.07987779,
7144.012,0.07814058,
7142.083,0.07676771,
7140.154,0.07537094,
7138.226,0.07383017,
7136.297,0.0728036,
7134.368,0.0721819,
7132.439,0.07139415,
7130.511,0.07056314,
7128.582,0.06991415,
7126.653,0.06943446,
7124.724,0.06897254,
7122.796,0.06833554,
7120.867,0.06769797,
7118.938,0.06728821,
7117.010,0.06706983,
7115.081,0.06677809,
7113.152,0.06620846,
7111.223,0.06593246,
7109.295,0.06643887,
7107.366,0.06705863,
7105.437,0.06723923,
7103.508,0.06738553,
7101.580,0.06775441,
7099.651,0.06806362,
7097.722,0.06814922,
7095.794,0.06816963,
7093.865,0.06850149,
7091.936,0.06933527,
7090.007,0.07052568,
7088.079,0.0719613,
7086.150,0.0734795,
7084.221,0.07490737,
7082.292,0.07622907,
7080.364,0.07746278,
7078.435,0.07877304,
7076.506,0.08039153,
7074.578,0.08227151,
7072.649,0.0841696,
7070.720,0.08611709,
7068.791,0.08836112,
7066.863,0.09094918,
7064.934,0.09379426,
7063.005,0.09679765,
7061.076,0.09982906,
7059.148,0.1028327,
7057.219,0.1059056,
7055.290,0.1091173,
7053.362,0.1124359,
7051.433,0.1158679,
7049.504,0.1194406,
7047.575,0.1232642,
7045.647,0.1272613,
7043.718,0.1308998,
7041.789,0.1339806,
7039.860,0.1369548,
7037.932,0.1402073,
7036.003,0.1437945,
7034.074,0.147366,
7032.146,0.1503966,
7030.217,0.1530283,
7028.288,0.1557226,
7026.359,0.1583436,
7024.431,0.1605674,
7022.502,0.1624304,
7020.573,0.1641032,
7018.644,0.1654936,
7016.716,0.1663214,
7014.787,0.1665969,
7012.858,0.1666291,
7010.929,0.1664888,
7009.001,0.1659768,
7007.072,0.1652479,
7005.143,0.1644374,
7003.215,0.1630553,
7001.286,0.1609161,
6999.357,0.1585668,
6997.428,0.156379,
6995.500,0.1541241,
6993.571,0.1514836,
6991.642,0.1486617,
6989.713,0.1460475,
6987.785,0.1434904,
6985.856,0.1406074,
6983.927,0.1375015,
6981.999,0.1345467,
6980.070,0.1317126,
6978.141,0.1287187,
6976.212,0.125597,
6974.284,0.1225668,
6972.355,0.1198305,
6970.426,0.1174138,
6968.497,0.1148669,
6966.569,0.111899,
6964.640,0.1088548,
6962.711,0.1061621,
6960.783,0.1038663,
6958.854,0.1015068,
6956.925,0.0989278,
6954.996,0.09661909,
6953.068,0.09468807,
6951.139,0.09278516,
6949.210,0.09076778,
6947.281,0.08881596,
6945.353,0.08708054,
6943.424,0.08542362,
6941.495,0.08375471,
6939.567,0.08209233,
6937.638,0.08042028,
6935.709,0.0788276,
6933.780,0.07739927,
6931.852,0.07614841,
6929.923,0.07495425,
6927.994,0.07369992,
6926.065,0.07258506,
6924.137,0.07162929,
6922.208,0.07066441,
6920.279,0.06989495,
6918.350,0.06931906,
6916.422,0.06864657,
6914.493,0.06790288,
6912.564,0.06721561,
6910.636,0.06672923,
6908.707,0.06661402,
6906.778,0.06679123,
6904.849,0.06699533,
6902.921,0.06701814,
6900.992,0.06700344,
6899.063,0.0672933,
6897.134,0.06773367,
6895.206,0.06794969,
6893.277,0.06811254,
6891.348,0.068556,
6889.420,0.06924251,
6887.491,0.06988261,
6885.562,0.07041368,
6883.633,0.07113697,
6881.705,0.07217304,
6879.776,0.07336771,
6877.847,0.07457081,
6875.918,0.07570048,
6873.990,0.07700483,
6872.061,0.07887737,
6870.132,0.08105727,
6868.204,0.08291326,
6866.275,0.08453061,
6864.346,0.08638463,
6862.417,0.08848912,
6860.489,0.09067336,
6858.560,0.09294892,
6856.631,0.09533068,
6854.702,0.09777248,
6852.774,0.1003321,
6850.845,0.1030696,
6848.916,0.1060157,
6846.988,0.1090858,
6845.059,0.1120282,
6843.130,0.1149616,
6841.201,0.1182304,
6839.273,0.1217848,
6837.344,0.125246,
6835.415,0.1284706,
6833.486,0.1317434,
6831.558,0.1351695,
6829.629,0.1387077,
6827.700,0.1424568,
6825.772,0.146336,
6823.843,0.1500973,
6821.914,0.1535264,
6819.985,0.1566377,
6818.057,0.1596278,
6816.128,0.1624946,
6814.199,0.165017,
6812.270,0.1671536,
6810.342,0.1690907,
6808.413,0.1709,
6806.484,0.1725013,
6804.555,0.1737232,
6802.627,0.1744491,
6800.698,0.1747668,
6798.769,0.1747747,
6796.841,0.1744533,
6794.912,0.1737324,
6792.983,0.1725266,
6791.054,0.1707821,
6789.126,0.1687485,
6787.197,0.1667047,
6785.268,0.1644449,
6783.339,0.1617952,
6781.411,0.1589819,
6779.482,0.1561487,
6777.553,0.1531903,
6775.625,0.1500931,
6773.696,0.1469511,
6771.767,0.1437512,
6769.838,0.1404489,
6767.910,0.1369983,
6765.981,0.1334556,
6764.052,0.1300009,
6762.123,0.1266132,
6760.195,0.1232801,
6758.266,0.1202013,
6756.337,0.1172528,
6754.409,0.1141706,
6752.480,0.1112164,
6750.551,0.1085674,
6748.622,0.1059544,
6746.694,0.1032522,
6744.765,0.1005191,
6742.836,0.09793079,
6740.907,0.09555104,
6738.979,0.09314511,
6737.050,0.09072016,
6735.121,0.08846611,
6733.193,0.08632588,
6731.264,0.08433792,
6729.335,0.08261586,
6727.406,0.08091822,
6725.478,0.07908764,
6723.549,0.077292,
6721.620,0.07558598,
6719.691,0.074062,
6717.763,0.07287545,
6715.834,0.07183074,
6713.905,0.07063836,
6711.977,0.06935692,
6710.048,0.06816566,
6708.119,0.0670668,
6706.190,0.06611918,
6704.262,0.0654522,
6702.333,0.06483774,
6700.404,0.06400374,
6698.475,0.0633078,
6696.547,0.06307938,
6694.618,0.06285775,
6692.689,0.06227686,
6690.760,0.06165347,
6688.832,0.06130247,
6686.903,0.06119846,
6684.974,0.0612728,
6683.046,0.06149059,
6681.117,0.06173982,
6679.188,0.06202739,
6677.259,0.06240804,
6675.331,0.06278883,
6673.402,0.06313483,
6671.473,0.06350578,
6669.544,0.06406903,
6667.616,0.06489415,
6665.687,0.06582726,
6663.758,0.06685967,
6661.830,0.06795164,
6659.901,0.06905654,
6657.972,0.07035816,
6656.043,0.07188867,
6654.115,0.07344799,
6652.186,0.07490918,
6650.257,0.07648978,
6648.328,0.07843369,
6646.400,0.08062439,
6644.471,0.08301012,
6642.542,0.08555716,
6640.614,0.08809569,
6638.685,0.09071588,
6636.756,0.09354747,
6634.827,0.09647644,
6632.899,0.09949318,
6630.970,0.1027213,
6629.041,0.1061451,
6627.112,0.1097604,
6625.184,0.1135777,
6623.255,0.1174405,
6621.326,0.1211728,
6619.398,0.1247714,
6617.469,0.128554,
6615.540,0.1327612,
6613.611,0.1370523,
6611.683,0.141067,
6609.754,0.1449221,
6607.825,0.1487474,
6605.896,0.1523465,
6603.968,0.1555948,
6602.039,0.1587295,
6600.110,0.161795,
6598.182,0.1644022,
6596.253,0.166447,
6594.324,0.1681666,
6592.395,0.1695225,
6590.467,0.1703674,
6588.538,0.1707752,
6586.609,0.1708315,
6584.680,0.1705442,
6582.752,0.1699864,
6580.823,0.1692092,
6578.894,0.168089,
6576.965,0.1665143,
6575.037,0.1644329,
6573.108,0.1617589,
6571.179,0.1587191,
6569.251,0.1558735,
6567.322,0.1533018,
6565.393,0.1504807,
6563.464,0.1472709,
6561.536,0.1439993,
6559.607,0.140773,
6557.678,0.1375694,
6555.749,0.1343196,
6553.821,0.1308476,
6551.892,0.127278,
6549.963,0.1239503,
6548.035,0.1208388,
6546.106,0.1176395,
6544.177,0.1144061,
6542.248,0.1114596,
6540.320,0.1086914,
6538.391,0.1058114,
6536.462,0.1028937,
6534.533,0.1000471,
6532.605,0.09732301,
6530.676,0.09490247,
6528.747,0.09270853,
6526.819,0.09045137,
6524.890,0.0881596,
6522.961,0.08592638,
6521.032,0.08367311,
6519.104,0.08153267,
6517.175,0.0797248,
6515.246,0.07816765,
6513.317,0.07669776,
6511.389,0.07527535,
6509.460,0.07378375,
6507.531,0.07219724,
6505.603,0.07078452,
6503.674,0.06957226,
6501.745,0.06832188,
6499.816,0.0671248,
6497.888,0.06611784,
6495.959,0.0651936,
6494.030,0.06430695,
6492.101,0.06351428,
6490.173,0.06293372,
6488.244,0.06254137,
6486.315,0.06212395,
6484.386,0.06170745,
6482.458,0.06145009,
6480.529,0.06132147,
6478.600,0.06126975,
6476.672,0.06129795,
6474.743,0.06138811,
6472.814,0.06148645,
6470.885,0.06156667,
6468.957,0.0616887,
6467.028,0.0619752,
6465.099,0.06246829,
6463.170,0.06299976,
6461.242,0.06351528,
6459.313,0.06428543,
6457.384,0.06539022,
6455.456,0.06654048,
6453.527,0.06760556,
6451.598,0.06875234,
6449.669,0.07006629,
6447.741,0.07144332,
6445.812,0.07279605,
6443.883,0.07420451,
6441.954,0.07585471,
6440.026,0.0778194,
6438.097,0.07997443,
6436.168,0.08213593,
6434.240,0.08428397,
6432.311,0.08664205,
6430.382,0.08931218,
6428.453,0.09207241,
6426.525,0.09480808,
6424.596,0.09763739,
6422.667,0.1006585,
6420.738,0.103909,
6418.810,0.1073108,
6416.881,0.110764,
6414.952,0.1142501,
6413.024,0.1177061,
6411.095,0.1211786,
6409.166,0.1248943,
6407.237,0.1289336,
6405.309,0.1331387,
6403.380,0.1372952,
6401.451,0.1413151,
6399.522,0.1452376,
6397.594,0.1490564,
6395.665,0.152777,
6393.736,0.1564528,
6391.808,0.1600343,
6389.879,0.1634523,
6387.950,0.1665451,
6386.021,0.1690679,
6384.093,0.1711006,
6382.164,0.1728822,
6380.235,0.1743649,
6378.306,0.1753709,
