Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
210,000;-0,5068688;-0,5263357;-0,1641612;-0,8115969;-0,2739763;-0,3389902;-0,1545672;-0,211225;-0,595736;-0,1127224;-0,1011386;-0,4536405;-0,6616106;-0,06367397;-0,0002622604;-0,6509676;-0,2966309;-0,4108663;-0,4400921;-0,5852203;-0,2839165;-0,3555527;-0,161828;-0,1845441;-0,7508655;-0,5073895;-0,4186373;-0,405107;-0,4247456;0,0001630783;-0,591969;-0,3134174;-0,1511927;-0,02247286;-0,3498993;-0,3098941;-0,3739243;-0,8008528;-0,4290557;0,1237473;-0,4779739;-0,4611478;-0,780417;-0,1404319;-0,6360407;-0,9257269;-0,2345486;-0,3453412;-0,3770719;-0,2261152;-0,1760092;-0,5495815;-0,7240906;-0,8050375;-0,3594055;-0,6516795;-0,6375422;-0,2113967;-0,3170934;-0,3608766;-0,5002294;
211,000;-0,5581622;-0,3142185;-0,1633782;-0,4116192;-0,06717825;-0,4253349;0,3555098;0,3483047;-0,3983297;-0,1516695;-0,1767559;-0,5603065;-0,02289772;-0,1686397;0,1146464;-0,2395253;0,445075;-0,3552179;0,238101;-0,5993285;0,1535096;-0,4077086;-0,06219196;0,006315231;-0,375845;-0,3811851;-0,5605631;-0,6768603;-0,6173711;0,09190845;-0,4734063;0,4840536;0,006759167;0,1981921;-0,6671071;0,4394078;-0,7430453;-0,482511;-0,2938175;-0,1971669;-0,4142084;-0,5827937;0,04168367;-0,153718;-0,7871528;-0,4999924;-0,2236271;-0,401051;-0,05933619;-0,02750921;-0,5473619;-0,6077561;0,2335773;-0,3250027;-0,6914701;-0,2467504;-0,546329;0,4536481;-0,02199602;-0,6743197;-0,5195117;
212,000;-0,04071951;0,803844;0,6423478;-0,03160429;0,1683311;-0,1444459;0,7940159;0,8581772;0,1656814;0,1743016;-0,1961894;0,6144443;0,8701701;0,2623353;0,6759105;0,6316013;0,4131083;-0,02086401;0,7019124;-0,04363823;0,7404485;0,6372218;0,1216898;0,4663801;0,6295943;-0,1968575;-0,1564498;0,2086897;0,2805738;0,7670126;-0,09068823;0,2472286;0,107625;0,2160444;-0,1131816;0,4519167;0,03441811;0,60462;0,07747698;-0,1184354;0,05263758;0,05655432;0,3013716;-0,04543114;0,4159613;-0,07487059;-0,2204528;0,7677345;0,2611723;-0,3456078;-0,2466345;0,08034468;0,4735112;0,2037835;-0,3553128;0,07095098;-0,3134856;0,2699642;0,7624016;0,004724503;0,345983;
213,000;0,03876591;-0,0531764;0,1659622;-0,03626776;-0,5031924;-0,01991653;0,1829481;-0,217135;-0,7646213;-0,4157119;-0,01091385;0,01848412;0,1867485;-0,06595325;0,1926837;0,2600636;-0,4849305;-0,672421;-0,5312152;0,08505058;-0,2822175;-0,2977395;0,0762763;0,1186962;0,01476717;-0,3336196;-0,420897;0,1439276;0,1586223;-0,3083115;-0,4138217;-0,05418539;-0,6153569;-0,03952789;0,01048565;-0,7261624;-0,3199029;-0,009147167;0,1108651;-0,2425318;-0,3914456;0,09176064;-0,8126054;-0,3616166;0,3078103;-0,661377;-0,4401426;-0,3485808;-0,5764632;-0,1324902;-0,03758526;-0,3039231;-0,6129107;-0,7369213;-0,04719687;-0,8026094;-0,2984548;-0,5047936;-0,1164708;-0,3859282;-0,1122155;
214,000;0,1012974;0,1256051;0,5132985;-0,0690403;-0,1472888;-0,000746727;0,2043366;-0,3575306;-0,2434282;-0,353476;0,0220108;-0,01922846;0,07456112;-0,1043644;0,2894964;-0,03201246;0,3949203;0,4224234;0,259254;-0,1443658;-0,2796726;-0,1086049;0,09349918;-0,0278244;-0,01726961;0,05012989;-0,1359129;0,1379051;-0,008976936;0,2939;-0,2618179;-0,0203743;0,1298456;0,2300153;0,0334115;-0,02040672;-0,1532807;0,1402202;-0,04821873;-0,1452756;-0,067976;0,07421255;0,0686574;-0,1254263;-0,08016109;-0,2553301;0,07961226;-0,3095093;0,02594376;0,02000523;-0,02235413;-0,2885337;-0,0337472;0,08393908;0,001843929;0,04653502;-0,1151662;0,06549549;0,6246982;-0,06161451;0,09168911;
215,000;-0,4161077;-0,3747287;-0,08061028;-0,505887;-0,4138417;-0,4395223;-0,1630192;0,08967495;-0,2688808;0,02845907;-0,4319396;0,06044769;-0,1630263;-0,5229979;-0,2881527;0,09153843;0,02005625;-0,3779573;0,2455711;-0,04440212;0,1091552;-0,3517456;-0,4538774;-0,4768167;0,05915976;-0,6570382;-0,6579919;-0,5144939;-0,1934767;0,03090858;-0,5432673;-0,2599154;-0,5039225;-0,4927888;-0,4561954;-0,3752456;-0,4068413;-0,03716564;-0,3538618;-0,4644642;-0,3952231;-0,3433771;-0,5421767;-0,6032763;-0,386754;-0,5910058;-0,6396799;0,1216636;-0,417861;-0,8447146;-0,8147306;-0,22049;-0,3860664;-0,3179035;-0,6000924;-0,4187589;0,08754873;-0,3846521;0,1908822;-0,6567793;-0,09682465;
216,000;0,1318054;-0,1765227;-0,64256;0,1428814;-0,4165702;-0,07482195;0,06496572;-0,3491974;-0,5369396;0,02359343;-0,7066903;0,2509141;-0,3280115;-0,4447379;-0,6356206;-0,3889656;-0,1431785;-0,6360955;0,2328753;-0,01070118;-0,1367965;-0,7535787;-0,3144321;-0,4355488;0,2543035;-0,6232429;-0,4730797;-0,2629061;-0,3618836;0,01840639;-0,1409597;-0,2257323;-0,6894436;-0,2923937;0,1560178;-0,5300832;0,1194878;-0,3519998;-0,5685911;-0,5341854;-0,4905357;-0,2359858;-0,9286227;-0,7221665;-0,2695818;-0,7599206;-0,8815103;-0,165977;-0,7673359;-0,5833454;0,05453157;-0,3698864;-0,6871114;-0,746026;0,1603169;-0,8377719;-0,4393878;-0,2518353;-0,5950608;0,07790375;-0,2753215;
217,000;0,02669096;-0,1605539;-0,2282176;0,01385069;-0,253643;-0,3492241;0,6260896;-0,06547308;-0,3230929;-0,1556754;-0,3656106;-0,01233959;-0,2235408;-0,2244072;0,0755291;-0,2672224;0,05241776;-0,5996385;-0,09530449;0,1272578;-0,2200007;0,1697221;-0,1022983;-0,00733757;-0,01879501;-0,4694104;-0,2928276;0,307673;0,02088833;0,6466284;-0,1956596;-0,1132379;-0,2795701;0,5181923;-0,1336422;-0,3813353;0,02093792;0,4856906;-0,3513126;-0,4123974;-0,362875;0,5809264;-0,6638198;-0,4651155;-0,1775341;-0,5624366;-0,413064;-0,1094046;-0,5040264;-0,3279481;-0,1315618;-0,4751916;-0,2202897;-0,5630522;-0,3329668;-0,4846249;-0,3589311;0,3251824;-0,3240752;-0,3168836;-0,007050514;
218,000;0,6636996;0,3637152;0,2532611;0,09689283;0,3948636;0,3880486;0,1662159;0,4000239;0,007135868;0,4480624;-0,05378342;0,06616497;0,4728742;0,2260456;0,7896752;0,3015513;0,6989884;0,6830568;0,7073455;-0,1983666;0,51689;0,04100037;0,6902695;0,5050926;0,1243567;0,6080489;0,3554521;0,1198955;0,2046862;0,06839371;0,05756664;-0,09927082;0,3348122;0,4768233;0,1400156;0,7036448;0,04558229;0,2849121;0,09823704;0,3567948;0,1934824;-0,03926706;0,6478658;0,2390032;-0,02022457;0,02041769;0,1305451;-0,1475968;0,4186025;0,4132886;-0,02198935;0,07758474;0,2077246;0,2494745;0,3519106;0,6352639;-0,1368484;-0,08934832;0,7938848;-0,01351929;-0,1287928;
219,000;0,1998234;0,1457195;0,1249866;0,09039783;0,103775;-0,3026896;-0,3289332;-0,5462008;-0,3903651;-0,2752862;-0,7150016;-0,2551374;-0,3859921;0,0972085;0,1536565;-0,1733065;0,2440395;-0,5056624;-0,2433624;-0,6719866;-0,6625185;-0,06022215;0,1982293;-0,182838;-0,1342292;0,2410088;0,1806655;0,05084229;0,02403164;-0,4931674;-0,3960924;-0,6004562;-0,6437392;-0,5495057;-0,5626707;-0,3495569;-0,2050571;0,1028705;0,1359186;0,1738739;0,1314397;-0,2927413;-0,09583139;-0,2687807;-0,2055335;-0,3410387;-0,179369;0,05803251;-0,2976866;-0,2464714;-0,1557322;-0,6997948;-0,3798304;-0,3644376;-0,4569769;0,2316728;-0,4888005;-0,5234799;-0,5420613;0,1145215;-0,2725143;
