,d2o 018 By Administrator Date Friday. December 17 2021,
Time,13:40:23,
Wavenumbers [1/cm],Transmittance %,
6051.000,5.80666,
6050.000,5.8641,
6049.000,5.92035,
6048.000,5.97505,
6047.000,6.02932,
6046.000,6.08309,
6045.000,6.13582,
6044.000,6.18856,
6043.000,6.24309,
6042.000,6.29984,
6041.000,6.35789,
6040.000,6.41612,
6039.000,6.47334,
6038.000,6.52864,
6037.000,6.58278,
6036.000,6.63803,
6035.000,6.69572,
6034.000,6.75506,
6033.000,6.8149,
6032.000,6.87511,
6031.000,6.93512,
6030.000,6.99334,
6029.000,7.04931,
6028.000,7.10515,
6027.000,7.16339,
6026.000,7.22454,
6025.000,7.28783,
6024.000,7.3527,
6023.000,7.41847,
6022.000,7.48382,
6021.000,7.54804,
6020.000,7.61184,
6019.000,7.67592,
6018.000,7.74019,
6017.000,7.80482,
6016.000,7.87071,
6015.000,7.93794,
6014.000,8.00522,
6013.000,8.07168,
6012.000,8.13771,
6011.000,8.20334,
6010.000,8.26744,
6009.000,8.32963,
6008.000,8.39143,
6007.000,8.45471,
6006.000,8.52022,
6005.000,8.58787,
6004.000,8.65688,
6003.000,8.72531,
6002.000,8.79148,
6001.000,8.85623,
6000.000,8.92181,
5999.000,8.9881,
5998.000,9.05273,
5997.000,9.11487,
5996.000,9.17637,
5995.000,9.23804,
5994.000,9.29811,
5993.000,9.35613,
5992.000,9.41528,
5991.000,9.47856,
5990.000,9.54462,
5989.000,9.60942,
5988.000,9.67047,
5987.000,9.72761,
5986.000,9.78144,
5985.000,9.83306,
5984.000,9.88439,
5983.000,9.93703,
5982.000,9.99111,
5981.000,10.0459,
5980.000,10.1001,
5979.000,10.1518,
5978.000,10.1988,
5977.000,10.241,
5976.000,10.2805,
5975.000,10.319,
5974.000,10.3567,
5973.000,10.3932,
5972.000,10.4285,
5971.000,10.4612,
5970.000,10.4903,
5969.000,10.5164,
5968.000,10.5415,
5967.000,10.5657,
5966.000,10.5879,
5965.000,10.6083,
5964.000,10.6281,
5963.000,10.6465,
5962.000,10.6608,
5961.000,10.6708,
5960.000,10.6781,
5959.000,10.683,
5958.000,10.6838,
5957.000,10.6804,
5956.000,10.6752,
5955.000,10.6694,
5954.000,10.6622,
5953.000,10.6541,
5952.000,10.6473,
5951.000,10.6411,
5950.000,10.6314,
5949.000,10.6159,
5948.000,10.5961,
5947.000,10.5732,
5946.000,10.546,
5945.000,10.5144,
5944.000,10.4822,
5943.000,10.4527,
5942.000,10.4246,
5941.000,10.3944,
5940.000,10.3601,
5939.000,10.3227,
5938.000,10.2832,
5937.000,10.2428,
5936.000,10.2023,
5935.000,10.1619,
5934.000,10.1205,
5933.000,10.0775,
5932.000,10.0323,
5931.000,9.98439,
5930.000,9.9337,
5929.000,9.88271,
5928.000,9.83397,
5927.000,9.78624,
5926.000,9.73566,
5925.000,9.68069,
5924.000,9.62327,
5923.000,9.56502,
5922.000,9.50581,
5921.000,9.44654,
5920.000,9.38974,
5919.000,9.33599,
5918.000,9.283,
5917.000,9.22926,
5916.000,9.17555,
5915.000,9.12176,
5914.000,9.06577,
5913.000,9.00726,
5912.000,8.94912,
5911.000,8.89319,
5910.000,8.83766,
5909.000,8.78074,
5908.000,8.72403,
5907.000,8.66965,
5906.000,8.61661,
5905.000,8.56263,
5904.000,8.50756,
5903.000,8.45225,
5902.000,8.39558,
5901.000,8.33547,
5900.000,8.27172,
5899.000,8.20619,
5898.000,8.14088,
5897.000,8.07759,
5896.000,8.01826,
5895.000,7.96385,
5894.000,7.91323,
5893.000,7.86447,
5892.000,7.81629,
5891.000,7.76757,
5890.000,7.71681,
5889.000,7.66337,
5888.000,7.60842,
5887.000,7.55349,
