,180,172,188,192,196,200,204,208,212,182,186,190,176,194,198,202,206,210,178,174,170,166,162,168,158,154,150,181,185,189,193,197,201,205,164,209,213,177,173,169,165,161,157,153,149,160,179,175,156,152,148,184,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6924.137,0.1119484,0.1058695,0.02985706,0.009775972,0.00274721,0.06190452,0.04918145,0.02224366,0.004419821,0.09893515,0.09600975,0.08764855,0.0717332,0.07696978,0.03562197,0.03865298,0.03109207,0.04213848,0.1043688,0.09067991,0.096567,0.08713503,0.06111704,0.02514402,0.04221746,0.0142013,0.05249612,0.101637,0.09932803,0.08442289,0.08412237,0.07568356,0.07228571,0.05313256,0.06096891,0.04189109,0.02464852,0.1010037,0.09513053,0.09842052,0.08707004,0.05666912,0.03706727,0.0139747,0.008925531,0.07358009,0.1043397,0.0920495,0.06086942,0.06110482,0.04152408,0.05285744,
6920.279,0.1125594,0.1044527,0.02967898,0.00987724,0.00261962,0.06155382,0.04923303,0.02213512,0.00448088,0.09885469,0.09552363,0.08708401,0.06766011,0.07758342,0.0356329,0.03874255,0.03110902,0.04178561,0.1038677,0.09136952,0.09747212,0.08639703,0.06055826,0.02414481,0.04224906,0.01452946,0.05273936,0.1017848,0.09899073,0.08354062,0.08467576,0.07523289,0.07238708,0.05306247,0.06048014,0.04180944,0.02486435,0.100299,0.0963128,0.09934276,0.08639404,0.05732599,0.03632345,0.01410897,0.008490107,0.07403437,0.1039481,0.09203862,0.06052795,0.06133897,0.0418078,0.05340897,
6916.422,0.111735,0.1019229,0.02956791,0.01000754,0.002602335,0.06105898,0.0494111,0.02213039,0.004598623,0.09881964,0.09496642,0.08669323,0.06355958,0.07822573,0.0358202,0.03899007,0.03126422,0.04141879,0.10316,0.09244522,0.09819917,0.08581121,0.06034039,0.02346397,0.04222194,0.01499507,0.0531087,0.1018278,0.09844097,0.08267274,0.08512865,0.07483894,0.07256392,0.05298064,0.06040759,0.04189671,0.02504586,0.09980075,0.09727142,0.09986827,0.0857439,0.05802331,0.03565732,0.014164,0.008181346,0.07446629,0.1035625,0.09218279,0.06015626,0.06154164,0.04224323,0.0540444,
6912.564,0.1096116,0.09838765,0.029324,0.01016469,0.002570385,0.06049355,0.04976676,0.02233558,0.00474785,0.09895924,0.09423098,0.08647323,0.05938396,0.07881545,0.03586845,0.03919127,0.0315576,0.04128325,0.1023895,0.09377703,0.09859447,0.08537654,0.06025262,0.02323449,0.0420844,0.01545779,0.05346342,0.101683,0.09766085,0.08186069,0.08554339,0.07434368,0.07290696,0.05289524,0.06056453,0.04182148,0.02513198,0.09939223,0.09795669,0.09999984,0.08510621,0.05885236,0.03487332,0.0143065,0.008143548,0.0747962,0.103385,0.09255701,0.05968711,0.06153594,0.04272545,0.054788,
6908.707,0.1064586,0.09394339,0.02910058,0.01034481,0.002397524,0.05992496,0.04999477,0.02255229,0.004873195,0.09915088,0.09347291,0.08643596,0.0552227,0.07929662,0.03557248,0.03937523,0.03178083,0.04129121,0.1015182,0.09500275,0.09869703,0.08478291,0.06023638,0.02339502,0.04170043,0.0158374,0.05361475,0.1014644,0.09676496,0.08121271,0.08601364,0.07380323,0.07318583,0.05277393,0.06068921,0.04145616,0.02516295,0.09901128,0.09848485,0.09994909,0.08436548,0.05986258,0.0339417,0.01450618,0.008300424,0.07509503,0.1034322,0.09313196,0.05925628,0.06136422,0.04298603,0.05540569,
6904.849,0.10268,0.08887281,0.02912471,0.0105492,0.002128062,0.0593394,0.0499841,0.02267953,0.005025934,0.09932446,0.09287594,0.08661514,0.05140458,0.07975721,0.03510262,0.03970838,0.03175058,0.04123888,0.1005188,0.09613573,0.09866232,0.0840325,0.06036728,0.0237483,0.04118312,0.01622609,0.05359038,0.1013333,0.0959217,0.0807903,0.08657521,0.07337669,0.07327474,0.05269371,0.0608319,0.04111287,0.02515696,0.09873924,0.09881084,0.09986071,0.083621,0.06082353,0.0330267,0.0146142,0.008514123,0.07529006,0.1034775,0.09374806,0.05890501,0.06119476,0.0431338,0.05558488,
6900.992,0.09857237,0.08361644,0.02920376,0.01069228,0.002004159,0.0586328,0.04989329,0.0227458,0.005151673,0.09945701,0.09243993,0.08709258,0.0481258,0.08015691,0.03465606,0.03999995,0.03159924,0.04114489,0.09946682,0.09736945,0.09836075,0.083324,0.0607526,0.02420697,0.04060653,0.01667579,0.05344494,0.1012888,0.09506174,0.08050352,0.08705643,0.07300642,0.07329652,0.05276163,0.06114547,0.04099688,0.02512586,0.09849302,0.09861749,0.09967893,0.08307813,0.06155444,0.03223265,0.0147072,0.00862753,0.07529082,0.1034274,0.09454145,0.05853183,0.06107577,0.04335635,0.05534571,
6897.134,0.09422383,0.07853491,0.02913928,0.01076284,0.002045982,0.05782824,0.04992389,0.02270228,0.005138902,0.0995037,0.09205085,0.08774762,0.0452683,0.08047178,0.03421587,0.04003378,0.03159341,0.04110404,0.09834135,0.09858286,0.09776696,0.08259006,0.06141125,0.02493372,0.03989312,0.01716282,0.05315434,0.1012895,0.09409714,0.08030406,0.08724423,0.07254148,0.07327516,0.05292042,0.06161085,0.04093615,0.02510017,0.09819992,0.09793512,0.09933605,0.0826159,0.0622459,0.03156308,0.01477189,0.008621763,0.07529095,0.1033848,0.09569595,0.05818474,0.06089376,0.04364631,0.05497593,
6893.277,0.08981232,0.07370006,0.0289658,0.01074565,0.002017045,0.05709258,0.05003789,0.022597,0.005110111,0.09956721,0.091635,0.08841341,0.04274314,0.08084762,0.03377904,0.04000441,0.03171578,0.04111613,0.09708755,0.09968248,0.09709951,0.08165549,0.06225428,0.02605252,0.03908451,0.01750393,0.05272466,0.1013488,0.0931065,0.08029598,0.08708568,0.07203269,0.07317291,0.05313964,0.06216696,0.04081343,0.02506288,0.0980228,0.09707699,0.09883379,0.082027,0.06312047,0.03098731,0.01458082,0.008615574,0.0753212,0.1034761,0.09696212,0.05795095,0.06060489,0.04395553,0.05464457,
6889.420,0.08549817,0.06913646,0.02865647,0.01064825,0.002034295,0.0565442,0.05001638,0.02253685,0.005177209,0.0997161,0.09135624,0.08922047,0.04079293,0.08132084,0.03335495,0.04002834,0.0317682,0.04125136,0.09569826,0.1008012,0.09635612,0.08067866,0.06318993,0.02742891,0.03824319,0.01767584,0.05223489,0.1013689,0.09219419,0.0805817,0.08656113,0.07175404,0.07309704,0.05348441,0.06288069,0.04082376,0.02502707,0.09806514,0.09619597,0.09819873,0.08137492,0.06408502,0.03057051,0.01411418,0.008678003,0.07518027,0.1037205,0.0980931,0.05788798,0.06027311,0.04411787,0.05426463,
6885.562,0.08120079,0.06498835,0.02827763,0.01069851,0.002149368,0.05615121,0.04982021,0.0225068,0.005176157,0.09979066,0.09129094,0.09016142,0.03953645,0.08160252,0.03295297,0.03996246,0.03174894,0.04148972,0.09425221,0.1018862,0.09536741,0.07990292,0.06411768,0.02893467,0.03732847,0.01790479,0.05172661,0.1013452,0.09151992,0.08111142,0.08593357,0.0718103,0.07307798,0.05384188,0.06375417,0.04103184,0.02502081,0.09823436,0.0952371,0.09745543,0.08082769,0.0649389,0.03033478,0.01359161,0.008807071,0.07488353,0.1040482,0.09907833,0.05802023,0.05992943,0.04407089,0.05371518,
6881.705,0.07698654,0.06129704,0.02811974,0.01093156,0.00221968,0.05578528,0.04956506,0.02254613,0.005050401,0.09971853,0.09116495,0.09110473,0.03876942,0.08150612,0.03262628,0.0398012,0.03175622,0.04162502,0.09295785,0.1026959,0.09419182,0.07925663,0.06493562,0.03052552,0.03632481,0.01817236,0.05111706,0.1014562,0.09118179,0.08168788,0.0856111,0.07193935,0.07296406,0.05401766,0.06465493,0.04115017,0.02498075,0.09847763,0.0940304,0.09658442,0.08047898,0.06557948,0.03008163,0.01322749,0.009066741,0.07451741,0.1044074,0.0999858,0.05817306,0.05964019,0.04404695,0.05298035,
6877.847,0.07317642,0.05804652,0.0282258,0.01116717,0.002298055,0.05536916,0.04926823,0.02269927,0.005003803,0.09960165,0.09091546,0.09205616,0.03843183,0.08128455,0.03231957,0.03965842,0.03169399,0.04164575,0.09203741,0.1031875,0.09299669,0.07864685,0.0657471,0.03223532,0.03532894,0.01831105,0.05039,0.1017468,0.09106366,0.08219533,0.08540636,0.07193311,0.0726343,0.05409323,0.06554791,0.04100617,0.02488608,0.09885687,0.09258476,0.09563909,0.08022164,0.06607678,0.02982498,0.0129156,0.009507572,0.07401768,0.1049213,0.1009088,0.05816435,0.05930014,0.0440978,0.05209852,
6873.990,0.0698292,0.05529194,0.02830962,0.01135162,0.002341975,0.05502594,0.04887353,0.02281175,0.005113482,0.09956081,0.0907357,0.09291697,0.03861434,0.08116329,0.03207203,0.03954326,0.03151653,0.04169576,0.09145468,0.1034687,0.09175345,0.07816556,0.066713,0.03420172,0.03447774,0.01837255,0.04964997,0.1020493,0.09106728,0.08285252,0.08495314,0.07195427,0.07210635,0.0541925,0.066422,0.04085144,0.02480771,0.09938496,0.09106365,0.09468248,0.08000202,0.06651202,0.02985657,0.01239948,0.009865158,0.07339035,0.1056737,0.1018983,0.05811653,0.05867897,0.04406946,0.05121475,
6870.132,0.06682253,0.05307085,0.02828394,0.01140064,0.002227268,0.05490412,0.04845707,0.02272281,0.005223594,0.09968618,0.09066506,0.09373414,0.03940526,0.08099955,0.03204916,0.03935727,0.03140488,0.04177732,0.09102192,0.1036066,0.09043801,0.07792595,0.06773668,0.03627332,0.0338876,0.01844863,0.04901778,0.1023061,0.09118877,0.08385395,0.0843243,0.07214334,0.07156653,0.05422414,0.06723009,0.04093181,0.02479406,0.09994947,0.08956829,0.09370407,0.08005194,0.06673649,0.03016852,0.0117204,0.009957186,0.07273687,0.1064201,0.1029244,0.0582416,0.05798782,0.04400595,0.05047995,
