,50_hexanon_in_hexane,60_hexanon_in_hexane,60_hexanon_in_hexane,70_hexanon_in_hexane,70_hexanon_in_hexane,80_hexanon_in_hexane,80_hexanon_in_hexane,90_hexanon_in_hexane,90_hexanon_in_hexane,100_hexanon_in_hexane,100_hexanon_in_hexane,20_hexanon_in_hexane,20_hexanon_in_hexane,30_hexanon_in_hexane,30_hexanon_in_hexane,40_hexanon_in_hexane,40_hexanon_in_hexane,50_hexanon_in_hexane,10_hexanon_in_hexane,10_hexanon_in_hexane,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6831.558,0.1123515,0.09185851,0.1375316,0.1537373,0.09447755,0.09205056,0.1569095,0.1440646,0.09199827,0.0942034,0.1265413,0.06428491,0.1095396,0.0728922,0.1070922,0.1001605,0.09440473,0.09314689,0.1107924,0.0651502,
6827.700,0.1029617,0.0928865,0.1281457,0.1472413,0.09549325,0.09222835,0.153422,0.1502357,0.09196598,0.09308309,0.1350886,0.06376017,0.1096406,0.06917316,0.1078064,0.1016561,0.08703027,0.09489007,0.1108234,0.06666742,
6823.843,0.09443167,0.09404194,0.1183766,0.1387951,0.09676513,0.09268242,0.1472571,0.1542232,0.09224695,0.0922081,0.1427131,0.06397144,0.109815,0.06624193,0.1083501,0.1029863,0.08061606,0.09684778,0.1105271,0.0690906,
6819.985,0.08678237,0.09535628,0.1087286,0.129345,0.09807181,0.09344538,0.1391203,0.1556202,0.09295759,0.0915854,0.1489458,0.06515054,0.109946,0.06430116,0.1087903,0.1041114,0.07532364,0.09885637,0.1099915,0.07252592,
6816.128,0.08011276,0.09691142,0.09963491,0.1196054,0.09925067,0.09439851,0.1298662,0.1541534,0.09392707,0.09120855,0.153214,0.06738713,0.109716,0.06334312,0.1090051,0.1051363,0.07108109,0.1007478,0.109437,0.07681219,
6812.270,0.07449833,0.09856082,0.09140062,0.1099939,0.1003558,0.09543305,0.1201416,0.1497669,0.09490483,0.09115886,0.1547916,0.07046333,0.1090909,0.06315032,0.1089644,0.1060342,0.06772672,0.1025226,0.10888,0.08204494,
6808.413,0.06988814,0.1000609,0.08412973,0.1008758,0.1014869,0.09659654,0.1104818,0.1428699,0.09591604,0.09149618,0.1533385,0.07424205,0.1082639,0.06373406,0.108872,0.1067845,0.06518945,0.1041851,0.1081491,0.08827758,
6804.555,0.06630418,0.1014813,0.07784772,0.09256788,0.1026444,0.09781042,0.1013543,0.1342457,0.09700123,0.09215149,0.1490257,0.07896292,0.1073429,0.06522436,0.1087914,0.107486,0.06347416,0.1057133,0.1072582,0.0953617,
6800.698,0.06377402,0.1029995,0.07265878,0.08519371,0.1037165,0.09891277,0.09306104,0.1246666,0.09811987,0.0929874,0.1422833,0.08474605,0.106388,0.0677374,0.1085795,0.1080871,0.06266417,0.1070805,0.106314,0.1032241,
6796.841,0.06213237,0.104533,0.06859455,0.07881764,0.1047301,0.09998733,0.08569749,0.1148392,0.09929825,0.09394925,0.1337037,0.09140336,0.1054067,0.07124419,0.1081569,0.108489,0.0627786,0.1082548,0.1053314,0.1118009,
