Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
210,000;0,5820594;-0,01639557;0,4007478;0,3400412;-0,1756959;0,4119482;-0,1000681;0,571291;0,3477149;0,4508657;0,1812463;0,1534333;0,5039344;0,4064884;0,2758141;-0,1527696;0,5774984;0,01768398;0,3692594;0,05762291;0,3852496;-0,009111404;-0,1932745;0,1102266;0,3946676;0,08104277;0,3335562;0,4196301;0,4808812;0,4412627;0,2207503;0,2030044;0,4551349;0,01181221;0,2598248;0,2840242;0,2076173;0,5991192;0,03027487;0,3979759;-0,04714632;0,2057991;-0,04726839;0,1205306;0,4547968;0,4084291;0,7900796;0,1083217;-0,07427025;0,1718345;0,50243;-0,007049561;0,3966947;0,1055799;0,5576224;-0,06628084;0,03655863;0,3793707;0,3847289;0,405313;-0,1999164;0,277935;
211,000;-0,1981611;-0,1946926;-0,05119181;-0,1803842;-0,3281846;0,0856123;0,1878171;0,1567855;0,7120385;0,6323724;0,0891366;0,5446219;0,4007311;0,7041712;0,3235884;0,3244619;0,3945313;-0,3445392;0,6319408;0,2757845;-0,2680526;0,5862203;0,07735682;0,566431;0,6924453;0,1434803;-0,09206295;0,1989737;0,4057794;0,1914597;0,06423521;0,2464199;0,487711;0,1773758;0,483335;0,07272387;0,2271423;0,1720943;0,2767615;0,4150033;0,3072023;-0,1513486;0,4369402;0,04763556;0,2799244;0,6241064;0,1320443;0,05811739;0,3426008;-0,09479237;0,1231194;-0,2025456;0,6586156;-0,05116844;0,6040797;0,3371515;-0,3908815;0,6662502;0,4374137;0,2891111;0,2629356;0,1021872;
212,000;-0,4253349;-0,02062511;-0,5639839;-0,2450523;-0,5862579;-0,513134;-0,1892519;-0,8104134;-0,3120399;0,04339027;-0,2941599;-0,1423616;-0,03972578;-0,3724117;-0,3697963;0,1107645;-0,07076216;-0,2374434;0,1099877;-0,4409094;-0,2147651;-0,2158298;-0,006350517;-0,2343473;-0,2613273;-0,5078578;-0,7149601;-0,1273637;-0,04722118;-0,5340152;-0,1354094;-0,58673;-0,4801741;-0,2394719;0,06910419;-0,7092552;-0,4891105;-0,1669478;0,1576977;-0,006572723;-0,2050519;-0,6741705;0,1074414;-0,5108151;-0,06934834;0,1017847;-0,1608357;-0,03943539;0,2022257;-0,6292539;-0,1824827;-0,1360717;-0,0928278;-0,3745241;0,06618595;-0,07376003;-0,5378838;-0,0972476;-0,07668257;-0,07067013;-0,02334785;-0,4721851;
213,000;0,3661985;-0,02689123;-0,2881365;0,6240244;-0,2074933;0,2348633;0,02085638;0,290936;-0,2270441;0,5299845;0,1897483;0,3474855;0,3117151;-0,3666458;0,09951591;0,5031662;0,515008;0,5715208;0,1424131;0,01071501;0,5663528;-0,1436901;0,4993558;0,0306859;0,03872347;-0,05207729;0,03039169;0,07795954;0,3351483;-0,09316063;0,2942896;0,3008032;-0,0007295609;0,355093;0,5533919;-0,3130188;0,3375697;0,3303766;0,3681211;0,08430767;0,205523;0,308845;0,4331598;0,3018103;0,03360939;0,1779594;0,3436737;0,1118317;-0,01946974;0,2633114;0,217886;0,2926841;-0,1043611;0,1286592;0,4673815;0,244771;-0,06054544;-0,09178019;0,4923115;0,0517807;-0,0212121;0,3854775;
214,000;0,2419467;0,2051997;-0,5995584;-0,51652;-0,05543518;-0,3387785;-0,3441157;-0,1098104;0,3488193;-0,342515;-0,3231478;-0,00463438;-0,3342576;-0,1595955;-0,2818804;-0,2344007;-0,09640932;-0,2166605;-0,3797078;-0,0751729;-0,2476673;-0,5045385;-0,1251283;-0,06045246;-0,0555315;-0,4243431;-0,6409574;-0,2453494;-0,471591;-0,3771138;-0,1450758;-0,1755672;0,04972315;0,04053497;-0,4669628;-0,300766;-0,1074262;-0,3248582;0,4903364;-0,5194616;0,3076143;-0,1379066;0,1902742;0,1314907;-0,571743;-0,5847263;-0,4275837;-0,627553;-0,09129572;0,1127763;0,3836527;-0,1405311;-0,2744079;0,1432772;0,04720497;0,5141153;-0,5558276;-0,3644118;0,0284934;-0,1882734;-0,2671285;-0,3645301;
215,000;-0,1163931;0,273932;0,3604646;-0,1207495;-0,3224859;-0,6355553;-0,6461039;0,1335149;0,01186132;-0,2935104;-0,1398034;-0,08302212;0,1280484;-0,4058776;-0,2299328;0,2895012;-0,2209263;0,0002174377;0,04440689;-0,1412926;-0,3935475;-0,5392957;-0,4144659;-0,3230438;-0,2955937;0,2953625;0,2705736;0,490211;0,04963684;-0,3953476;-0,1517978;-0,2058101;-0,2542353;-0,3489594;0,2625771;-0,1793628;-0,3110466;-0,2756753;-0,05438709;-0,3285799;-0,3050914;-0,4866157;0,1478419;-0,2403164;0,01168156;-0,01776743;-0,4600163;-0,1114531;0,5694695;-0,09001112;-0,1612091;-0,1116409;-0,2235665;-0,1517553;0,136735;-0,0662899;-0,1184192;-0,4570642;-0,4450302;0,1910672;-0,04003096;0,2891736;
216,000;-0,5727549;-0,3982911;-0,3692441;-0,7046614;-0,07066631;-0,02117586;-0,3422523;-0,418282;-0,8926268;-0,4934716;-0,4745274;-0,4873824;-0,3572011;-0,08143759;0,05445099;0,1804657;-0,2866902;-0,6188259;-0,6493583;0,01719952;-0,04125595;-0,2453089;-0,03870249;-0,7380228;0,0009393692;0,1797543;-0,2290511;-0,110044;-0,2324624;-0,3557425;-0,7595205;-0,2378774;-0,002859116;-0,09030104;-0,2602897;-0,7222085;0,02932262;-0,05389643;-0,3133774;-0,6108575;-0,6843681;-0,4347496;-0,5985727;-0,5227094;-0,5746126;0,1299019;-0,05038977;-0,1740179;-0,315454;-0,7149491;-0,1267581;-0,03419304;-0,01151991;-0,52459;0,1051917;-0,6297665;-0,1402493;-0,3026838;-0,08137512;0,08778286;-0,6831093;-0,2870822;
217,000;0,02562094;-0,05968618;0,3555121;-0,552289;0,04735661;-0,2841492;-0,2133698;0,07794094;0,3078904;-0,004468918;-0,1022773;-0,09649706;-0,2761407;0,002829552;0,02831125;0,3867879;0,1925507;0,03511572;0,2262397;0,1683083;0,2848687;-0,4139233;0,172987;0,2921391;-0,08227205;0,3793802;-0,3873177;0,3004417;-0,2663646;0,2262383;0,2751341;0,1612501;-0,1381116;0,4358859;-0,1768284;0,02968264;0,02172184;0,4957066;-0,05233812;0,3307199;-0,245194;-0,2138133;-0,32306;0,3628802;0,2373686;0,1668472;0,2511253;0,05214262;-0,2563324;0,08177567;0,2096128;0,4609823;0,1649632;0,2949505;0,1410308;0,08051777;-0,2546315;-0,2404189;0,09355545;0,1679668;0,2060952;-0,08846235;
218,000;0,6770248;0,33635;-0,172401;-0,1289053;0,619597;0,5700474;0,5427213;-0,02583456;0,2213254;0,7200599;0,2049828;0,1959867;0,6074276;0,05928278;0,5892906;0,7600017;0,01670027;0,05919743;0,5673003;0,695601;-0,1053786;0,5255589;0,7143378;0,532515;0,6252756;0,7925496;0,5869775;0,8037624;0,6812549;-0,1658401;0,3968115;0,09242392;0,3739905;0,7953873;0,4424119;0,213387;0,6333418;0,330792;0,6795712;0,309587;0,6001391;0,6543713;0,08201599;0,3940182;0,598774;0,4620633;0,161077;0,7630806;0,3648453;-0,1241174;0,6610951;0,5246592;0,7302647;0,868535;0,7244558;0,3085799;-0,003801823;-0,2825804;0,2429338;0,6373501;0,8067279;-0,1382689;
219,000;0,6291995;0,6559148;0,401155;0,4575758;0,4155679;0,09231472;0,7088609;0,05125618;0,4868608;0,348578;-0,2804875;-0,2192011;0,664535;-0,419507;0,6887231;0,3675928;0,542902;0,5052361;0,0164032;0,2170587;-0,07494593;0,4606643;0,002908707;0,1464434;0,216249;0,1640778;0,6818385;0,1253304;0,08678484;0,1658578;0,06175232;-0,01147938;-0,2068262;0,002394199;0,118731;0,03750801;0,2962184;0,2260733;0,1186504;-0,267004;0,6608562;0,2019844;0,2724876;-0,1063194;-0,2602029;-0,1226354;0,003937244;-0,08401775;0,3669443;0,4443016;0,4040484;-0,008694649;-0,01123524;-0,3133054;0,07577562;0,07451344;0,5669184;0,4471555;-0,02455568;0,6762209;0,2415791;0,2135615;
