,d2o 185 By Administrator Date Thursday. December 16 2021,
Time,15:21:53,
Wavenumbers [1/cm],Transmittance %,
6379.000,9.70348,
6378.000,9.65677,
6377.000,9.60691,
6376.000,9.55541,
6375.000,9.50409,
6374.000,9.45249,
6373.000,9.40013,
6372.000,9.34848,
6371.000,9.29848,
6370.000,9.24861,
6369.000,9.19766,
6368.000,9.14708,
6367.000,9.09855,
6366.000,9.05141,
6365.000,9.00487,
6364.000,8.96027,
6363.000,8.91878,
6362.000,8.87851,
6361.000,8.83644,
6360.000,8.79172,
6359.000,8.74506,
6358.000,8.6966,
6357.000,8.64676,
6356.000,8.59763,
6355.000,8.55104,
6354.000,8.50645,
6353.000,8.46249,
6352.000,8.41938,
6351.000,8.37763,
6350.000,8.33591,
6349.000,8.29221,
6348.000,8.2463,
6347.000,8.19926,
6346.000,8.1515,
6345.000,8.10314,
6344.000,8.05534,
6343.000,8.00964,
6342.000,7.96662,
6341.000,7.92618,
6340.000,7.88803,
6339.000,7.85101,
6338.000,7.81313,
6337.000,7.7735,
6336.000,7.73292,
6335.000,7.69175,
6334.000,7.64887,
6333.000,7.60393,
6332.000,7.55881,
6331.000,7.51544,
6330.000,7.47406,
6329.000,7.43442,
6328.000,7.39679,
6327.000,7.36007,
6326.000,7.32106,
6325.000,7.27804,
6324.000,7.2334,
6323.000,7.19062,
6322.000,7.15009,
6321.000,7.11014,
6320.000,7.07105,
6319.000,7.03479,
6318.000,7.00113,
6317.000,6.96647,
6316.000,6.92769,
6315.000,6.88557,
6314.000,6.84339,
6313.000,6.80288,
6312.000,6.76276,
6311.000,6.72156,
6310.000,6.68092,
6309.000,6.6445,
6308.000,6.61297,
6307.000,6.58231,
6306.000,6.54849,
6305.000,6.51249,
6304.000,6.47799,
6303.000,6.44546,
6302.000,6.41174,
6301.000,6.3756,
6300.000,6.33965,
6299.000,6.3061,
6298.000,6.2737,
6297.000,6.2404,
6296.000,6.20583,
6295.000,6.16955,
6294.000,6.13002,
6293.000,6.08748,
6292.000,6.04572,
6291.000,6.00813,
6290.000,5.97415,
6289.000,5.94154,
6288.000,5.91043,
6287.000,5.88222,
6286.000,5.85574,
6285.000,5.82775,
6284.000,5.7968,
6283.000,5.7646,
6282.000,5.73304,
6281.000,5.70171,
6280.000,5.66849,
6279.000,5.63195,
6278.000,5.59301,
6277.000,5.5548,
6276.000,5.52046,
6275.000,5.49044,
6274.000,5.46248,
6273.000,5.43415,
6272.000,5.40473,
6271.000,5.37478,
6270.000,5.34539,
6269.000,5.31786,
6268.000,5.29264,
6267.000,5.26776,
6266.000,5.23999,
6265.000,5.2079,
6264.000,5.17282,
6263.000,5.13662,
6262.000,5.1005,
6261.000,5.06625,
6260.000,5.0361,
6259.000,5.01011,
6258.000,4.98513,
6257.000,4.95748,
6256.000,4.92559,
6255.000,4.8897,
6254.000,4.85114,
6253.000,4.81279,
6252.000,4.77778,
6251.000,4.74672,
6250.000,4.71802,
6249.000,4.69149,
6248.000,4.66931,
6247.000,4.65207,
6246.000,4.63637,
6245.000,4.61813,
6244.000,4.59608,
6243.000,4.5704,
6242.000,4.54037,
6241.000,4.50614,
6240.000,4.47089,
6239.000,4.43836,
6238.000,4.40942,
6237.000,4.38277,
6236.000,4.35778,
6235.000,4.33414,
6234.000,4.30994,
6233.000,4.28311,
6232.000,4.25441,
6231.000,4.22688,
6230.000,4.20242,
6229.000,4.1806,
6228.000,4.16024,
6227.000,4.14034,
6226.000,4.11999,
6225.000,4.09898,
6224.000,4.07779,
6223.000,4.05565,
6222.000,4.03005,
6221.000,3.99998,
6220.000,3.9687,
6219.000,3.94045,
6218.000,3.91534,
6217.000,3.88998,
6216.000,3.86286,
6215.000,3.83636,
6214.000,3.81303,
6213.000,3.79273,
6212.000,3.77376,
6211.000,3.75512,
6210.000,3.73648,
6209.000,3.71737,
6208.000,3.69729,
6207.000,3.6758,
6206.000,3.6524,
6205.000,3.62744,
6204.000,3.60285,
6203.000,3.58059,
6202.000,3.56025,
6201.000,3.53968,
6200.000,3.51785,
6199.000,3.49574,
6198.000,3.47407,
6197.000,3.45209,
6196.000,3.42891,
6195.000,3.4047,
6194.000,3.38009,
6193.000,3.35591,
6192.000,3.33397,
6191.000,3.31643,
6190.000,3.30338,
6189.000,3.29232,
6188.000,3.28058,
6187.000,3.26723,
6186.000,3.25209,
6185.000,3.23449,
6184.000,3.21428,
6183.000,3.19303,
6182.000,3.17282,
6181.000,3.15428,
6180.000,3.13646,
6179.000,3.11815,
6178.000,3.09838,
6177.000,3.07632,
6176.000,3.05174,
6175.000,3.02579,
6174.000,3.00068,
6173.000,2.97861,
6172.000,2.96089,
6171.000,2.94756,
6170.000,2.93731,
6169.000,2.92792,
6168.000,2.91718,
6167.000,2.90342,
6166.000,2.88562,
6165.000,2.86392,
6164.000,2.84045,
6163.000,2.81858,
6162.000,2.80051,
6161.000,2.78577,
6160.000,2.77247,
6159.000,2.75945,
6158.000,2.74685,
6157.000,2.73501,
6156.000,2.72368,
6155.000,2.71227,
6154.000,2.70046,
6153.000,2.68846,
6152.000,2.6764,
6151.000,2.66309,
6150.000,2.64626,
6149.000,2.6255,
6148.000,2.60472,
6147.000,2.5898,
6146.000,2.58274,
6145.000,2.57952,
6144.000,2.57451,
6143.000,2.56581,
6142.000,2.55463,
6141.000,2.54159,
6140.000,2.52649,
6139.000,2.51108,
6138.000,2.49907,
6137.000,2.49184,
6136.000,2.48636,
6135.000,2.47838,
6134.000,2.46674,
6133.000,2.45312,
6132.000,2.43936,
6131.000,2.42659,
6130.000,2.41605,
6129.000,2.40864,
6128.000,2.40348,
6127.000,2.39846,
6126.000,2.39241,
6125.000,2.386,
6124.000,2.38003,
6123.000,2.37379,
6122.000,2.3656,
6121.000,2.35459,
6120.000,2.34185,
6119.000,2.32998,
6118.000,2.32144,
6117.000,2.31682,
6116.000,2.31452,
6115.000,2.31232,
6114.000,2.30902,
6113.000,2.30444,
6112.000,2.29846,
6111.000,2.29098,
6110.000,2.2829,
6109.000,2.27614,
6108.000,2.27245,
6107.000,2.27203,
6106.000,2.27337,
6105.000,2.27409,
6104.000,2.27253,
6103.000,2.26889,
6102.000,2.26489,
6101.000,2.26186,
6100.000,2.2597,
6099.000,2.25793,
6098.000,2.257,
6097.000,2.25726,
6096.000,2.25727,
6095.000,2.25493,
6094.000,2.25039,
6093.000,2.24638,
6092.000,2.24503,
6091.000,2.24598,
6090.000,2.24807,
6089.000,2.25109,
6088.000,2.25489,
6087.000,2.25789,
6086.000,2.25857,
6085.000,2.25759,
6084.000,2.25711,
6083.000,2.25821,
6082.000,2.2601,
6081.000,2.26172,
6080.000,2.26309,
6079.000,2.26479,
6078.000,2.26692,
6077.000,2.26887,
6076.000,2.26976,
6075.000,2.2695,
6074.000,2.26951,
6073.000,2.27191,
6072.000,2.27718,
6071.000,2.28351,
6070.000,2.28903,
6069.000,2.29378,
6068.000,2.29848,
6067.000,2.30239,
6066.000,2.3043,
6065.000,2.30502,
6064.000,2.30713,
6063.000,2.31206,
6062.000,2.31897,
6061.000,2.32659,
6060.000,2.33464,
6059.000,2.34313,
6058.000,2.3515,
6057.000,2.35877,
6056.000,2.36406,
6055.000,2.36681,
6054.000,2.36783,
6053.000,2.36961,
6052.000,2.37452,
6051.000,2.38256,
6050.000,2.39217,
6049.000,2.4025,
6048.000,2.41337,
6047.000,2.42353,
6046.000,2.43135,
6045.000,2.43764,
6044.000,2.44551,
6043.000,2.45653,
6042.000,2.46895,
6041.000,2.48052,
6040.000,2.49103,
6039.000,2.50081,
6038.000,2.50904,
6037.000,2.5154,
6036.000,2.52168,
6035.000,2.52981,
6034.000,2.53954,
6033.000,2.54982,
6032.000,2.56116,
6031.000,2.57429,
6030.000,2.58741,
6029.000,2.59759,
6028.000,2.60472,
6027.000,2.61207,
6026.000,2.62238,
6025.000,2.63504,
6024.000,2.64793,
6023.000,2.6604,
6022.000,2.6737,
6021.000,2.68885,
6020.000,2.70514,
6019.000,2.72102,
6018.000,2.73624,
6017.000,2.75238,
6016.000,2.77057,
6015.000,2.78911,
6014.000,2.80496,
6013.000,2.81754,
6012.000,2.82941,
6011.000,2.84257,
6010.000,2.85625,
6009.000,2.86951,
6008.000,2.88387,
6007.000,2.90122,
6006.000,2.92033,
6005.000,2.93802,
6004.000,2.9531,
6003.000,2.96699,
6002.000,2.98106,
6001.000,2.99582,
6000.000,3.0125,
5999.000,3.03256,
5998.000,3.05492,
5997.000,3.07596,
5996.000,3.09341,
5995.000,3.10858,
5994.000,3.12426,
5993.000,3.14201,
5992.000,3.16236,
5991.000,3.18563,
5990.000,3.21109,
5989.000,3.23645,
5988.000,3.25959,
5987.000,3.2803,
5986.000,3.29951,
5985.000,3.31803,
5984.000,3.33677,
5983.000,3.35734,
5982.000,3.38076,
5981.000,3.40599,
5980.000,3.4307,
5979.000,3.45346,
5978.000,3.47452,
5977.000,3.49486,
5976.000,3.51553,
5975.000,3.53756,
5974.000,3.56141,
5973.000,3.58624,
5972.000,3.61044,
5971.000,3.63329,
5970.000,3.65573,
5969.000,3.67934,
5968.000,3.70501,
5967.000,3.73267,
5966.000,3.76195,
5965.000,3.79267,
5964.000,3.82448,
5963.000,3.85657,
5962.000,3.88796,
5961.000,3.9184,
5960.000,3.94867,
5959.000,3.97945,
5958.000,4.01012,
5957.000,4.03908,
5956.000,4.0659,
5955.000,4.09253,
5954.000,4.12163,
5953.000,4.15385,
5952.000,4.1874,
5951.000,4.22052,
5950.000,4.25323,
5949.000,4.28612,
5948.000,4.3184,
5947.000,4.34854,
5946.000,4.37666,
5945.000,4.40487,
5944.000,4.43483,
5943.000,4.4662,
5942.000,4.49824,
5941.000,4.53168,
5940.000,4.56799,
5939.000,4.60706,
