,d2o 019 By Administrator Date Friday. December 17 2021,
Time,14:56:18,
Wavenumbers [1/cm],Transmittance %,
6558.000,10.2098,
6557.000,10.2766,
6556.000,10.3446,
6555.000,10.4115,
6554.000,10.4754,
6553.000,10.5372,
6552.000,10.5997,
6551.000,10.6635,
6550.000,10.727,
6549.000,10.7897,
6548.000,10.852,
6547.000,10.9136,
6546.000,10.9735,
6545.000,11.0325,
6544.000,11.0917,
6543.000,11.1494,
6542.000,11.2035,
6541.000,11.256,
6540.000,11.3113,
6539.000,11.3696,
6538.000,11.4264,
6537.000,11.4803,
6536.000,11.5347,
6535.000,11.5921,
6534.000,11.6491,
6533.000,11.7021,
6532.000,11.7517,
6531.000,11.799,
6530.000,11.8424,
6529.000,11.8808,
6528.000,11.9172,
6527.000,11.9546,
6526.000,11.9925,
6525.000,12.0289,
6524.000,12.0646,
6523.000,12.1006,
6522.000,12.1353,
6521.000,12.1664,
6520.000,12.1943,
6519.000,12.2205,
6518.000,12.2437,
6517.000,12.2626,
6516.000,12.2789,
6515.000,12.2951,
6514.000,12.3108,
6513.000,12.3245,
6512.000,12.3359,
6511.000,12.3459,
6510.000,12.3538,
6509.000,12.3592,
6508.000,12.3624,
6507.000,12.3636,
6506.000,12.361,
6505.000,12.3535,
6504.000,12.3435,
6503.000,12.333,
6502.000,12.321,
6501.000,12.3062,
6500.000,12.2901,
6499.000,12.2751,
6498.000,12.2604,
6497.000,12.243,
6496.000,12.221,
6495.000,12.1949,
6494.000,12.1659,
6493.000,12.1358,
6492.000,12.1061,
6491.000,12.0761,
6490.000,12.0429,
6489.000,12.0045,
6488.000,11.9624,
6487.000,11.9197,
6486.000,11.8783,
6485.000,11.8381,
6484.000,11.7984,
6483.000,11.7582,
6482.000,11.7164,
6481.000,11.6726,
6480.000,11.627,
6479.000,11.5786,
6478.000,11.526,
6477.000,11.4707,
6476.000,11.4161,
6475.000,11.3637,
6474.000,11.3111,
6473.000,11.256,
6472.000,11.1989,
6471.000,11.1409,
6470.000,11.0822,
6469.000,11.0227,
6468.000,10.9639,
6467.000,10.9066,
6466.000,10.8505,
6465.000,10.796,
6464.000,10.7435,
6463.000,10.6919,
6462.000,10.638,
6461.000,10.5799,
6460.000,10.5192,
6459.000,10.4588,
6458.000,10.3998,
6457.000,10.3421,
6456.000,10.2853,
6455.000,10.2282,
6454.000,10.1699,
6453.000,10.1112,
6452.000,10.0531,
6451.000,9.9952,
6450.000,9.93636,
6449.000,9.87783,
6448.000,9.82144,
6447.000,9.7653,
6446.000,9.70507,
6445.000,9.64059,
6444.000,9.5772,
6443.000,9.51882,
6442.000,9.46326,
6441.000,9.40689,
6440.000,9.35037,
6439.000,9.29642,
6438.000,9.24439,
6437.000,9.19082,
6436.000,9.13479,
6435.000,9.07907,
6434.000,9.02591,
6433.000,8.97388,
6432.000,8.91984,
6431.000,8.86302,
