,d2o 181 By Administrator Date Thursday. December 16 2021,
Time,14:12:07,
Wavenumbers [1/cm],Transmittance %,
6454.000,9.71676,
6453.000,9.66946,
6452.000,9.62139,
6451.000,9.57368,
6450.000,9.52815,
6449.000,9.48492,
6448.000,9.44185,
6447.000,9.39626,
6446.000,9.34785,
6445.000,9.29987,
6444.000,9.25556,
6443.000,9.21394,
6442.000,9.17122,
6441.000,9.12633,
6440.000,9.08174,
6439.000,9.03828,
6438.000,8.99323,
6437.000,8.94507,
6436.000,8.89683,
6435.000,8.85172,
6434.000,8.80835,
6433.000,8.76317,
6432.000,8.71598,
6431.000,8.67003,
6430.000,8.62753,
6429.000,8.58754,
6428.000,8.54786,
6427.000,8.50745,
6426.000,8.46652,
6425.000,8.42526,
6424.000,8.38277,
6423.000,8.33781,
6422.000,8.29142,
6421.000,8.24747,
6420.000,8.20857,
6419.000,8.17212,
6418.000,8.13304,
6417.000,8.09009,
6416.000,8.04653,
6415.000,8.00493,
6414.000,7.96481,
6413.000,7.92587,
6412.000,7.88944,
6411.000,7.85535,
6410.000,7.8206,
6409.000,7.78316,
6408.000,7.74405,
6407.000,7.7043,
6406.000,7.66282,
6405.000,7.61929,
6404.000,7.57608,
6403.000,7.53521,
6402.000,7.49599,
6401.000,7.45751,
6400.000,7.42059,
6399.000,7.38531,
6398.000,7.34942,
6397.000,7.31164,
6396.000,7.27375,
6395.000,7.23721,
6394.000,7.20041,
6393.000,7.16208,
6392.000,7.12457,
6391.000,7.09031,
6390.000,7.05706,
6389.000,7.02051,
6388.000,6.98014,
6387.000,6.9394,
6386.000,6.90091,
6385.000,6.86488,
6384.000,6.83115,
6383.000,6.79961,
6382.000,6.76843,
6381.000,6.73474,
6380.000,6.69755,
6379.000,6.65839,
6378.000,6.61925,
6377.000,6.58144,
6376.000,6.54594,
6375.000,6.51278,
6374.000,6.48042,
6373.000,6.44753,
6372.000,6.41496,
6371.000,6.38429,
6370.000,6.35509,
6369.000,6.32529,
6368.000,6.29393,
6367.000,6.26154,
6366.000,6.22818,
6365.000,6.19314,
6364.000,6.1568,
6363.000,6.12105,
6362.000,6.08735,
6361.000,6.05556,
6360.000,6.02492,
6359.000,5.99491,
6358.000,5.96494,
6357.000,5.9343,
6356.000,5.90278,
6355.000,5.87104,
6354.000,5.83984,
6353.000,5.80917,
6352.000,5.77839,
6351.000,5.74699,
6350.000,5.71582,
6349.000,5.6871,
6348.000,5.66234,
6347.000,5.63964,
6346.000,5.61443,
6345.000,5.58369,
6344.000,5.54869,
6343.000,5.51285,
6342.000,5.47778,
6341.000,5.44307,
6340.000,5.40908,
6339.000,5.37818,
6338.000,5.3521,
6337.000,5.32922,
6336.000,5.30566,
6335.000,5.27914,
6334.000,5.25093,
6333.000,5.22347,
6332.000,5.19668,
6331.000,5.16822,
6330.000,5.13733,
6329.000,5.10652,
6328.000,5.07833,
6327.000,5.05186,
6326.000,5.02442,
6325.000,4.99546,
6324.000,4.9667,
6323.000,4.93883,
6322.000,4.91094,
6321.000,4.88313,
6320.000,4.85707,
6319.000,4.83315,
6318.000,4.80952,
6317.000,4.78489,
6316.000,4.75997,
6315.000,4.73515,
6314.000,4.70938,
6313.000,4.68289,
6312.000,4.65857,
6311.000,4.63798,
6310.000,4.61774,
6309.000,4.59287,
6308.000,4.56293,
6307.000,4.53192,
6306.000,4.50271,
6305.000,4.47462,
6304.000,4.4469,
6303.000,4.4213,
6302.000,4.39949,
6301.000,4.37979,
6300.000,4.35888,
6299.000,4.33581,
6298.000,4.31263,
6297.000,4.29096,
6296.000,4.26989,
6295.000,4.24762,
6294.000,4.22401,
6293.000,4.2001,
6292.000,4.17608,
6291.000,4.15117,
6290.000,4.1256,
6289.000,4.10118,
6288.000,4.07929,
6287.000,4.05901,
6286.000,4.03834,
6285.000,4.0167,
6284.000,3.99513,
6283.000,3.97422,
6282.000,3.95296,
6281.000,3.92985,
6280.000,3.90466,
6279.000,3.87874,
6278.000,3.85391,
6277.000,3.83123,
6276.000,3.81056,
6275.000,3.79132,
6274.000,3.77343,
6273.000,3.75708,
6272.000,3.74175,
6271.000,3.72629,
6270.000,3.71029,
6269.000,3.69458,
6268.000,3.67964,
6267.000,3.66446,
6266.000,3.64751,
6265.000,3.62805,
6264.000,3.60597,
6263.000,3.58139,
6262.000,3.55555,
6261.000,3.53087,
6260.000,3.50885,
6259.000,3.48841,
6258.000,3.46746,
6257.000,3.44552,
6256.000,3.42376,
6255.000,3.40308,
6254.000,3.3839,
6253.000,3.36692,
6252.000,3.35254,
6251.000,3.33941,
6250.000,3.32521,
6249.000,3.3089,
6248.000,3.29118,
6247.000,3.27287,
6246.000,3.25406,
6245.000,3.23478,
6244.000,3.21532,
6243.000,3.19588,
6242.000,3.17659,
6241.000,3.15784,
6240.000,3.13966,
6239.000,3.12163,
6238.000,3.10422,
6237.000,3.08912,
6236.000,3.07679,
6235.000,3.06485,
6234.000,3.05075,
6233.000,3.03536,
6232.000,3.02148,
6231.000,3.00938,
6230.000,2.99637,
6229.000,2.98088,
6228.000,2.96447,
6227.000,2.94916,
6226.000,2.93502,
6225.000,2.92128,
6224.000,2.90781,
6223.000,2.89465,
6222.000,2.88149,
6221.000,2.86844,
6220.000,2.8562,
6219.000,2.84474,
6218.000,2.83328,
6217.000,2.82171,
6216.000,2.81065,
6215.000,2.79994,
6214.000,2.78843,
6213.000,2.77594,
6212.000,2.76362,
6211.000,2.75218,
6210.000,2.74103,
6209.000,2.7299,
6208.000,2.71945,
6207.000,2.70962,
