Wavelength [nm], Absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, 
212.000, 0.8129201, 0.8124595, 0.8132577, 0.9756098, 1.003366, 0.9998393, 0.9960122, 0.9997063, 1.010215, 1.010902, 1.021723, 1.012344, 1.017385, 1.013403, 1.011771, 1.017049, 1.018089, 1.019638, 1.021619, 1.02139, 1.020803, 1.02148, 1.020917, 1.021097, 1.022913, 1.024849, 1.022375, 1.021725, 1.021344, 1.019928, 1.024511, 1.021587, 1.024619, 1.02269, 1.023002, 1.019024, 1.028099, 1.025405, 1.02679, 1.027597, 
213.000, 0.8081818, 0.8089986, 0.8092608, 0.9628429, 0.9861279, 0.9849315, 0.9848776, 0.9865956, 0.99301, 0.9933448, 0.9968152, 0.9961147, 0.9997911, 0.995399, 0.9962277, 1.002013, 1.004896, 1.002818, 1.00292, 1.003017, 1.004535, 1.008272, 1.003757, 1.004815, 1.002669, 1.005981, 1.005214, 1.006518, 1.01026, 1.002833, 1.008477, 1.007132, 1.008035, 1.007805, 1.008747, 1.00686, 1.008844, 1.005714, 1.00815, 1.011832, 
214.000, 0.8050628, 0.807497, 0.8060327, 0.949657, 0.9760623, 0.9745407, 0.9738197, 0.9749255, 0.9799004, 0.9817209, 0.9828854, 0.9797454, 0.9850688, 0.9811053, 0.9859862, 0.9877043, 0.9901595, 0.993516, 0.9897437, 0.9888201, 0.9900002, 0.9907894, 0.991056, 0.9924865, 0.9880142, 0.995501, 0.9922161, 0.9934464, 0.9969811, 0.9965267, 0.9924927, 0.9939966, 0.9937, 0.991322, 0.9948325, 0.9892173, 0.9948812, 0.9945922, 0.9951363, 0.9954448, 
215.000, 0.8061962, 0.8067088, 0.8061371, 0.9423742, 0.9695344, 0.9686856, 0.9704103, 0.9691005, 0.9731984, 0.9749022, 0.9830365, 0.9750261, 0.9770122, 0.979001, 0.975976, 0.9803677, 0.9837966, 0.9837222, 0.978405, 0.9818573, 0.9783993, 0.9831395, 0.9826055, 0.9860015, 0.9844856, 0.9849586, 0.9856696, 0.9845872, 0.9825668, 0.9856372, 0.9837828, 0.9867597, 0.9821496, 0.9864793, 0.9820194, 0.9816432, 0.9878545, 0.9899912, 0.987443, 0.9880571, 
216.000, 0.8057132, 0.8049455, 0.8060546, 0.932632, 0.9597726, 0.9592614, 0.9572372, 0.9601803, 0.9666247, 0.9671178, 0.9643073, 0.9676456, 0.971509, 0.9720592, 0.9689884, 0.9756165, 0.9753399, 0.9720745, 0.971993, 0.9768734, 0.9732194, 0.9741063, 0.9739695, 0.9769859, 0.9739637, 0.9775119, 0.976645, 0.9787431, 0.97679, 0.976872, 0.9818664, 0.9753323, 0.9786916, 0.9787135, 0.9785018, 0.9766154, 0.9813228, 0.97932, 0.9838324, 0.9826193, 
217.000, 0.8036265, 0.8061905, 0.8061237, 0.9328771, 0.9622335, 0.9572806, 0.9558196, 0.9577761, 0.9671335, 0.9635706, 0.9628258, 0.9661946, 0.9692349, 0.9703417, 0.9667501, 0.9729028, 0.9758358, 0.9738731, 0.9738026, 0.9751463, 0.9732642, 0.9728084, 0.9746342, 0.9760618, 0.975307, 0.9803233, 0.9741864, 0.9756222, 0.9794545, 0.9794235, 0.9772544, 0.9769588, 0.976696, 0.9733229, 0.9830227, 0.9746637, 0.9785161, 0.979619, 0.9811788, 0.9790292, 
218.000, 0.8070011, 0.8044715, 0.805263, 0.9251561, 0.9563904, 0.9515395, 0.9548454, 0.9544697, 0.9606166, 0.9596496, 0.9716797, 0.9709654, 0.9644012, 0.9657989, 0.9679508, 0.9662261, 0.9694333, 0.9700356, 0.9681392, 0.974689, 0.9727407, 0.9665079, 0.9720001, 0.9707913, 0.9753065, 0.9689512, 0.9717603, 0.9742012, 0.9737053, 0.973402, 0.9742689, 0.972187, 0.9744005, 0.9695807, 0.9750552, 0.9705281, 0.9787855, 0.9768052, 0.9781795, 0.9756584, 
219.000, 0.7999434, 0.8025885, 0.8048496, 0.9239774, 0.9498749, 0.9481707, 0.9473963, 0.950129, 0.9570093, 0.9578061, 0.957612, 0.9572124, 0.9598064, 0.9584293, 0.9596229, 0.9623775, 0.9633913, 0.9621334, 0.9633193, 0.9631228, 0.9633217, 0.9631348, 0.9613533, 0.9652386, 0.9633293, 0.9665265, 0.9671454, 0.9666786, 0.9665332, 0.9631186, 0.9714985, 0.9647994, 0.9650998, 0.9683204, 0.9674382, 0.9634385, 0.9669776, 0.9689369, 0.9731579, 0.9667683, 
220.000, 0.803195, 0.802228, 0.8038254, 0.9265628, 0.9527278, 0.9492373, 0.9486666, 0.951201, 0.9535193, 0.9613352, 0.9580355, 0.958859, 0.9636555, 0.9630656, 0.9609962, 0.9640164, 0.9591575, 0.958714, 0.9654083, 0.9667363, 0.9626179, 0.9643764, 0.9677854, 0.9668922, 0.9640265, 0.9701071, 0.9680343, 0.9701476, 0.972384, 0.9725919, 0.9656973, 0.9705901, 0.9636669, 0.9693308, 0.9722257, 0.9634967, 0.9679518, 0.9721303, 0.9689913, 0.9699616, 
221.000, 0.8075938, 0.8082166, 0.8077598, 0.9283638, 0.9569325, 0.9561915, 0.9577208, 0.955236, 0.9597516, 0.9596729, 0.9711852, 0.9647574, 0.9633174, 0.9652629, 0.9668913, 0.9634566, 0.9688892, 0.9697189, 0.967701, 0.9732695, 0.9726496, 0.9690084, 0.9710455, 0.9714499, 0.9747543, 0.9715538, 0.9712691, 0.972136, 0.9710364, 0.9713497, 0.9746337, 0.9702525, 0.973978, 0.9711318, 0.9731083, 0.9746709, 0.9747562, 0.9740305, 0.9697556, 0.9749246, 
222.000, 0.8071928, 0.8086815, 0.8080068, 0.9318452, 0.9567928, 0.950182, 0.9535575, 0.9534464, 0.9608355, 0.9652519, 0.9650822, 0.9671063, 0.9678884, 0.9658446, 0.9668531, 0.9653654, 0.9661827, 0.967308, 0.969985, 0.9725037, 0.9712205, 0.9639993, 0.9688592, 0.9697089, 0.9711957, 0.9714012, 0.9729843, 0.9685535, 0.9740171, 0.9732528, 0.9784064, 0.9784327, 0.9773426, 0.975378, 0.970119, 0.9707637, 0.9767885, 0.9700828, 0.9781666, 0.9768953, 
