,cavity_after,
Wavenumbers [1/cm],Transmittance,
6715.834,0.1620498,
6713.905,0.1635804,
6711.977,0.1648517,
6710.048,0.1662572,
6708.119,0.1678396,
6706.190,0.1697234,
6704.262,0.1718026,
6702.333,0.1735955,
6700.404,0.1750018,
6698.475,0.176182,
6696.547,0.1771781,
6694.618,0.1781619,
6692.689,0.1791775,
6690.760,0.1799024,
6688.832,0.1801882,
6686.903,0.1803779,
6684.974,0.1809526,
6683.046,0.1818284,
6681.117,0.1824236,
6679.188,0.1824926,
6677.259,0.182266,
6675.331,0.1820774,
6673.402,0.1819899,
6671.473,0.1817925,
6669.544,0.1814407,
6667.616,0.1809573,
6665.687,0.1802579,
6663.758,0.1794223,
6661.830,0.1785942,
6659.901,0.177779,
6657.972,0.1769414,
6656.043,0.175952,
6654.115,0.1747488,
6652.186,0.1735009,
6650.257,0.172143,
6648.328,0.1705372,
6646.400,0.1689512,
6644.471,0.1675533,
6642.542,0.1660974,
6640.614,0.1644488,
6638.685,0.1628736,
6636.756,0.1614562,
6634.827,0.1598789,
6632.899,0.1580524,
6630.970,0.1561058,
6629.041,0.154215,
6627.112,0.1525732,
6625.184,0.1509753,
6623.255,0.1492122,
6621.326,0.147432,
6619.398,0.1455549,
6617.469,0.1434687,
6615.540,0.1414453,
6613.611,0.1395802,
6611.683,0.1376203,
6609.754,0.1355625,
6607.825,0.1336748,
6605.896,0.1319288,
6603.968,0.1300229,
6602.039,0.1278934,
6600.110,0.1258613,
6598.182,0.1242267,
6596.253,0.1227467,
6594.324,0.1209765,
6592.395,0.1190157,
6590.467,0.1171939,
6588.538,0.1154909,
6586.609,0.1137529,
6584.680,0.1119792,
6582.752,0.1103408,
6580.823,0.1088534,
6578.894,0.1072125,
6576.965,0.1054383,
6575.037,0.1039142,
6573.108,0.1026234,
6571.179,0.1012253,
6569.251,0.0996389,
6567.322,0.09811908,
6565.393,0.09681349,
6563.464,0.09541266,
6561.536,0.09371071,
6559.607,0.09209231,
6557.678,0.09078226,
6555.749,0.0895272,
6553.821,0.08825614,
6551.892,0.08709656,
6549.963,0.08603624,
6548.035,0.08490954,
6546.106,0.08366453,
6544.177,0.08249173,
6542.248,0.08141235,
6540.320,0.08028701,
6538.391,0.07918186,
6536.462,0.07831115,
6534.533,0.07768907,
6532.605,0.07696892,
6530.676,0.07598277,
6528.747,0.07494501,
6526.819,0.07390639,
6524.890,0.07282336,
6522.961,0.07185125,
6521.032,0.07103064,
6519.104,0.07027015,
6517.175,0.06962173,
6515.246,0.06904885,
6513.317,0.06836963,
6511.389,0.06757487,
6509.460,0.06685077,
6507.531,0.06630851,
6505.603,0.06582569,
6503.674,0.06522888,
6501.745,0.06451906,
6499.816,0.06391995,
6497.888,0.06356665,
6495.959,0.06318592,
6494.030,0.06260892,
6492.101,0.06218358,
6490.173,0.06209879,
6488.244,0.06195555,
6486.315,0.0614617,
6484.386,0.06086863,
6482.458,0.06048722,
6480.529,0.06024666,
6478.600,0.05990194,
