,cavity_before,
Wavenumbers [1/cm],Transmittance,
6800.698,0.176206,
6798.769,0.1774978,
6796.841,0.178697,
6794.912,0.1799679,
6792.983,0.1811656,
6791.054,0.1820553,
6789.126,0.1826409,
6787.197,0.1831031,
6785.268,0.1836108,
6783.339,0.1841522,
6781.411,0.1847768,
6779.482,0.1853691,
6777.553,0.1854159,
6775.625,0.1849476,
6773.696,0.1846212,
6771.767,0.1846023,
6769.838,0.1844339,
6767.910,0.1837383,
6765.981,0.1826378,
6764.052,0.1816341,
6762.123,0.1809931,
6760.195,0.1804079,
6758.266,0.1796469,
6756.337,0.1788684,
6754.409,0.1778472,
6752.480,0.1762739,
6750.551,0.1746016,
6748.622,0.1731687,
6746.694,0.1717143,
6744.765,0.1701914,
6742.836,0.1686576,
6740.907,0.1668939,
6738.979,0.1647962,
6737.050,0.1625428,
6735.121,0.1603926,
6733.193,0.1584703,
6731.264,0.1566365,
6729.335,0.1546897,
6727.406,0.1526302,
6725.478,0.1505854,
6723.549,0.1485589,
6721.620,0.1464279,
6719.691,0.1442289,
6717.763,0.1421235,
6715.834,0.1400328,
6713.905,0.1378972,
6711.977,0.1358251,
6710.048,0.1336534,
6708.119,0.1314037,
6706.190,0.1293982,
6704.262,0.127472,
6702.333,0.1254363,
6700.404,0.1234091,
6698.475,0.1213356,
6696.547,0.1193012,
6694.618,0.1174505,
6692.689,0.1155665,
6690.760,0.1134824,
6688.832,0.1113666,
6686.903,0.1094688,
6684.974,0.1077845,
6683.046,0.1061362,
6681.117,0.1045189,
6679.188,0.1029588,
6677.259,0.1013767,
6675.331,0.09979659,
6673.402,0.09823871,
6671.473,0.09662971,
6669.544,0.09506387,
6667.616,0.09355432,
6665.687,0.0918559,
6663.758,0.09015702,
6661.830,0.08885307,
6659.901,0.08773578,
6657.972,0.08650494,
6656.043,0.08517386,
6654.115,0.08382291,
6652.186,0.08268341,
6650.257,0.08180875,
6648.328,0.08089745,
6646.400,0.07982324,
6644.471,0.0786284,
6642.542,0.07741119,
6640.614,0.07641036,
6638.685,0.07560243,
6636.756,0.07480089,
6634.827,0.07408814,
6632.899,0.07344081,
6630.970,0.07261963,
6629.041,0.0716375,
6627.112,0.07068731,
6625.184,0.06992665,
6623.255,0.06940607,
6621.326,0.06883417,
6619.398,0.06793565,
6617.469,0.06697249,
6615.540,0.06628465,
6613.611,0.06584497,
6611.683,0.0653911,
6609.754,0.0646589,
6607.825,0.06384942,
6605.896,0.06343014,
6603.968,0.06320602,
6602.039,0.06266176,
6600.110,0.06190598,
6598.182,0.06135504,
6596.253,0.06114338,
6594.324,0.06111268,
6592.395,0.06093333,
6590.467,0.06050487,
6588.538,0.06007097,
6586.609,0.05977375,
6584.680,0.05955934,
6582.752,0.05929429,
6580.823,0.05890599,
6578.894,0.05860494,
6576.965,0.05854681,
6575.037,0.05851695,
6573.108,0.05822964,
6571.179,0.05775591,
6569.251,0.05739771,
6567.322,0.05712681,
6565.393,0.05688814,
6563.464,0.05687539,
6561.536,0.05690182,
6559.607,0.05673297,
6557.678,0.05664881,
6555.749,0.05673089,
6553.821,0.05671996,
6551.892,0.05664309,
6549.963,0.05660491,
6548.035,0.05653054,
6546.106,0.05642808,
6544.177,0.05640882,
6542.248,0.05651657,
6540.320,0.05671892,
6538.391,0.05696438,
6536.462,0.05712513,
6534.533,0.05718997,
6532.605,0.05738188,
6530.676,0.05772341,
6528.747,0.05792716,
6526.819,0.05785597,
6524.890,0.05774648,
6522.961,0.05784746,
6521.032,0.05815254,
6519.104,0.05855757,
6517.175,0.05886435,
6515.246,0.05895226,
6513.317,0.05900547,
6511.389,0.05922098,
6509.460,0.05957843,
6507.531,0.05998177,
6505.603,0.06049057,
6503.674,0.0612166,
6501.745,0.06200254,
6499.816,0.06254642,
6497.888,0.06283037,
6495.959,0.06312667,
6494.030,0.0636005,
6492.101,0.06421944,
6490.173,0.06486288,
6488.244,0.06539121,
6486.315,0.06588375,
6484.386,0.06648359,
6482.458,0.06710181,
6480.529,0.06780004,
6478.600,0.06872394,
6476.672,0.06956709,
6474.743,0.07009864,
6472.814,0.070593,
6470.885,0.07122172,
6468.957,0.07189044,
6467.028,0.07263612,
6465.099,0.07356913,
6463.170,0.07459268,
6461.242,0.07558201,
6459.313,0.07659969,
6457.384,0.0777177,
6455.456,0.07890621,
6453.527,0.0801174,
6451.598,0.08130233,
6449.669,0.08238327,
6447.741,0.08345697,
6445.812,0.08471231,
6443.883,0.08604195,
6441.954,0.08730993,
6440.026,0.08863414,
6438.097,0.09003019,
6436.168,0.09134959,
6434.240,0.0926442,
6432.311,0.09400364,
6430.382,0.09534167,
6428.453,0.09684221,
6426.525,0.09873324,
6424.596,0.1006251,
6422.667,0.1021606,
6420.738,0.1036815,
6418.810,0.1054851,
6416.881,0.1074408,
6414.952,0.1094422,
6413.024,0.1113892,
6411.095,0.1132436,
6409.166,0.1151581,
6407.237,0.1171184,
6405.309,0.1190597,
6403.380,0.121217,
6401.451,0.1237627,
6399.522,0.1263508,
6397.594,0.1285344,
6395.665,0.1304501,
6393.736,0.1324877,
6391.808,0.1346773,
6389.879,0.1368843,
6387.950,0.13911,
6386.021,0.1414242,
6384.093,0.1438957,
6382.164,0.1464683,
6380.235,0.1489023,
6378.306,0.1511678,
6376.378,0.1535473,
6374.449,0.1560238,
6372.520,0.1582734,
6370.591,0.1603827,
6368.663,0.1627097,
6366.734,0.1651608,
6364.805,0.1673705,
6362.877,0.1693336,
6360.948,0.1712704,
6359.019,0.1732288,
6357.090,0.175166,
6355.162,0.1770545,
6353.233,0.1789006,
6351.304,0.1807193,
6349.375,0.1824777,
6347.447,0.1841432,
6345.518,0.185702,
6343.589,0.1872135,
6341.661,0.1885938,
6339.732,0.1895929,
6337.803,0.1903352,
6335.874,0.1911,
6333.946,0.1918002,
6332.017,0.1923248,
6330.088,0.1928954,
6328.159,0.1936335,
6326.231,0.1942131,
6324.302,0.1943901,
6322.373,0.1943141,
6320.445,0.1942074,
6318.516,0.1940849,
6316.587,0.1937539,
6314.658,0.1931818,
6312.730,0.1925508,
6310.801,0.1919271,
6308.872,0.1911776,
6306.943,0.1901108,
6305.015,0.188742,
6303.086,0.1873244,
6301.157,0.1860093,
6299.229,0.1846832,
6297.300,0.1832016,
6295.371,0.1815169,
6293.442,0.1796344,
6291.514,0.1776866,
6289.585,0.1758056,
6287.656,0.1739059,
6285.727,0.1718174,
6283.799,0.1695019,
6281.870,0.1670735,
6279.941,0.1646587,
6278.013,0.16234,
6276.084,0.1600973,
6274.155,0.1577481,
6272.226,0.1552414,
6270.298,0.1527288,
6268.369,0.1502481,
6266.440,0.1477558,
6264.511,0.1452561,
6262.583,0.1427712,
6260.654,0.1403202,
6258.725,0.1378842,
6256.796,0.1354834,
6254.868,0.1331724,
6252.939,0.130867,
6251.010,0.1283961,
6249.082,0.1257998,
6247.153,0.1233779,
6245.224,0.1213022,
6243.295,0.1193983,
6241.367,0.117429,
6239.438,0.1153238,
6237.509,0.1130989,
6235.580,0.1108311,
6233.652,0.1086537,
6231.723,0.1066063,
6229.794,0.1046923,
6227.866,0.1029037,
6225.937,0.1010278,
6224.008,0.09897751,
6222.079,0.09701034,
6220.151,0.09527043,
6218.222,0.09369273,
6216.293,0.09223925,
6214.364,0.09091806,
6212.436,0.08962192,
6210.507,0.08811492,
6208.578,0.08643363,
6206.650,0.08491573,
6204.721,0.08359889,
6202.792,0.0822224,
6200.863,0.08083118,
6198.935,0.07955521,
6197.006,0.07827336,
6195.077,0.07702801,
6193.148,0.07585887,
6191.220,0.07459653,
6189.291,0.07332479,
6187.362,0.07226746,
6185.434,0.07135651,
6183.505,0.07039027,
6181.576,0.06937499,
6179.647,0.06836627,
6177.719,0.06736407,
6175.790,0.06651278,
6173.861,0.06585305,
6171.932,0.06518221,
6170.004,0.06441472,
6168.075,0.06365713,
6166.146,0.06295954,
6164.218,0.06223631,
6162.289,0.06144908,
6160.360,0.06072888,
6158.431,0.06017908,
6156.503,0.05968662,
6154.574,0.05917908,
6152.645,0.05873238,
6150.716,0.05827277,
6148.788,0.0576806,
6146.859,0.05710226,
6144.930,0.05670654,
6143.001,0.056287,
6141.073,0.0555997,
6139.144,0.05485738,
6137.215,0.05438587,
6135.287,0.05418394,
6133.358,0.05410342,
6131.429,0.05399075,
6129.500,0.05363204,
6127.572,0.05304233,
6125.643,0.05250115,
6123.714,0.05214179,
6121.785,0.05194937,
6119.857,0.05186085,
6117.928,0.05177974,
6115.999,0.05165371,
6114.071,0.05146319,
6112.142,0.05126001,
6110.213,0.05110846,
6108.284,0.05099018,
6106.356,0.05082928,
6104.427,0.05059645,
6102.498,0.05036223,
6100.569,0.0501459,
6098.641,0.04997659,
6096.712,0.04997527,
6094.783,0.05009467,
6092.855,0.05016452,
6090.926,0.05021119,
6088.997,0.05035798,
6087.068,0.05051202,
6085.140,0.05051753,
6083.211,0.0504711,
6081.282,0.05050423,
6079.353,0.05049179,
6077.425,0.0503645,
6075.496,0.05032462,
6073.567,0.05044974,
6071.639,0.05058775,
6069.710,0.05067578,
6067.781,0.05082775,
6065.852,0.05118478,
6063.924,0.05163673,
6061.995,0.05194805,
6060.066,0.05215921,
6058.137,0.05234229,
6056.209,0.05247443,
6054.280,0.05271778,
6052.351,0.05307684,
6050.423,0.05334652,
6048.494,0.05358605,
6046.565,0.05392631,
6044.636,0.0543464,
6042.708,0.05479776,
6040.779,0.05523022,
6038.850,0.05563025,
6036.921,0.05600328,
6034.993,0.056388,
6033.064,0.05681108,
6031.135,0.05721154,
6029.206,0.05761737,
6027.278,0.05811515,
6025.349,0.05861144,
6023.420,0.05903282,
6021.492,0.05956065,
6019.563,0.06027459,
6017.634,0.06107049,
6015.705,0.06193471,
6013.777,0.06277061,
6011.848,0.06346978,
6009.919,0.06413802,
6007.990,0.06485422,
6006.062,0.06562632,
6004.133,0.06647967,
6002.204,0.06739381,
6000.276,0.06836972,
5998.347,0.06940877,
5996.418,0.07043924,
5994.489,0.07146346,
5992.561,0.07255707,
5990.632,0.07372712,
5988.703,0.07493481,
5986.774,0.07609381,
5984.846,0.07721123,
5982.917,0.07845008,
5980.988,0.07980477,
5979.060,0.08116356,
5977.131,0.08257948,
5975.202,0.08408771,
5973.273,0.08560746,
5971.345,0.08709144,
5969.416,0.08856013,
5967.487,0.0900908,
5965.558,0.0917655,
5963.630,0.09356102,
5961.701,0.09535199,
5959.772,0.09706066,
5957.844,0.09878881,
5955.915,0.1007171,
5953.986,0.102812,
5952.057,0.1048537,
5950.129,0.1068537,
5948.200,0.1089562,
5946.271,0.1111138,
5944.342,0.1133581,
5942.414,0.1157536,
5940.485,0.1181372,
5938.556,0.1204469,
5936.627,0.1227893,
5934.699,0.1251912,
5932.770,0.127642,
5930.841,0.1301174,
5928.913,0.1326124,
5926.984,0.1352159,
5925.055,0.1379383,
5923.126,0.1406427,
5921.198,0.1432084,
5919.269,0.1456539,
5917.340,0.1481541,
5915.411,0.1507993,
5913.483,0.1534712,
5911.554,0.1560642,
5909.625,0.1585527,
5907.697,0.1609579,
5905.768,0.163378,
5903.839,0.1658733,
5901.910,0.1683618,
5899.982,0.1706853,
5898.053,0.17275,
5896.124,0.1747134,
5894.195,0.1767483,
5892.267,0.1786962,
5890.338,0.1804639,
5888.409,0.1821356,
5886.481,0.1836658,
5884.552,0.1850782,
5882.623,0.1864233,
5880.694,0.1876327,
5878.766,0.1886875,
5876.837,0.1895378,
5874.908,0.1901633,
5872.979,0.1906854,
5871.051,0.1910937,
5869.122,0.1913068,
5867.193,0.1914002,
5865.265,0.1914146,
5863.336,0.1912733,
5861.407,0.1908908,
5859.478,0.1902347,
5857.550,0.1893851,
5855.621,0.1884382,
5853.692,0.1874425,
5851.763,0.1864122,
5849.835,0.1852657,
5847.906,0.1838885,
5845.977,0.1822862,
5844.049,0.1805538,
5842.120,0.1787141,
5840.191,0.1767119,
5838.262,0.1745701,
5836.334,0.1723898,
5834.405,0.1702035,
5832.476,0.1680074,
5830.547,0.1657843,
5828.619,0.1634204,
5826.690,0.1608943,
5824.761,0.1583465,
5822.832,0.1558108,
5820.904,0.1531865,
5818.975,0.1504393,
5817.046,0.1476946,
5815.118,0.1450998,
5813.189,0.1426195,
5811.260,0.1400931,
5809.331,0.1374851,
5807.403,0.1349148,
5805.474,0.1323932,
5803.545,0.1298133,
5801.616,0.1272096,
5799.688,0.1246753,
5797.759,0.1221722,
5795.830,0.1196872,
5793.902,0.1172732,
5791.973,0.1149121,
5790.044,0.112598,
5788.115,0.1103446,
5786.187,0.108119,
5784.258,0.1059429,
5782.329,0.1037988,
5780.400,0.1015926,
5778.472,0.09943297,
5776.543,0.09752338,
5774.614,0.09576595,
5772.686,0.09393769,
5770.757,0.09205161,
5768.828,0.09017449,
5766.899,0.08831181,
5764.971,0.08656588,
5763.042,0.08490924,
5761.113,0.08319478,
5759.184,0.08154813,
5757.256,0.0801357,
5755.327,0.07882989,
5753.398,0.07742894,
5751.470,0.0759206,
5749.541,0.07442411,
5747.612,0.07304715,
5745.683,0.07187576,
5743.755,0.0708154,
5741.826,0.06966905,
5739.897,0.06848935,
5737.968,0.06741733,
5736.040,0.06642281,
5734.111,0.06539282,
5732.182,0.06431686,
5730.254,0.06331161,
5728.325,0.06242174,
5726.396,0.06156699,
5724.467,0.06074089,
5722.539,0.06004832,
5720.610,0.05939972,
5718.681,0.05862321,
5716.752,0.05781518,
5714.824,0.05705475,
5712.895,0.05627314,
5710.966,0.05546363,
5709.037,0.05471396,
5707.109,0.05414489,
5705.180,0.05375308,
5703.251,0.05341783,
5701.323,0.05299987,
5699.394,0.05243525,
5697.465,0.05181893,
5695.536,0.05126111,
5693.608,0.05076469,
5691.679,0.05026638,
5689.750,0.04976912,
5687.821,0.04932856,
5685.893,0.0489103,
5683.964,0.04847001,
5682.035,0.04809723,
5680.107,0.04787723,
5678.178,0.04767212,
5676.249,0.04733237,
5674.320,0.04692028,
5672.392,0.04653793,
5670.463,0.04625036,
5668.534,0.04606737,
5666.605,0.04589812,
5664.677,0.04571948,
5662.748,0.04561249,
5660.819,0.04551193,
5658.891,0.04529184,
5656.962,0.04507435,
5655.033,0.04500582,
5653.104,0.04496862,
5651.176,0.04477629,
5649.247,0.04450152,
5647.318,0.04438366,
5645.389,0.0443876,
5643.461,0.04432672,
5641.532,0.0442515,
5639.603,0.04423206,
5637.675,0.04418239,
5635.746,0.04413681,
5633.817,0.04418734,
5631.888,0.04421054,
5629.960,0.04414339,
5628.031,0.04419784,
5626.102,0.04447282,
5624.173,0.04472776,
5622.245,0.04476307,
5620.316,0.04466887,
5618.387,0.04460459,
5616.459,0.04468503,
5614.530,0.04489697,
5612.601,0.04510214,
5610.672,0.04523824,
5608.744,0.04532958,
5606.815,0.04547708,
5604.886,0.04573844,
5602.957,0.04603888,
5601.029,0.04633047,
5599.100,0.04658414,
5597.171,0.04679487,
5595.242,0.04701102,
5593.314,0.0472657,
5591.385,0.04760431,
5589.456,0.04801629,
5587.528,0.04839299,
5585.599,0.04870432,
5583.670,0.04905104,
5581.741,0.04948127,
5579.813,0.04990419,
5577.884,0.05026857,
5575.955,0.05069937,
5574.026,0.05126437,
5572.098,0.05181035,
5570.169,0.05226444,
5568.240,0.0527782,
5566.312,0.05346119,
5564.383,0.05420801,
5562.454,0.05488435,
5560.525,0.05550924,
5558.597,0.05611178,
5556.668,0.05671626,
5554.739,0.05741948,
5552.810,0.05821296,
5550.882,0.05900612,
5548.953,0.05979946,
5547.024,0.06061957,
5545.096,0.0614896,
5543.167,0.06242236,
5541.238,0.06333493,
5539.309,0.06419872,
5537.381,0.06512332,
5535.452,0.06615362,
5533.523,0.06727485,
5531.594,0.06847032,
5529.666,0.06967443,
5527.737,0.07089438,
5525.808,0.07219401,
5523.880,0.07356346,
5521.951,0.074996,
5520.022,0.07648828,
5518.093,0.07796049,
5516.165,0.07936003,
5514.236,0.08075182,
5512.307,0.08222576,
5510.378,0.08386064,
5508.450,0.08566879,
5506.521,0.08748777,
5504.592,0.0892683,
5502.663,0.09116156,
5500.735,0.09317621,
5498.806,0.09527436,
5496.877,0.09741955,
5494.949,0.09951724,
5493.020,0.1016959,
5491.091,0.104087,
5489.162,0.106496,
5487.234,0.1088186,
5485.305,0.1112596,
5483.376,0.1138644,
5481.447,0.116436,
5479.519,0.1189984,
5477.590,0.1217244,
5475.661,0.1245545,
5473.733,0.1273599,
5471.804,0.1302207,
5469.875,0.1332352,
5467.946,0.1363015,
5466.018,0.1393045,
5464.089,0.1422737,
5462.160,0.1452843,
5460.231,0.1483629,
5458.303,0.1514572,
5456.374,0.1544762,
5454.445,0.1573958,
5452.517,0.1602981,
5450.588,0.1632608,
5448.659,0.1662404,
5446.730,0.1691555,
5444.802,0.1719988,
5442.873,0.1747516,
5440.944,0.1773751,
5439.015,0.1799069,
5437.087,0.1823302,
5435.158,0.1845589,
5433.229,0.18665,
5431.301,0.1886929,
5429.372,0.1906102,
5427.443,0.1922914,
5425.514,0.1937857,
5423.586,0.1952445,
5421.657,0.1966334,
5419.728,0.1977079,
5417.799,0.1983694,
5415.871,0.1987486,
5413.942,0.198974,
5412.013,0.1990728,
5410.085,0.1990185,
5408.156,0.1987741,
5406.227,0.1982798,
5404.298,0.1975006,
5402.370,0.1964969,
5400.441,0.195318,
5398.512,0.1939152,
5396.583,0.1922622,
5394.655,0.1904438,
5392.726,0.1885662,
5390.797,0.1865981,
5388.868,0.1843947,
5386.940,0.1819573,
5385.011,0.1794642,
5383.082,0.1769314,
5381.154,0.1742135,
5379.225,0.171362,
5377.296,0.1684984,
5375.367,0.1655687,
5373.439,0.1625519,
5371.510,0.1594686,
5369.581,0.1563084,
5367.652,0.1531594,
5365.724,0.1500557,
5363.795,0.1469384,
5361.866,0.1438729,
5359.938,0.1409106,
5358.009,0.1379198,
5356.080,0.1348104,
5354.151,0.1317096,
5352.223,0.1287408,
5350.294,0.1258371,
5348.365,0.1229444,
5346.436,0.1201041,
5344.508,0.1173086,
5342.579,0.1145527,
5340.650,0.1118647,
5338.722,0.1092841,
5336.793,0.1068563,
5334.864,0.1045131,
5332.935,0.1021354,
5331.007,0.09972268,
