,2-PROPANONE,
Wavenumbers [1/cm],Transmittance,
3435.748,0.809,
3434.709,0.8011,
3433.669,0.791,
3432.630,0.7817,
3431.590,0.7742,
3430.550,0.766,
3429.511,0.756,
3428.471,0.7472,
3427.431,0.7412,
3426.392,0.7349,
3425.352,0.7279,
3424.312,0.7227,
3423.273,0.7217,
3422.233,0.7214,
3421.193,0.7229,
3420.154,0.7272,
3419.114,0.7382,
3418.075,0.749,
3417.035,0.7595,
3415.995,0.7706,
3414.956,0.7831,
3413.916,0.7957,
3412.876,0.8088,
3411.837,0.8198,
3410.797,0.8258,
3409.757,0.8327,
3408.718,0.8417,
3407.678,0.8498,
3406.639,0.8558,
3405.599,0.8604,
3404.559,0.8619,
3403.520,0.8642,
3402.480,0.8682,
3401.440,0.8719,
3400.401,0.8749,
3399.361,0.8774,
3398.321,0.8789,
3397.282,0.8804,
3396.242,0.8819,
3395.202,0.8834,
3394.163,0.8849,
3393.123,0.8864,
3392.084,0.8879,
3391.044,0.889,
3390.004,0.889,
3388.965,0.8894,
3387.925,0.8909,
3386.885,0.892,
3385.846,0.892,
3384.806,0.8923,
3383.766,0.8933,
3382.727,0.8944,
3381.687,0.8959,
3380.648,0.897,
3379.608,0.897,
3378.568,0.897,
3377.529,0.897,
3376.489,0.897,
3375.449,0.897,
3374.410,0.8973,
3373.370,0.8983,
3372.330,0.899,
3371.291,0.899,
3370.251,0.899,
3369.211,0.899,
3368.172,0.899,
3367.132,0.899,
3366.093,0.899,
3365.053,0.899,
3364.013,0.8991,
3362.974,0.8996,
3361.934,0.9,
3360.894,0.9,
3359.855,0.9,
3358.815,0.9,
3357.775,0.9,
3356.736,0.9,
3355.696,0.9,
3354.657,0.9,
3353.617,0.9,
3352.577,0.9,
3351.538,0.9,
3350.498,0.9,
3349.458,0.9,
3348.419,0.9,
3347.379,0.9,
3346.339,0.9,
3345.300,0.9,
3344.260,0.9,
3343.220,0.9,
3342.181,0.9,
3341.141,0.9,
3340.102,0.9,
3339.062,0.9,
3338.022,0.9,
3336.983,0.9003,
3335.943,0.9013,
3334.903,0.9017,
3333.864,0.9007,
3332.824,0.9,
3331.784,0.9,
3330.745,0.9,
3329.705,0.9,
3328.666,0.9,
3327.626,0.9,
3326.586,0.9,
3325.547,0.9,
3324.507,0.9,
3323.467,0.9,
3322.428,0.9,
3321.388,0.9,
3320.348,0.9,
3319.309,0.9,
3318.269,0.9,
3317.229,0.9,
3316.190,0.9,
3315.150,0.9,
3314.111,0.9,
3313.071,0.9,
3312.031,0.8999,
3310.992,0.8994,
3309.952,0.899,
3308.912,0.899,
3307.873,0.899,
3306.833,0.899,
3305.793,0.899,
3304.754,0.899,
3303.714,0.899,
3302.675,0.899,
3301.635,0.8987,
3300.595,0.8977,
3299.556,0.897,
3298.516,0.897,
3297.476,0.897,
3296.437,0.897,
3295.397,0.8966,
3294.357,0.8951,
3293.318,0.8936,
3292.278,0.8921,
3291.238,0.8907,
3290.199,0.8897,
3289.159,0.8889,
3288.120,0.8884,
3287.080,0.888,
3286.040,0.888,
3285.001,0.8877,
3283.961,0.8867,
3282.921,0.8859,
3281.882,0.8854,
3280.842,0.885,
3279.802,0.885,
3278.763,0.8847,
3277.723,0.8837,
3276.684,0.883,
3275.644,0.883,
3274.604,0.883,
3273.565,0.883,
3272.525,0.883,
3271.485,0.883,
3270.446,0.8829,
3269.406,0.8824,
3268.366,0.882,
3267.327,0.882,
3266.287,0.8817,
3265.247,0.8807,
3264.208,0.8799,
3263.168,0.8794,
3262.129,0.879,
3261.089,0.879,
3260.049,0.879,
3259.010,0.879,
3257.970,0.879,
3256.930,0.879,
3255.891,0.879,
3254.851,0.879,
3253.811,0.879,
3252.772,0.879,
3251.732,0.879,
3250.693,0.879,
3249.653,0.879,
3248.613,0.879,
3247.574,0.879,
3246.534,0.879,
3245.494,0.8791,
3244.455,0.8796,
3243.415,0.88,
3242.375,0.88,
3241.336,0.8799,
3240.296,0.8794,
3239.256,0.879,
3238.217,0.879,
3237.177,0.879,
3236.138,0.879,
3235.098,0.8787,
3234.058,0.8777,
3233.019,0.877,
3231.979,0.877,
3230.939,0.8772,
3229.900,0.8782,
3228.860,0.8788,
3227.820,0.8778,
3226.781,0.877,
3225.741,0.877,
3224.702,0.8769,
3223.662,0.8764,
3222.622,0.876,
3221.583,0.876,
3220.543,0.8757,
3219.503,0.8747,
3218.464,0.874,
3217.424,0.874,
3216.384,0.874,
3215.345,0.874,
3214.305,0.874,
3213.265,0.874,
3212.226,0.874,
3211.186,0.874,
3210.147,0.874,
3209.107,0.874,
3208.067,0.874,
3207.028,0.874,
3205.988,0.874,
3204.948,0.874,
3203.909,0.8739,
3202.869,0.8734,
3201.829,0.873,
3200.790,0.873,
3199.750,0.8726,
3198.711,0.8711,
3197.671,0.87,
3196.631,0.87,
3195.592,0.8698,
3194.552,0.8688,
3193.512,0.868,
3192.473,0.868,
3191.433,0.8678,
3190.393,0.8668,
3189.354,0.866,
3188.314,0.866,
3187.274,0.866,
3186.235,0.866,
3185.195,0.8659,
3184.156,0.8654,
3183.116,0.865,
3182.076,0.865,
3181.037,0.865,
3179.997,0.865,
3178.957,0.8647,
3177.918,0.8638,
3176.878,0.863,
3175.838,0.863,
3174.799,0.8629,
3173.759,0.8624,
3172.720,0.8618,
3171.680,0.8608,
3170.640,0.8599,
3169.601,0.8594,
3168.561,0.8588,
3167.521,0.8578,
3166.482,0.8569,
3165.442,0.8564,
3164.402,0.856,
3163.363,0.856,
3162.323,0.8557,
3161.283,0.8548,
3160.244,0.854,
3159.204,0.854,
3158.165,0.8539,
3157.125,0.8534,
3156.085,0.853,
3155.046,0.853,
3154.006,0.853,
3152.966,0.853,
3151.927,0.8526,
3150.887,0.8511,
3149.847,0.85,
3148.808,0.85,
3147.768,0.85,
3146.729,0.85,
3145.689,0.8498,
3144.649,0.8488,
3143.610,0.8477,
3142.570,0.8461,
3141.530,0.8449,
3140.491,0.8444,
3139.451,0.844,
3138.411,0.844,
3137.372,0.8435,
3136.332,0.8415,
3135.292,0.84,
3134.253,0.84,
3133.213,0.8396,
3132.174,0.8381,
3131.134,0.8366,
3130.094,0.8352,
3129.055,0.8339,
3128.015,0.8334,
3126.975,0.833,
3125.936,0.833,
3124.896,0.8328,
3123.856,0.8318,
3122.817,0.8309,
3121.777,0.8304,
3120.738,0.83,
3119.698,0.83,
3118.658,0.8296,
3117.619,0.8281,
3116.579,0.8266,
3115.539,0.8251,
3114.500,0.8236,
3113.460,0.8221,
3112.420,0.8207,
3111.381,0.8192,
3110.341,0.8174,
3109.301,0.8149,
3108.262,0.8127,
3107.222,0.8112,
3106.183,0.8097,
3105.143,0.8082,
3104.103,0.8067,
3103.064,0.8052,
3102.024,0.8037,
3100.984,0.8022,
3099.945,0.8004,
3098.905,0.7979,
3097.865,0.7956,
3096.826,0.7941,
3095.786,0.7926,
3094.747,0.7912,
3093.707,0.7897,
3092.667,0.7882,
3091.628,0.7863,
3090.588,0.7833,
3089.548,0.7807,
3088.509,0.7792,
3087.469,0.7778,
3086.429,0.7768,
3085.390,0.7756,
3084.350,0.7736,
3083.310,0.7718,
3082.271,0.7708,
3081.231,0.7697,
3080.192,0.7682,
3079.152,0.767,
3078.112,0.767,
3077.073,0.7669,
3076.033,0.7664,
3074.993,0.7658,
3073.954,0.7648,
3072.914,0.7634,
3071.874,0.7609,
3070.835,0.7587,
3069.795,0.7572,
3068.756,0.7557,
3067.716,0.7542,
3066.676,0.753,
3065.637,0.753,
3064.597,0.7529,
3063.557,0.7524,
3062.518,0.7515,
3061.478,0.749,
3060.438,0.7469,
3059.399,0.7464,
3058.359,0.7458,
3057.319,0.7448,
3056.280,0.7437,
3055.240,0.7422,
3054.201,0.7406,
3053.161,0.7386,
3052.121,0.7364,
3051.082,0.7339,
3050.042,0.7315,
3049.002,0.729,
3047.963,0.7266,
3046.923,0.7246,
3045.883,0.7224,
3044.844,0.7194,
3043.804,0.7162,
3042.765,0.7122,
3041.725,0.7081,
3040.685,0.7036,
3039.646,0.6989,
3038.606,0.6933,
3037.566,0.6876,
3036.527,0.6817,
3035.487,0.6754,
3034.447,0.6684,
3033.408,0.6613,
3032.368,0.6539,
3031.328,0.6461,
3030.289,0.6377,
3029.249,0.6284,
3028.210,0.6164,
3027.170,0.605,
3026.130,0.5955,
3025.091,0.5846,
3024.051,0.5687,
3023.011,0.5542,
3021.972,0.5457,
3020.932,0.5298,
3019.892,0.4848,
3018.853,0.4462,
3017.813,0.4326,
3016.774,0.4208,
3015.734,0.4153,
3014.694,0.4103,
3013.655,0.4073,
3012.615,0.405,
3011.575,0.405,
3010.536,0.4069,
3009.496,0.4159,
3008.456,0.429,
3007.417,0.4575,
3006.377,0.4825,
3005.337,0.4945,
3004.298,0.5064,
3003.258,0.5179,
3002.219,0.5306,
3001.179,0.548,
3000.139,0.5648,
2999.100,0.5788,
2998.060,0.5921,
2997.020,0.6027,
2995.981,0.6125,
2994.941,0.6195,
2993.901,0.6262,
2992.862,0.6317,
2991.822,0.6364,
2990.783,0.6384,
2989.743,0.6403,
2988.703,0.6418,
2987.664,0.6432,
2986.624,0.6442,
2985.584,0.6436,
2984.545,0.6366,
2983.505,0.6293,
2982.465,0.6208,
2981.426,0.6123,
2980.386,0.6038,
2979.346,0.5954,
2978.307,0.5874,
2977.267,0.5794,
2976.228,0.5714,
2975.188,0.5632,
2974.148,0.5547,
2973.109,0.5463,
2972.069,0.5383,
2971.029,0.5302,
2969.990,0.5217,
2968.950,0.5148,
2967.910,0.5138,
2966.871,0.5132,
2965.831,0.5142,
2964.792,0.5186,
2963.752,0.5366,
2962.712,0.5548,
2961.673,0.5743,
2960.633,0.5926,
2959.593,0.6061,
2958.554,0.6192,
2957.514,0.6307,
2956.474,0.6419,
2955.435,0.652,
2954.395,0.6611,
2953.355,0.6666,
2952.316,0.6719,
2951.276,0.6764,
2950.237,0.6811,
2949.197,0.6866,
2948.157,0.6913,
2947.118,0.6928,
2946.078,0.6944,
2945.038,0.6964,
2943.999,0.6974,
2942.959,0.6944,
2941.919,0.6897,
2940.880,0.6777,
2939.840,0.667,
2938.801,0.6615,
2937.761,0.6567,
2936.721,0.6552,
2935.682,0.6523,
2934.642,0.6432,
2933.602,0.6341,
2932.563,0.6246,
2931.523,0.6163,
2930.483,0.6128,
2929.444,0.6097,
2928.404,0.6082,
2927.364,0.6073,
2926.325,0.6088,
