,cyclohexanone_3um,
Wavenumbers [1/cm],Absorbance,
4119.000,0.0811,
4118.000,0.081,
4117.000,0.0809,
4116.000,0.0808,
4115.000,0.0807,
4114.000,0.0807,
4113.000,0.0806,
4112.000,0.0805,
4111.000,0.0805,
4110.000,0.0804,
4109.000,0.0804,
4108.000,0.0803,
4107.000,0.0802,
4106.000,0.0802,
4105.000,0.0801,
4104.000,0.08,
4103.000,0.0799,
4102.000,0.0799,
4101.000,0.0798,
4100.000,0.0797,
4099.000,0.0796,
4098.000,0.0795,
4097.000,0.0794,
4096.000,0.0794,
4095.000,0.0793,
4094.000,0.0793,
4093.000,0.0793,
4092.000,0.0793,
4091.000,0.0793,
4090.000,0.0793,
4089.000,0.0793,
4088.000,0.0793,
4087.000,0.0793,
4086.000,0.0793,
4085.000,0.0793,
4084.000,0.0793,
4083.000,0.0793,
4082.000,0.0793,
4081.000,0.0792,
4080.000,0.0792,
4079.000,0.0791,
4078.000,0.079,
4077.000,0.079,
4076.000,0.0789,
4075.000,0.0788,
4074.000,0.0787,
4073.000,0.0786,
4072.000,0.0785,
4071.000,0.0784,
4070.000,0.0783,
4069.000,0.0781,
4068.000,0.078,
4067.000,0.0779,
4066.000,0.0778,
4065.000,0.0777,
4064.000,0.0776,
4063.000,0.0776,
4062.000,0.0776,
4061.000,0.0775,
4060.000,0.0776,
4059.000,0.0776,
4058.000,0.0776,
4057.000,0.0777,
4056.000,0.0777,
4055.000,0.0778,
4054.000,0.0779,
4053.000,0.078,
4052.000,0.0781,
4051.000,0.0782,
4050.000,0.0783,
4049.000,0.0784,
4048.000,0.0785,
4047.000,0.0786,
4046.000,0.0787,
4045.000,0.0788,
4044.000,0.0788,
4043.000,0.0789,
4042.000,0.0789,
4041.000,0.079,
4040.000,0.0789,
4039.000,0.0789,
4038.000,0.0789,
4037.000,0.0788,
4036.000,0.0788,
4035.000,0.0787,
4034.000,0.0786,
4033.000,0.0785,
4032.000,0.0784,
4031.000,0.0784,
4030.000,0.0783,
4029.000,0.0783,
4028.000,0.0783,
4027.000,0.0783,
4026.000,0.0783,
4025.000,0.0783,
4024.000,0.0784,
4023.000,0.0785,
4022.000,0.0785,
4021.000,0.0786,
4020.000,0.0787,
4019.000,0.0788,
4018.000,0.0789,
4017.000,0.079,
4016.000,0.079,
4015.000,0.0791,
4014.000,0.0791,
4013.000,0.0791,
4012.000,0.0791,
4011.000,0.0791,
4010.000,0.079,
4009.000,0.0789,
4008.000,0.0789,
4007.000,0.0788,
4006.000,0.0787,
4005.000,0.0786,
4004.000,0.0785,
4003.000,0.0784,
4002.000,0.0782,
4001.000,0.0781,
4000.000,0.078,
3999.000,0.0779,
3998.000,0.0778,
3997.000,0.0777,
3996.000,0.0775,
3995.000,0.0774,
3994.000,0.0774,
3993.000,0.0773,
3992.000,0.0772,
3991.000,0.0772,
3990.000,0.0772,
3989.000,0.0772,
3988.000,0.0772,
3987.000,0.0772,
3986.000,0.0773,
3985.000,0.0774,
3984.000,0.0775,
3983.000,0.0776,
3982.000,0.0777,
3981.000,0.0779,
3980.000,0.078,
3979.000,0.0781,
3978.000,0.0782,
3977.000,0.0784,
3976.000,0.0785,
3975.000,0.0786,
3974.000,0.0787,
3973.000,0.0788,
3972.000,0.0789,
3971.000,0.079,
3970.000,0.0791,
3969.000,0.0792,
3968.000,0.0793,
3967.000,0.0794,
3966.000,0.0795,
3965.000,0.0797,
3964.000,0.0798,
3963.000,0.08,
3962.000,0.0802,
3961.000,0.0804,
3960.000,0.0806,
3959.000,0.0809,
3958.000,0.0811,
3957.000,0.0813,
3956.000,0.0816,
3955.000,0.0818,
3954.000,0.082,
3953.000,0.0822,
3952.000,0.0823,
3951.000,0.0824,
3950.000,0.0825,
3949.000,0.0825,
3948.000,0.0824,
3947.000,0.0824,
3946.000,0.0822,
3945.000,0.0821,
3944.000,0.0819,
3943.000,0.0817,
3942.000,0.0816,
3941.000,0.0814,
3940.000,0.0812,
3939.000,0.081,
3938.000,0.0808,
3937.000,0.0806,
3936.000,0.0803,
3935.000,0.0801,
3934.000,0.0798,
3933.000,0.0796,
3932.000,0.0793,
3931.000,0.0791,
3930.000,0.0788,
3929.000,0.0786,
3928.000,0.0783,
3927.000,0.0781,
3926.000,0.0778,
3925.000,0.0776,
3924.000,0.0773,
3923.000,0.0771,
3922.000,0.0768,
3921.000,0.0765,
3920.000,0.0762,
3919.000,0.076,
3918.000,0.0757,
3917.000,0.0754,
3916.000,0.0752,
3915.000,0.075,
3914.000,0.0748,
3913.000,0.0746,
3912.000,0.0744,
3911.000,0.0743,
3910.000,0.0742,
3909.000,0.0741,
3908.000,0.074,
3907.000,0.0738,
3906.000,0.0737,
3905.000,0.0735,
3904.000,0.0733,
3903.000,0.0731,
3902.000,0.0729,
3901.000,0.0727,
3900.000,0.0726,
3899.000,0.0725,
3898.000,0.0726,
3897.000,0.0726,
3896.000,0.0727,
3895.000,0.0727,
3894.000,0.0728,
3893.000,0.0728,
3892.000,0.0729,
3891.000,0.073,
3890.000,0.0731,
3889.000,0.0732,
3888.000,0.0732,
3887.000,0.0732,
3886.000,0.0733,
3885.000,0.0734,
3884.000,0.0735,
3883.000,0.0734,
3882.000,0.0733,
3881.000,0.0732,
3880.000,0.0733,
3879.000,0.0733,
3878.000,0.0734,
3877.000,0.0734,
3876.000,0.0733,
3875.000,0.0733,
3874.000,0.0733,
3873.000,0.0734,
3872.000,0.0734,
3871.000,0.0734,
3870.000,0.0733,
3869.000,0.0733,
3868.000,0.0733,
3867.000,0.0733,
3866.000,0.0731,
3865.000,0.073,
3864.000,0.073,
3863.000,0.073,
3862.000,0.073,
3861.000,0.0731,
3860.000,0.0731,
3859.000,0.0732,
3858.000,0.0733,
3857.000,0.0735,
3856.000,0.0739,
3855.000,0.0743,
3854.000,0.0746,
3853.000,0.0745,
3852.000,0.0743,
3851.000,0.0742,
3850.000,0.0741,
3849.000,0.0738,
3848.000,0.0735,
3847.000,0.0731,
3846.000,0.0727,
3845.000,0.0724,
3844.000,0.0722,
3843.000,0.0721,
3842.000,0.072,
3841.000,0.072,
3840.000,0.072,
3839.000,0.072,
3838.000,0.072,
3837.000,0.072,
3836.000,0.072,
3835.000,0.0719,
3834.000,0.0719,
3833.000,0.0718,
3832.000,0.0717,
3831.000,0.0716,
3830.000,0.0716,
3829.000,0.0716,
3828.000,0.0716,
3827.000,0.0717,
3826.000,0.0718,
3825.000,0.0719,
3824.000,0.072,
3823.000,0.072,
3822.000,0.072,
3821.000,0.0721,
3820.000,0.0723,
3819.000,0.0725,
3818.000,0.0726,
3817.000,0.0727,
3816.000,0.0728,
3815.000,0.073,
3814.000,0.0731,
3813.000,0.0731,
3812.000,0.0731,
3811.000,0.0731,
3810.000,0.0731,
3809.000,0.0731,
3808.000,0.0731,
3807.000,0.0731,
3806.000,0.0732,
3805.000,0.0734,
3804.000,0.0734,
3803.000,0.0735,
3802.000,0.0735,
3801.000,0.0736,
3800.000,0.0736,
3799.000,0.0736,
3798.000,0.0736,
3797.000,0.0736,
3796.000,0.0736,
3795.000,0.0737,
3794.000,0.0738,
3793.000,0.0739,
3792.000,0.074,
3791.000,0.0741,
3790.000,0.0743,
3789.000,0.0744,
3788.000,0.0744,
3787.000,0.0745,
3786.000,0.0745,
3785.000,0.0746,
3784.000,0.0746,
3783.000,0.0747,
3782.000,0.0747,
3781.000,0.0747,
3780.000,0.0747,
3779.000,0.0747,
3778.000,0.0748,
3777.000,0.0748,
3776.000,0.0748,
