,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
5508.450,4.307813,
5504.592,4.31076,
5500.735,4.311794,
5496.877,4.306809,
5493.020,4.30058,
5489.162,4.302271,
5485.305,4.309202,
5481.447,4.308848,
5477.590,4.300286,
5473.733,4.295786,
5469.875,4.296777,
5466.018,4.294632,
5462.160,4.291425,
5458.303,4.294002,
5454.445,4.297177,
5450.588,4.291832,
5446.730,4.283157,
5442.873,4.282773,
5439.015,4.288461,
5435.158,4.289996,
5431.301,4.289092,
5427.443,4.296688,
5423.586,4.31016,
5419.728,4.31063,
5415.871,4.294407,
5412.013,4.284615,
5408.156,4.294143,
5404.298,4.306936,
5400.441,4.305829,
5396.583,4.295578,
5392.726,4.291502,
5388.868,4.29476,
5385.011,4.297244,
5381.154,4.296001,
5377.296,4.294904,
5373.439,4.302714,
5369.581,4.314794,
5365.724,4.320284,
5361.866,4.320321,
5358.009,4.314538,
5354.151,4.304766,
5350.294,4.297332,
5346.436,4.291631,
5342.579,4.288124,
5338.722,4.291265,
5334.864,4.300194,
5331.007,4.307288,
5327.149,4.311682,
5323.292,4.318198,
5319.434,4.323698,
5315.577,4.324059,
5311.719,4.319756,
5307.862,4.315084,
5304.004,4.315555,
5300.147,4.319055,
5296.290,4.318825,
5292.432,4.314233,
5288.575,4.311683,
5284.717,4.314079,
5280.860,4.317995,
5277.002,4.320385,
5273.145,4.318007,
5269.287,4.308246,
5265.430,4.297766,
5261.572,4.296299,
5257.715,4.299169,
5253.857,4.296111,
5250.000,4.288816,
5246.143,4.287579,
5242.285,4.296385,
5238.428,4.30492,
5234.570,4.304782,
5230.713,4.299646,
5226.855,4.296777,
5222.998,4.300824,
5219.140,4.309034,
5215.283,4.31318,
5211.425,4.308097,
5207.568,4.303249,
5203.711,4.310416,
5199.853,4.321362,
5195.996,4.326715,
5192.138,4.328203,
5188.281,4.326704,
5184.423,4.325127,
5180.566,4.32627,
5176.708,4.327352,
5172.851,4.326264,
5168.993,4.32409,
5165.136,4.322371,
5161.278,4.321734,
5157.421,4.321737,
5153.564,4.322393,
5149.706,4.323792,
5145.849,4.324775,
5141.991,4.325803,
5138.134,4.328187,
5134.276,4.331001,
5130.419,4.333197,
5126.561,4.334146,
5122.704,4.333025,
5118.846,4.33041,
5114.989,4.327252,
5111.132,4.32302,
5107.274,4.317011,
5103.417,4.309785,
5099.559,4.302971,
5095.702,4.299101,
5091.844,4.299944,
5087.987,4.304637,
5084.129,4.310939,
5080.272,4.317259,
5076.414,4.323045,
5072.557,4.328602,
5068.700,4.334281,
5064.842,4.339736,
5060.985,4.344391,
5057.127,4.348217,
5053.270,4.351559,
5049.412,4.353997,
5045.555,4.354787,
5041.697,4.354646,
5037.840,4.355026,
5033.982,4.355866,
5030.125,4.356084,
5026.267,4.355396,
5022.410,4.353821,
5018.553,4.351675,
5014.695,4.350236,
5010.838,4.349838,
5006.980,4.349318,
5003.123,4.348623,
4999.265,4.348708,
4995.408,4.349265,
4991.550,4.349801,
4987.693,4.350883,
4983.835,4.352494,
4979.978,4.353775,
4976.121,4.354416,
4972.263,4.354753,
4968.406,4.355025,
4964.548,4.355051,
4960.691,4.354362,
4956.833,4.353066,
4952.976,4.351767,
4949.118,4.35055,
4945.261,4.349532,
4941.403,4.349066,
4937.546,4.348562,
4933.688,4.347361,
4929.831,4.346062,
4925.974,4.345346,
4922.116,4.345421,
4918.259,4.346368,
4914.401,4.347655,
4910.544,4.348753,
4906.686,4.349582,
4902.829,4.349877,
4898.971,4.349507,
4895.114,4.348766,
4891.256,4.348016,
4887.399,4.346802,
4883.542,4.34414,
4879.684,4.340325,
4875.827,4.336386,
4871.969,4.332777,
4868.112,4.330321,
4864.254,4.329569,
4860.397,4.32904,
4856.539,4.327708,
4852.682,4.327045,
4848.824,4.327861,
4844.967,4.329113,
4841.109,4.330201,
4837.252,4.331347,
4833.395,4.332883,
4829.537,4.334889,
4825.680,4.336555,
4821.822,4.336903,
4817.965,4.336401,
4814.107,4.335627,
4810.250,4.333932,
4806.392,4.331179,
4802.535,4.327851,
4798.677,4.324246,
4794.820,4.320817,
4790.963,4.31772,
4787.105,4.314555,
4783.248,4.311072,
4779.390,4.3077,
4775.533,4.304996,
4771.675,4.303238,
4767.818,4.302457,
4763.960,4.301703,
4760.103,4.299638,
4756.245,4.296277,
4752.388,4.292108,
4748.531,4.286134,
4744.673,4.276834,
4740.816,4.263926,
4736.958,4.247798,
4733.101,4.228425,
4729.243,4.20657,
4725.386,4.185836,
4721.528,4.171618,
4717.671,4.168196,
4713.813,4.176309,
4709.956,4.191941,
4706.098,4.208887,
4702.241,4.222802,
4698.384,4.231896,
4694.526,4.235751,
4690.669,4.235261,
4686.811,4.232835,
4682.954,4.231399,
4679.096,4.232979,
4675.239,4.237878,
4671.381,4.244755,
4667.524,4.25148,
4663.666,4.255718,
4659.809,4.255817,
4655.952,4.251395,
4652.094,4.242815,
4648.237,4.231335,
4644.379,4.219337,
4640.522,4.209891,
4636.664,4.205621,
4632.807,4.207451,
4628.949,4.214975,
4625.092,4.22689,
4621.234,4.240864,
4617.377,4.254376,
4613.519,4.265895,
4609.662,4.274966,
4605.805,4.281996,
4601.947,4.287713,
4598.090,4.29195,
4594.232,4.294421,
4590.375,4.295883,
4586.517,4.296955,
4582.660,4.297021,
4578.802,4.295329,
4574.945,4.292446,
4571.087,4.289226,
4567.230,4.285877,
