;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
1374,997;0,199514;
1376,925;0,177858;
1378,854;0,161247;
1380,782;0,148761;
1382,711;0,139006;
1384,639;0,131158;
1386,568;0,124824;
1388,496;0,119478;
1390,425;0,114103;
1392,353;0,107529;
1394,282;0,0995973;
1396,210;0,0917386;
1398,139;0,0855678;
1400,067;0,0815074;
1401,995;0,0790967;
1403,924;0,0777242;
1405,852;0,0769119;
1407,781;0,0763453;
1409,709;0,0758574;
1411,638;0,0752924;
1413,566;0,0743383;
1415,495;0,0727913;
1417,423;0,0708747;
1419,352;0,0690219;
1421,280;0,067552;
1423,209;0,0665866;
1425,137;0,0661122;
1427,066;0,0660549;
1428,994;0,0663128;
1430,922;0,0667594;
1432,851;0,0672678;
1434,779;0,0677552;
1436,708;0,0682098;
1438,636;0,0686965;
1440,565;0,0693383;
1442,493;0,0702928;
1444,422;0,0717136;
1446,350;0,0737029;
1448,279;0,0762654;
1450,207;0,0792781;
1452,136;0,0824984;
1454,064;0,0856544;
1455,993;0,0886217;
1457,921;0,0915981;
1459,849;0,095109;
1461,778;0,0997773;
1463,706;0,106009;
1465,635;0,113847;
1467,563;0,123159;
1469,492;0,134065;
1471,420;0,147193;
1473,349;0,163298;
1475,277;0,182433;
1477,206;0,203666;
1479,134;0,225913;
1481,063;0,249334;
1482,991;0,276348;
1484,920;0,311801;
1486,848;0,361639;
1488,776;0,429678;
1490,705;0,514654;
1492,633;0,611638;
1494,562;0,716635;
1496,490;0,827932;
1498,419;0,941414;
1500,347;1,04198;
1502,276;1,09771;
1504,204;1,0724;
1506,133;0,960809;
1508,061;0,80222;
1509,990;0,644512;
1511,918;0,511833;
1513,847;0,406679;
1515,775;0,323424;
1517,703;0,256522;
1519,632;0,202999;
1521,560;0,161997;
1523,489;0,132921;
1525,417;0,113743;
1527,346;0,101145;
1529,274;0,0921197;
1531,203;0,0850609;
1533,131;0,0796597;
1535,060;0,0762564;
1536,988;0,0750644;
1538,917;0,0755249;
1540,845;0,076349;
1542,774;0,0761341;
1544,702;0,0736656;
1546,630;0,0677739;
1548,559;0,0574367;
1550,487;0,0427586;
1552,416;0,0264206;
1554,344;0,0130498;
1556,273;0,00545082;
1558,201;0,00269546;
1560,130;0,002341;
1562,058;0,00266083;
1563,987;0,00298255;
1565,915;0,00315784;
1567,844;0,00304994;
1569,772;0,00243013;
1571,701;0,00137819;
