,Part of: cyclohexanone with sp no au,Part of: Part of: cyclohexanone no au,
Wavelength [nm],Transmittance %,Transmittance %,
1610.270,9.55758,1.00014E-8,
1612.198,7.52041,1.00029E-8,
1614.127,5.64108,1.00043E-8,
1616.055,3.96474,1.00051E-8,
1617.984,2.49658,1.00053E-8,
1619.912,1.2911,1.00056E-8,
1621.841,0.457836,0.0912163,
1623.769,0.0456542,0.333646,
1625.698,1.00002E-8,0.853293,
1627.626,1.0001E-8,1.81888,
1629.555,1.00022E-8,3.32628,
1631.483,1.00036E-8,5.26623,
1633.412,1.00047E-8,7.3582,
1635.340,1.00052E-8,9.34373,
1637.268,1.00052E-8,11.111,
1639.197,1.00053E-8,12.6854,
1641.125,0.0905637,14.1795,
1643.054,0.329975,15.7475,
1644.982,0.842586,17.5207,
1646.911,1.79613,19.5285,
1648.839,3.2872,21.6578,
1650.768,5.20907,23.685,
1652.696,7.28387,25.3598,
1654.625,9.25452,26.511,
1656.553,11.0099,27.1558,
1658.482,12.5764,27.5695,
1660.410,14.0686,28.2686,
1662.339,15.6414,29.8861,
1664.267,17.4245,32.9432,
1666.195,19.4428,37.5486,
1668.124,21.5795,43.1989,
1670.052,23.6104,48.9597,
1671.981,25.288,53.9953,
1673.909,26.4449,57.959,
1675.838,27.0998,60.9396,
1677.766,27.5252,63.1766,
1679.695,28.2304,64.8431,
1681.623,29.8403,65.9838,
1683.552,32.8704,66.5531,
1685.480,37.4305,66.4761,
1687.409,43.0271,65.6919,
1689.337,48.7397,64.1782,
1691.266,53.7422,61.9815,
1693.194,57.6884,59.259,
1695.122,60.6603,56.3018,
1697.051,62.8884,53.5128,
1698.979,64.5392,51.3405,
1700.908,65.6551,50.185,
1702.836,66.1927,50.2954,
1704.765,66.0846,51.6868,
1706.693,65.2806,54.1198,
1708.622,63.7678,57.171,
1710.550,61.597,60.3774,
1712.479,58.9223,63.3788,
1714.407,56.0256,65.9882,
1716.336,53.2987,68.1732,
1718.264,51.1804,69.9907,
1720.193,50.0643,71.5249,
1722.121,50.1975,72.8502,
1724.049,51.5968,74.0211,
1725.978,54.0269,75.0763,
1727.906,57.0688,76.0485,
1729.835,60.2609,76.9712,
1731.763,63.2412,77.8785,
1733.692,65.8186,78.7946,
1735.620,67.9579,79.7186,
1737.549,69.7186,80.6101,
1739.477,71.1939,81.3904,
1741.406,72.4736,81.9741,
1743.334,73.6257,82.3154,
1745.263,74.6917,82.4263,
1747.191,75.6923,82.35,
1749.120,76.6411,82.1225,
1751.048,77.5547,81.7564,
1752.976,78.4501,81.2469,
1754.905,79.3317,80.5897,
1756.833,80.1758,79.796,
1758.762,80.9252,78.9048,
1760.690,81.5093,77.994,
1762.619,81.8815,77.1856,
1764.547,82.0399,76.6241,
1766.476,82.0113,76.4207,
1768.404,81.821,76.6051,
1770.333,81.4769,77.1274,
1772.261,80.9737,77.9015,
1774.190,80.3075,78.8411,
1776.118,79.4912,79.8699,
1778.047,78.5687,80.9191,
1779.975,77.6278,81.9256,
1781.903,76.8038,82.8333,
1783.832,76.2514,83.5962,
1785.760,76.0818,84.1819,
1787.689,76.3128,84.5777,
1789.617,76.8785,84.7962,
1791.546,77.6794,84.8734,
1793.474,78.6239,84.857,
1795.403,79.6371,84.7907,
1797.331,80.6563,84.7043,
1799.260,81.6259,84.6148,
1801.188,82.4972,84.5355,
1803.117,83.2302,84.4837,
1805.045,83.7978,84.4813,
1806.974,84.1902,84.5474,
1808.902,84.4191,84.687,
1810.830,84.5151,84.884,
1812.759,84.5184,85.101,
1814.687,84.4653,85.2896,
1816.616,84.3823,85.4065,
1818.544,84.2878,85.4285,
1820.473,84.1992,85.3549,
1822.401,84.1377,85.1972,
1824.330,84.1262,84.9659,
1826.258,84.1811,84.6626,
1828.187,84.3046,84.2839,
1830.115,84.48,83.8285,
1832.044,84.6747,83.3071,
1833.972,84.8479,82.7493,
1835.901,84.9641,82.2052,
1837.829,85.0022,81.7378,
1839.757,84.9576,81.4061,
1841.686,84.8342,81.2435,
1843.614,84.634,81.2457,
1845.543,84.3527,81.3747,
1847.471,83.984,81.5735,
1849.400,83.5262,81.7819,
1851.328,82.9928,81.9494,
1853.257,82.4188,82.0423,
1855.185,81.8616,82.0429,
1857.114,81.391,81.9438,
1859.042,81.0692,81.7424,
1860.971,80.9274,81.4442,
1862.899,80.9549,81.0728,
1864.828,81.1066,80.6804,
1866.756,81.3211,80.3458,
1868.684,81.5372,80.1585,
1870.613,81.7061,80.1944,
1872.541,81.7956,80.4941,
1874.470,81.7893,81.0489,
1876.398,81.681,81.8024,
1878.327,81.4711,82.667,
1880.255,81.169,83.546,
1882.184,80.8021,84.3533,
1884.112,80.4232,85.0248,
1886.041,80.108,85.5242,
1887.969,79.9409,85.8443,
1889.898,79.9928,86.0037,
1891.826,80.301,86.0362,
1893.755,80.8557,85.9778,
1895.683,81.6004,85.8586,
1897.611,82.4474,85.702,
1899.540,83.3013,85.5308,
1901.468,84.0793,85.3704,
1903.397,84.7235,85.2469,
1905.325,85.2047,85.1797,
1907.254,85.5202,85.1751,
1909.182,85.6883,85.2266,
1911.111,85.7374,85.3207,
1913.039,85.6967,85.4451,
1914.968,85.591,85.5928,
1916.896,85.4423,85.7597,
1918.825,85.2743,85.9399,
1920.753,85.1139,86.1218,
1922.682,84.988,86.2911,
1924.610,84.9152,86.4367,
1926.538,84.902,86.5559,
1928.467,84.9429,86.6532,
1930.395,85.0276,86.733,
1932.324,85.1467,86.7904,
1934.252,85.2943,86.8073,
1936.181,85.4655,86.754,
1938.109,85.6515,86.5964,
1940.038,85.8385,86.3019,
1941.966,86.0107,85.8426,
1943.895,86.157,85.1966,
1945.823,86.2748,84.3539,
1947.752,86.3685,83.3307,
1949.680,86.443,82.1848,
1951.609,86.4937,81.0243,
1953.537,86.5041,79.9971,
1955.465,86.4467,79.2586,
1957.394,86.2888,78.9296,
1959.322,85.9987,79.0575,
1961.251,85.5479,79.5987,
1963.179,84.9131,80.4316,
1965.108,84.0838,81.3941,
1967.036,83.0755,82.3275,
1968.965,81.9459,83.11,
1970.893,80.8022,83.6695,
1972.822,79.7904,83.9805,
1974.750,79.0645,84.0539,
1976.679,78.744,83.9256,
1978.607,78.8757,83.6483,
1980.536,79.4165,83.2848,
1982.464,80.2457,82.9014,
1984.392,81.202,82.5612,
1986.321,82.1277,82.316,
1988.249,82.9023,82.2001,
1990.178,83.455,82.2261,
1992.106,83.7614,82.385,
1994.035,83.8328,82.6494,
1995.963,83.7051,82.9788,
1997.892,83.4304,83.33,
1999.820,83.0707,83.6604,
2001.749,82.6922,83.9392,
2003.677,82.3577,84.1505,
2005.606,82.1187,84.2928,
2007.534,82.0086,84.3758,
2009.463,82.0389,84.4125,
2011.391,82.1996,84.4114,
2013.319,82.4629,84.3714,
2015.248,82.7891,84.2825,
2017.176,83.1358,84.1335,
2019.105,83.4614,83.9243,
2021.033,83.7357,83.6753,
2022.962,83.9427,83.4297,
2024.890,84.081,83.2444,
2026.819,84.16,83.1718,
2028.747,84.193,83.2418,
2030.676,84.1889,83.4501,
2032.604,84.147,83.7592,
2034.533,84.0578,84.1122,
2036.461,83.9103,84.4507,
2038.390,83.7044,84.7309,
2040.318,83.4599,84.931,
2042.246,83.2193,85.0483,
2044.175,83.038,85.09,
2046.103,82.9678,85.0625,
2048.032,83.0381,84.966,
2049.960,83.2447,84.7932,
2051.889,83.5513,84.5327,
2053.817,83.9016,84.1719,
2055.746,84.2379,83.6983,
2057.674,84.5168,83.1019,
2059.603,84.7163,82.381,
2061.531,84.8335,81.554,
2063.460,84.8753,80.6727,
2065.388,84.8482,79.8261,
2067.317,84.7523,79.1281,
2069.245,84.5804,78.6876,
2071.173,84.3212,78.5723,
2073.102,83.962,78.7842,
2075.030,83.4906,79.2592,
2076.959,82.8972,79.8915,
2078.887,82.1807,80.5697,
2080.816,81.3599,81.2061,
2082.744,80.4865,81.7488,
2084.673,79.6487,82.1757,
2086.601,78.9595,82.4825,
2088.530,78.5262,82.6747,
2090.458,78.4155,82.7661,
2092.387,78.6288,82.7797,
2094.315,79.1022,82.7465,
2096.244,79.7307,82.6981,
2098.172,80.404,82.6592,
2100.101,81.0353,82.6431,
2102.029,81.5731,82.6538,
2103.957,81.9954,82.6908,
2105.886,82.2984,82.7524,
2107.814,82.4875,82.8356,
2109.743,82.5766,82.9333,
2111.671,82.5887,83.0339,
2113.600,82.5544,83.1236,
2115.528,82.5052,83.1919,
