,Part of: cyclohexanone with sp no au,Part of: Part of: cyclohexanone no au,
Wavelength [nm],Transmittance %,Transmittance %,
3968.785,80.8544,80.8283,
3970.713,80.9503,80.6979,
3972.642,81.0259,80.5829,
3974.570,81.0719,80.4882,
3976.499,81.0811,80.4174,
3978.427,81.0501,80.3717,
3980.356,80.9807,80.3492,
3982.284,80.8794,80.344,
3984.213,80.7555,80.3466,
3986.141,80.6198,80.346,
3988.070,80.4824,80.332,
3989.998,80.3523,80.2984,
3991.927,80.2367,80.2439,
3993.855,80.1413,80.1722,
3995.784,80.0701,80.0896,
3997.712,80.0243,80.0029,
3999.640,80.0017,79.9174,
4001.569,79.9964,79.8364,
4003.497,79.9988,79.7605,
4005.426,79.998,79.6882,
4007.354,79.9844,79.6168,
4009.283,79.9517,79.5425,
4011.211,79.8984,79.4625,
4013.140,79.8273,79.3758,
4015.068,79.7444,79.2847,
4016.997,79.6566,79.195,
4018.925,79.5699,79.1139,
4020.854,79.4884,79.0471,
4022.782,79.4134,78.9966,
4024.711,79.3432,78.9585,
4026.639,79.2741,78.925,
4028.567,79.2015,78.8866,
4030.496,79.122,78.836,
4032.424,79.0352,78.7702,
4034.353,78.9444,78.6915,
4036.281,78.8561,78.6059,
4038.210,78.778,78.5214,
4040.138,78.7157,78.4457,
4042.067,78.6702,78.3849,
4043.995,78.6366,78.3424,
4045.924,78.6064,78.319,
4047.852,78.5694,78.3126,
4049.781,78.5183,78.3193,
4051.709,78.4506,78.3343,
4053.638,78.3694,78.3529,
4055.566,78.2818,78.3717,
4057.494,78.1966,78.3888,
4059.423,78.1216,78.4043,
4061.351,78.0623,78.4193,
4063.280,78.021,78.4356,
4065.208,77.9977,78.4543,
4067.137,77.9902,78.4762,
4069.065,77.9953,78.5012,
4070.994,78.009,78.5296,
4072.922,78.0273,78.5627,
4074.851,78.0467,78.6029,
4076.779,78.0651,78.6535,
4078.708,78.0817,78.7176,
4080.636,78.0972,78.7957,
4082.565,78.1129,78.8852,
4084.493,78.1302,78.9791,
4086.421,78.1501,79.0672,
4088.350,78.1734,79.1384,
4090.278,78.2008,79.1829,
4092.207,78.234,79.1939,
4094.135,78.2753,79.1689,
4096.064,78.3274,79.1092,
4097.992,78.392,79.0196,
4099.921,78.4689,78.9072,
4101.849,78.5549,78.7816,
4103.778,78.6438,78.6542,
4105.706,78.727,78.5382,
4107.635,78.795,78.4468,
4109.563,78.8385,78.3918,
4111.492,78.8509,78.3821,
4113.420,78.8284,78.4221,
4115.348,78.7713,78.5113,
4117.277,78.6838,78.6443,
4119.205,78.5733,78.8113,
4121.134,78.4499,78.999,
4123.062,78.3252,79.1919,
4124.991,78.212,79.3746,
4126.919,78.1225,79.5331,
4128.848,78.0681,79.6571,
4130.776,78.0575,79.74,
4132.705,78.0958,79.7785,
4134.633,78.1831,79.7719,
4136.562,78.3142,79.7202,
4138.490,78.4788,79.6239,
4140.419,78.6631,79.4838,
4142.347,78.8516,79.3019,
4144.275,79.029,79.0819,
4146.204,79.1827,78.8288,
4148.132,79.3027,78.5488,
4150.061,79.3829,78.2486,
4151.989,79.4195,77.9346,
4153.918,79.4109,77.6138,
4155.846,79.3571,77.2937,
4157.775,79.259,76.9829,
4159.703,79.1185,76.6897,
4161.632,78.9387,76.4205,
4163.560,78.7232,76.1791,
4165.489,78.4762,75.9667,
4167.417,78.2024,75.7839,
4169.346,77.9068,75.6336,
4171.274,77.5955,75.523,
4173.202,77.2759,75.4638,
4175.131,76.9567,75.4687,
4177.059,76.6474,75.5474,
4178.988,76.3567,75.7023,
4180.916,76.0909,75.9262,
4182.845,75.8534,76.2034,
4184.773,75.645,76.5123,
4186.702,75.4664,76.8295,
4188.630,75.3205,77.134,
4190.559,75.2143,77.4097,
4192.487,75.1588,77.6466,
4194.416,75.1659,77.841,
4196.344,75.2449,77.9944,
4198.273,75.3981,78.113,
4200.201,75.6187,78.2061,
4202.129,75.8916,78.285,
4204.058,76.1957,78.3608,
4205.986,76.508,78.4433,
4207.915,76.8075,78.5379,
4209.843,77.0783,78.6451,
4211.772,77.3104,78.7595,
4213.700,77.5004,78.8709,
4215.629,77.6503,78.966,
4217.557,77.7667,79.0302,
4219.486,77.8592,79.0496,
4221.414,77.9385,79.0122,
4223.343,78.0154,78.9087,
4225.271,78.0983,78.7341,
4227.200,78.1919,78.4886,
4229.128,78.2967,78.1792,
4231.056,78.4078,77.8205,
4232.985,78.5162,77.4329,
4234.913,78.6093,77.0401,
4236.842,78.6729,76.6638,
4238.770,78.693,76.3195,
4240.699,78.6569,76.0125,
4242.627,78.5551,75.738,
4244.556,78.3824,75.4832,
4246.484,78.1391,75.2327,
4248.413,77.8323,74.9739,
4250.341,77.4764,74.7018,
4252.270,77.0919,74.421,
4254.198,76.7022,74.1457,
4256.127,76.3293,73.8968,
4258.055,75.9883,73.6981,
4259.983,75.6843,73.5712,
4261.912,75.412,73.5327,
4263.840,75.1585,73.5913,
4265.769,74.9087,73.7478,
4267.697,74.6511,73.9958,
4269.626,74.382,74.3235,
4271.554,74.1068,74.7157,
4273.483,73.8394,75.1565,
4275.411,73.5989,75.6306,
4277.340,73.4068,76.1255,
4279.268,73.2832,76.6317,
4281.197,73.2441,77.1429,
4283.125,73.2992,77.655,
4285.054,73.4506,78.1651,
4286.982,73.693,78.6702,
4288.910,74.0153,79.1671,
4290.839,74.4021,79.6519,
4292.767,74.837,80.1208,
4294.696,75.3051,80.5704,
4296.624,75.7938,80.9987,
4298.553,76.2945,81.4054,
4300.481,76.801,81.7916,
4302.410,77.3093,82.159,
4304.338,77.8158,82.5094,
4306.267,78.3173,82.8435,
4308.195,78.81,83.1612,
4310.124,79.2899,83.4614,
4312.052,79.7536,83.7438,
4313.981,80.1983,84.0087,
4315.909,80.6226,84.2571,
4317.837,81.026,84.4904,
4319.766,81.4093,84.7097,
4321.694,81.7734,84.9152,
4323.623,82.1196,85.107,
4325.551,82.449,85.2852,
4327.480,82.7625,85.4501,
4329.408,83.0603,85.6028,
4331.337,83.3426,85.7443,
4333.265,83.6087,85.8756,
4335.194,83.8583,85.9974,
4337.122,84.0912,86.1101,
4339.051,84.3079,86.2142,
4340.979,84.5099,86.3102,
4342.908,84.6988,86.3987,
4344.836,84.876,86.4802,
4346.764,85.042,86.5554,
4348.693,85.1964,86.6254,
4350.621,85.3385,86.6914,
4352.550,85.4681,86.755,
4354.478,85.5863,86.8175,
4356.407,85.6947,86.8792,
4358.335,85.7952,86.9399,
4360.264,85.8892,86.9986,
4362.192,85.977,87.054,
4364.121,86.0587,87.1055,
4366.049,86.1347,87.1535,
4367.978,86.2061,87.1986,
4369.906,86.2745,87.242,
4371.835,86.3413,87.2838,
4373.763,86.4068,87.3238,
4375.691,86.4703,87.3612,
4377.620,86.5305,87.3953,
4379.548,86.5865,87.426,
4381.477,86.6381,87.454,
4383.405,86.6862,87.4801,
4385.334,86.7322,87.5053,
4387.262,86.7772,87.5297,
4389.191,86.8214,87.5525,
4391.119,86.8643,87.5723,
4393.048,86.9048,87.5877,
4394.976,86.9423,87.5981,
4396.905,86.9766,87.6041,
4398.833,87.0082,87.6072,
4400.762,87.0378,87.609,
4402.690,87.0656,87.6109,
4404.618,87.0914,87.6128,
4406.547,87.1146,87.6136,
4408.475,87.1347,87.6116,
4410.404,87.1514,87.6056,
4412.332,87.1651,87.595,
4414.261,87.1762,87.5804,
4416.189,87.1847,87.5628,
4418.118,87.1907,87.5432,
4420.046,87.1937,87.522,
4421.975,87.1938,87.4999,
4423.903,87.1914,87.4773,
4425.832,87.1869,87.4552,
4427.760,87.1809,87.4346,
4429.689,87.1734,87.4169,
4431.617,87.1639,87.4031,
4433.546,87.1518,87.3944,
4435.474,87.1366,87.3918,
4437.402,87.1183,87.3963,
4439.331,87.0974,87.4078,
4441.259,87.0744,87.4253,
4443.188,87.0505,87.4458,
4445.116,87.0268,87.4658,
4447.045,87.0047,87.4819,
4448.973,86.9857,87.4921,
4450.902,86.9714,87.4956,
4452.830,86.9631,87.4928,
4454.759,86.9619,87.4845,
4456.687,86.9679,87.4709,
4458.616,86.9802,87.4521,
4460.544,86.997,87.4279,
4462.473,87.0155,87.3982,
4464.401,87.0328,87.3635,
4466.329,87.0464,87.3246,
4468.258,87.055,87.2826,
4470.186,87.0585,87.2385,
4472.115,87.0571,87.1934,
4474.043,87.0509,87.1484,
4475.972,87.0397,87.1038,
4477.900,87.0228,87.0592,
4479.829,86.9995,87.0134,
4481.757,86.9699,86.9646,
4483.686,86.9346,86.9117,
4485.614,86.8951,86.8544,
4487.543,86.853,86.7931,
4489.471,86.8096,86.7292,
4491.400,86.7654,86.6644,
4493.328,86.7205,86.6007,
4495.256,86.6745,86.5403,
4497.185,86.6272,86.4859,
4499.113,86.5784,86.4404,
4501.042,86.5281,86.4063,
4502.970,86.4756,86.3852,
4504.899,86.4203,86.3773,
4506.827,86.3612,86.3814,
4508.756,86.2985,86.3958,
4510.684,86.2331,86.4179,
4512.613,86.1678,86.4454,
4514.541,86.106,86.4757,
4516.470,86.0515,86.5064,
4518.398,86.0073,86.5349,
4520.327,85.9751,86.5588,
4522.255,85.9552,86.5764,
4524.183,85.9469,86.586,
4526.112,85.9491,86.5862,
4528.040,85.9606,86.5751,
4529.969,85.9802,86.5503,
4531.897,86.0064,86.5097,
4533.826,86.0372,86.4513,
4535.754,86.0696,86.3743,
4537.683,86.1006,86.2789,
4539.611,86.1269,86.1654,
4541.540,86.1455,86.0338,
4543.468,86.1546,85.8827,
4545.397,86.1527,85.7107,
4547.325,86.1388,85.5165,
4549.254,86.1118,85.3008,
4551.182,86.0703,85.067,
4553.110,86.013,84.8206,
4555.039,85.9386,84.5687,
4556.967,85.8461,84.3193,
4558.896,85.7347,84.0806,
4560.824,85.6034,83.8611,
4562.753,85.4513,83.6695,
4564.681,85.2778,83.5152,
4566.610,85.0829,83.4075,
4568.538,84.8681,83.3545,
4570.467,84.6365,83.3619,
4572.395,84.3932,83.4313,
4574.324,84.1447,83.56,
4576.252,83.8983,83.7412,
4578.181,83.6619,83.9652,
4580.109,83.4436,84.2211,
4582.037,83.2521,84.498,
4583.966,83.0966,84.7851,
4585.894,82.9868,85.072,
4587.823,82.9316,85.3484,
4589.751,82.9372,85.605,
4591.680,83.006,85.8344,
4593.608,83.1351,86.0324,
4595.537,83.317,86.1987,
4597.465,83.541,86.336,
4599.394,83.7955,86.449,
4601.322,84.0692,86.5424,
4603.251,84.3519,86.6206,
4605.179,84.6338,86.6868,
4607.108,84.9054,86.7436,
4609.036,85.1579,86.7931,
4610.964,85.3841,86.8373,
4612.893,85.5802,86.878,
4614.821,85.7456,86.9164,
4616.750,85.8833,86.9536,
4618.678,85.9976,86.9899,
4620.607,86.0927,87.0257,
4622.535,86.1721,87.061,
4624.464,86.2384,87.0959,
4626.392,86.2937,87.1307,
4628.321,86.3408,87.1656,
4630.249,86.3823,87.2008,
4632.178,86.4208,87.2363,
4634.106,86.4581,87.2714,
4636.035,86.495,87.3054,
4637.963,86.5313,87.3376,
4639.891,86.5665,87.3681,
4641.820,86.6004,87.3979,
4643.748,86.6336,87.4284,
4645.677,86.6666,87.4609,
4647.605,86.7005,87.4957,
4649.534,86.7354,87.5319,
4651.462,86.7712,87.5681,
4653.391,86.8069,87.603,
4655.319,86.8412,87.6359,
4657.248,86.8736,87.6672,
4659.176,86.9039,87.6974,
4661.105,86.9332,87.7272,
4663.033,86.9629,87.7567,
4664.962,86.994,87.7853,
4666.890,87.0269,87.8121,
4668.818,87.061,87.8358,
4670.747,87.0953,87.8557,
4672.675,87.1289,87.8714,
4674.604,87.1617,87.8833,
4676.532,87.1941,87.8924,
4678.461,87.2265,87.8998,
4680.389,87.259,87.906,
4682.318,87.2909,87.9114,
4684.246,87.3208,87.9155,
4686.175,87.3472,87.9179,
4688.103,87.3694,87.9181,
4690.032,87.3872,87.9163,
4691.960,87.4011,87.9129,
4693.889,87.4117,87.9086,
4695.817,87.4193,87.9036,
4697.745,87.4242,87.8981,
4699.674,87.4269,87.8924,
4701.602,87.428,87.8872,
4703.531,87.4284,87.883,
4705.459,87.4288,87.8803,
4707.388,87.4296,87.8789,
4709.316,87.4305,87.8781,
4711.245,87.4307,87.8775,
4713.173,87.4295,87.8768,
4715.102,87.4266,87.8764,
4717.030,87.4225,87.8768,
4718.959,87.4181,87.8782,
4720.887,87.4143,87.8802,
4722.816,87.4114,87.8822,
4724.744,87.4094,87.8837,
4726.672,87.4076,87.885,
4728.601,87.4056,87.8866,
4730.529,87.4029,87.8888,
4732.458,87.3999,87.8918,
4734.386,87.3969,87.8951,
4736.315,87.3947,87.8984,
4738.243,87.3935,87.9015,
4740.172,87.3935,87.9047,
4742.100,87.3946,87.9078,
4744.029,87.3962,87.9106,
4745.957,87.3984,87.9122,
4747.886,87.4013,87.9121,
4749.814,87.4051,87.9099,
4751.743,87.4101,87.9061,
4753.671,87.416,87.9016,
4755.599,87.4219,87.8976,
4757.528,87.4268,87.8947,
4759.456,87.4297,87.8932,
4761.385,87.4306,87.893,
4763.313,87.4301,87.8937,
4765.242,87.429,87.8945,
4767.170,87.4277,87.8951,
4769.099,87.4261,87.8952,
4771.027,87.4238,87.8952,
4772.956,87.4204,87.8957,
4774.884,87.4159,87.8977,
4776.813,87.4109,87.9017,
4778.741,87.4062,87.9076,
4780.670,87.4028,87.9146,
4782.598,87.4009,87.9216,
4784.526,87.4007,87.9275,
4786.455,87.4019,87.9319,
4788.383,87.4042,87.9354,
4790.312,87.4069,87.939,
4792.240,87.4099,87.9436,
4794.169,87.4129,87.9492,
4796.097,87.4162,87.9548,
4798.026,87.4202,87.959,
4799.954,87.4251,87.9605,
4801.883,87.4306,87.9592,
4803.811,87.4361,87.9559,
4805.740,87.4409,87.9524,
4807.668,87.4449,87.9499,
4809.597,87.4485,87.9487,
4811.525,87.4526,87.948,
4813.453,87.4575,87.9466,
4815.382,87.4629,87.9436,
4817.310,87.4676,87.9388,
4819.239,87.47,87.9328,
4821.167,87.4695,87.9263,
4823.096,87.4663,87.9199,
4825.024,87.4617,87.9139,
4826.953,87.4574,87.9084,
4828.881,87.4545,87.9033,
4830.810,87.4531,87.899,
4832.738,87.4525,87.8955,
4834.667,87.4516,87.8926,
4836.595,87.4492,87.8899,
4838.524,87.445,87.8867,
4840.452,87.4393,87.8826,
4842.380,87.4329,87.8776,
4844.309,87.4267,87.8721,
4846.237,87.4214,87.8666,
4848.166,87.4173,87.8617,
4850.094,87.4141,87.8576,
4852.023,87.411,87.8542,
4853.951,87.4072,87.8512,
4855.880,87.4022,87.8484,
4857.808,87.3958,87.846,
4859.737,87.3883,87.8444,
4861.665,87.3805,87.8441,
4863.594,87.3731,87.8453,
4865.522,87.3665,87.8476,
4867.451,87.3609,87.8501,
4869.379,87.3561,87.8518,
4871.307,87.352,87.852,
4873.236,87.3484,87.8508,
4875.164,87.3456,87.8485,
4877.093,87.3439,87.8459,
4879.021,87.3434,87.843,
4880.950,87.3437,87.8399,
4882.878,87.3444,87.8362,
4884.807,87.3447,87.8318,
4886.735,87.3442,87.8267,
4888.664,87.3429,87.821,
4890.592,87.3411,87.8146,
4892.521,87.3394,87.8068,
4894.449,87.3379,87.7974,
4896.378,87.3362,87.7859,
4898.306,87.3339,87.7727,
4900.235,87.3306,87.7585,
4902.163,87.3262,87.7439,
4904.091,87.3208,87.7293,
4906.020,87.3146,87.7147,
4907.948,87.308,87.7003,
4909.877,87.3009,87.6861,
4911.805,87.2932,87.6722,
4913.734,87.2846,87.6588,
4915.662,87.2747,87.6455,
4917.591,87.2632,87.6324,
4919.519,87.2498,87.6196,
4921.448,87.235,87.6078,
4923.376,87.2193,87.598,
4925.305,87.2037,87.591,
4927.233,87.1889,87.5868,
4929.162,87.1752,87.5844,
4931.090,87.1622,87.5822,
4933.018,87.1495,87.5789,
4934.947,87.1365,87.5741,
4936.875,87.1233,87.5683,
4938.804,87.11,87.5621,
4940.732,87.0974,87.5554,
4942.661,87.0861,87.5471,
4944.589,87.0764,87.5352,
4946.518,87.0684,87.5177,
4948.446,87.0623,87.4939,
4950.375,87.0578,87.4646,
4952.303,87.0547,87.4315,
4954.232,87.0524,87.3962,
4956.160,87.0502,87.3594,
4958.089,87.0469,87.321,
4960.017,87.041,87.2803,
4961.945,87.0311,87.2371,
4963.874,87.0165,87.1922,
4965.802,86.997,87.1475,
4967.731,86.9731,87.1053,
4969.659,86.9456,87.0685,
4971.588,86.915,87.0391,
4973.516,86.881,87.0185,
4975.445,86.8434,87.0071,
4977.373,86.8022,87.0044,
4979.302,86.7582,87.0097,
4981.230,86.7131,87.022,
4983.159,86.6686,87.0407,
4985.087,86.6267,87.065,
4987.016,86.5888,87.0937,
4988.944,86.556,87.1256,
4990.872,86.529,87.1591,
4992.801,86.509,87.193,
4994.729,86.4966,87.227,
4996.658,86.4918,87.2611,
4998.586,86.4942,87.2955,
5000.515,86.503,87.3302,
5002.443,86.5175,87.3645,
5004.372,86.5372,87.3972,
5006.300,86.5618,87.4273,
5008.229,86.5911,87.4544,
5010.157,86.6241,87.4785,
5012.086,86.6593,87.5003,
5014.014,86.6952,87.5205,
5015.943,86.7306,87.5396,
5017.871,86.7646,87.5575,
5019.799,86.7969,87.5739,
5021.728,86.8273,87.5883,
5023.656,86.8556,87.6007,
5025.585,86.8818,87.6111,
5027.513,86.9064,87.6199,
5029.442,86.9299,87.6273,
5031.370,86.9526,87.6332,
5033.299,86.9745,87.6372,
5035.227,86.995,87.6386,
5037.156,87.0131,87.6369,
5039.084,87.0281,87.6322,
5041.013,87.0401,87.625,
5042.941,87.05,87.6163,
5044.870,87.0589,87.6071,
5046.798,87.0674,87.5984,
5048.726,87.075,87.5908,
5050.655,87.0806,87.5845,
5052.583,87.0833,87.5792,
5054.512,87.0826,87.5747,
5056.440,87.0791,87.5709,
5058.369,87.0738,87.5682,
5060.297,87.0672,87.5667,
5062.226,87.0594,87.5669,
5064.154,87.0501,87.5689,
5066.083,87.039,87.5732,
5068.011,87.0268,87.5803,
5069.940,87.0148,87.5905,
5071.868,87.0046,87.6039,
5073.797,86.9972,87.6197,
5075.725,86.9925,87.6364,
5077.653,86.9897,87.6524,
5079.582,86.9881,87.6667,
5081.510,86.9875,87.679,
5083.439,86.9883,87.689,
5085.367,86.9911,87.6965,
5087.296,86.9963,87.7012,
5089.224,87.0032,87.7032,
5091.153,87.0112,87.7042,
5093.081,87.0194,87.7062,
5095.010,87.0277,87.7103,
5096.938,87.0364,87.7148,
5098.867,87.0456,87.7158,
5100.795,87.0552,87.7087,
5102.724,87.065,87.6915,
5104.652,87.0744,87.6665,
5106.580,87.0828,87.6392,
5108.509,87.0894,87.6155,
5110.437,87.0927,87.5981,
5112.366,87.0908,87.5871,
5114.294,87.082,87.5805,
5116.223,87.0662,87.5766,
5118.151,87.0459,87.574,
5120.080,87.0253,87.5719,
5122.008,87.0091,87.5691,
5123.937,86.999,87.5646,
5125.865,86.9931,87.5581,
5127.794,86.9873,87.5512,
5129.722,86.9774,87.5473,
5131.651,86.9622,87.5501,
5133.579,86.9433,87.5612,
5135.507,86.9244,87.5795,
5137.436,86.909,87.6007,
5139.364,86.899,87.6192,
5141.293,86.8949,87.6303,
5143.221,86.8956,87.6325,
5145.150,86.9001,87.6282,
5147.078,86.9072,87.6216,
5149.007,86.9152,87.6174,
5150.935,86.922,87.618,
5152.864,86.9254,87.6234,
5154.792,86.9243,87.6308,
5156.721,86.9195,87.6359,
5158.649,86.9136,87.6349,
5160.578,86.9101,87.6257,
5162.506,86.9115,87.6092,
5164.434,86.9184,87.5883,
5166.363,86.9291,87.5661,
5168.291,86.94,87.545,
5170.220,86.9481,87.5259,
5172.148,86.9512,87.5088,
5174.077,86.9495,87.4935,
5176.005,86.9451,87.4799,
5177.934,86.9413,87.4674,
5179.862,86.9405,87.4549,
5181.791,86.9431,87.4409,
5183.719,86.9465,87.4241,
5185.648,86.947,87.4051,
5187.576,86.9414,87.3859,
5189.505,86.9287,87.3698,
5191.433,86.9099,87.3596,
5193.361,86.8878,87.3563,
5195.290,86.8651,87.3588,
5197.218,86.8436,87.3648,
5199.147,86.8242,87.3717,
5201.075,86.8072,87.3775,
5203.004,86.7927,87.3813,
5204.932,86.7812,87.3832,
5206.861,86.7728,87.3839,
5208.789,86.7671,87.3848,
5210.718,86.7636,87.3872,
5212.646,86.7617,87.3923,
5214.575,86.761,87.3998,
5216.503,86.7615,87.4083,
5218.432,86.7632,87.4152,
5220.360,86.7658,87.4185,
5222.288,86.7691,87.4182,
5224.217,86.773,87.4171,
5226.145,86.778,87.4189,
5228.074,86.7841,87.4257,
5230.002,86.7908,87.4366,
5231.931,86.7963,87.4476,
5233.859,86.7984,87.4547,
5235.788,86.7951,87.4558,
5237.716,86.7863,87.4523,
5239.645,86.7737,87.4472,
5241.573,86.76,87.4425,
5243.502,86.7477,87.4376,
5245.430,86.7375,87.4306,
5247.359,86.7283,87.4204,
5249.287,86.7186,87.4083,
5251.215,86.7078,87.3975,
5253.144,86.6975,87.3908,
5255.072,86.6897,87.3886,
5257.001,86.6863,87.3895,
5258.929,86.6869,87.3917,
5260.858,86.69,87.3948,
5262.786,86.6943,87.3995,
5264.715,86.6997,87.407,
5266.643,86.7072,87.4166,
5268.572,86.7182,87.4254,
5270.500,86.7324,87.4298,
5272.429,86.7483,87.4274,
5274.357,86.7637,87.419,
5276.286,86.7764,87.4083,
5278.214,86.7853,87.3999,
5280.142,86.7899,87.3973,
5282.071,86.7902,87.4023,
5283.999,86.7863,87.4138,
5285.928,86.779,87.4294,
5287.856,86.7694,87.4448,
5289.785,86.7595,87.4561,
5291.713,86.7511,87.4612,
5293.642,86.7452,87.4609,
5295.570,86.7419,87.459,
5297.499,86.7407,87.4603,
5299.427,86.7412,87.4682,
5301.356,86.7436,87.4821,
5303.284,86.7483,87.4973,
5305.213,86.7556,87.506,
5307.141,86.7657,87.5017,
5309.069,86.7786,87.4834,
5310.998,86.7938,87.4565,
5312.926,86.8095,87.4302,
5314.855,86.8228,87.4124,
5316.783,86.8302,87.4067,
5318.712,86.8287,87.4117,
5320.640,86.818,87.4221,
5322.569,86.801,87.4311,
5324.497,86.7837,87.4337,
5326.426,86.7727,87.4287,
5328.354,86.7712,87.4189,
5330.283,86.7772,87.409,
5332.211,86.7852,87.4022,
5334.140,86.7892,87.3985,
5336.068,86.7859,87.395,
5337.996,86.7753,87.3876,
5339.925,86.7598,87.3731,
5341.853,86.7436,87.3515,
5343.782,86.73,87.3262,
5345.710,86.7205,87.3023,
5347.639,86.7141,87.2838,
5349.567,86.7086,87.2721,
5351.496,86.7016,87.2654,
5353.424,86.692,87.2599,
5355.353,86.68,87.2521,
5357.281,86.6669,87.2404,
5359.210,86.6552,87.2262,
5361.138,86.6464,87.2122,
5363.067,86.6407,87.2005,
5364.995,86.6367,87.1904,
5366.924,86.6317,87.1791,
5368.852,86.6233,87.163,
5370.780,86.6103,87.1411,
5372.709,86.5938,87.1153,
5374.637,86.5764,87.0901,
5376.566,86.5608,87.0692,
5378.494,86.5485,87.0534,
5380.423,86.5384,87.0403,
5382.351,86.528,87.0254,
5384.280,86.5151,87.0047,
5386.208,86.4995,86.9767,
5388.137,86.4834,86.9428,
5390.065,86.4697,86.906,
5391.994,86.4599,86.8687,
5393.922,86.4524,86.8318,
5395.851,86.4431,86.7949,
5397.779,86.4277,86.7578,
5399.707,86.4035,86.7211,
5401.636,86.372,86.6866,
5403.564,86.3371,86.6565,
5405.493,86.304,86.6323,
5407.421,86.2759,86.6143,
5409.350,86.2523,86.6022,
5411.278,86.2296,86.595,
5413.207,86.2041,86.5923,
5415.135,86.1737,86.5937,
5417.064,86.1395,86.5993,
5418.992,86.1049,86.609,
5420.921,86.0737,86.6222,
5422.849,86.0482,86.6381,
5424.778,86.0283,86.6555,
5426.706,86.0124,86.6728,
5428.634,85.9994,86.6889,
5430.563,85.9894,86.7028,
5432.491,85.9843,86.7142,
5434.420,85.9858,86.7232,
5436.348,85.9944,86.7298,
5438.277,86.0082,86.7338,
5440.205,86.0244,86.7348,
5442.134,86.0399,86.7326,
5444.062,86.0536,86.7273,
5445.991,86.0655,86.7194,
5447.919,86.0769,86.7099,
5449.848,86.0884,86.6994,
5451.776,86.0996,86.6881,
5453.705,86.1093,86.6752,
5455.633,86.1157,86.6594,
5457.561,86.1179,86.6393,
5459.490,86.1161,86.6141,
5461.418,86.1116,86.5844,
5463.347,86.1061,86.5517,
5465.275,86.1009,86.5183,
5467.204,86.0964,86.4863,
5469.132,86.092,86.4564,
5471.061,86.0864,86.4282,
5472.989,86.0778,86.4004,
5474.918,86.0648,86.3717,
5476.846,86.0466,86.3417,
5478.775,86.0232,86.3111,
5480.703,85.9953,86.2812,
5482.632,85.9644,86.2532,
5484.560,85.9325,86.227,
5486.488,85.9013,86.2022,
5488.417,85.8718,86.1777,
5490.345,85.8436,86.1531,
5492.274,85.8154,86.1286,
5494.202,85.7858,86.1045,
5496.131,85.7541,86.0811,
5498.059,85.7211,86.0583,
5499.988,85.6883,86.0356,
5501.916,85.6576,86.0125,
5503.845,85.6301,85.9887,
5505.773,85.6058,85.9644,
5507.702,85.5837,85.9397,
5509.630,85.5623,85.9143,
5511.559,85.5401,85.8879,
5513.487,85.5159,85.86,
5515.415,85.4893,85.83,
5517.344,85.4609,85.7978,
5519.272,85.4321,85.7634,
5521.201,85.4044,85.7271,
5523.129,85.3787,85.6891,
5525.058,85.3552,85.6504,
5526.986,85.3329,85.6118,
5528.915,85.3104,85.5742,
5530.843,85.2868,85.5382,
5532.772,85.2616,85.5036,
5534.700,85.2348,85.4702,
5536.629,85.2065,85.4375,
5538.557,85.1765,85.4064,
5540.486,85.1446,85.3783,
5542.414,85.1106,85.3552,
5544.342,85.0745,85.3387,
5546.271,85.0368,85.3288,
5548.199,84.9982,85.324,
5550.128,84.9595,85.3222,
5552.056,84.9216,85.3212,
5553.985,84.8853,85.32,
5555.913,84.8519,85.3181,
5557.842,84.8222,85.3156,
5559.770,84.7971,85.3113,
5561.699,84.7772,85.3035,
5563.627,84.7623,85.2892,
5565.556,84.7518,85.2661,
5567.484,84.7447,85.2329,
5569.413,84.7397,85.1898,
5571.341,84.7358,85.138,
5573.269,84.7325,85.0787,
5575.198,84.7293,85.0129,
5577.126,84.7257,84.9409,
5579.055,84.7201,84.8632,
5580.983,84.7107,84.781,
5582.912,84.6953,84.696,
5584.840,84.6722,84.6103,
5586.769,84.6406,84.5248,
5588.697,84.6001,84.4391,
5590.626,84.5509,84.3516,
5592.554,84.4929,84.2603,
5594.483,84.4266,84.1638,
5596.411,84.353,84.0616,
5598.340,84.274,83.9544,
5600.268,84.1922,83.8433,
5602.196,84.1095,83.7301,
5604.125,84.027,83.6162,
5606.053,83.9439,83.5035,
5607.982,83.8591,83.3936,
5609.910,83.7714,83.2881,
5611.839,83.6799,83.1883,
5613.767,83.5847,83.0952,
5615.696,83.4857,83.0106,
5617.624,83.3828,82.9361,
5619.553,83.2754,82.8737,
5621.481,83.1638,82.8248,
5623.410,83.0489,82.7903,
5625.338,82.9334,82.77,
5627.267,82.8205,82.7641,
5629.195,82.7133,82.7734,
5631.123,82.614,82.7994,
5633.052,82.5237,82.8442,
5634.980,82.4427,82.9088,
5636.909,82.3713,82.9926,
5638.837,82.3102,83.0929,
5640.766,82.2606,83.2059,
5642.694,82.2236,83.3276,
5644.623,82.2005,83.4547,
5646.551,82.1921,83.5847,
5648.480,82.1995,83.7161,
5650.408,82.2239,83.8469,
5652.337,82.2666,83.9748,
5654.265,82.3281,84.0965,
5656.194,82.4081,84.2085,
5658.122,82.5052,84.3075,
5660.050,82.6171,84.3914,
5661.979,82.7404,84.4593,
5663.907,82.8719,84.5115,
5665.836,83.0075,84.5487,
