,cavity_after2,
Wavenumbers [1/cm],Transmittance %,
6295.000,10.68,
6294.000,10.77,
6293.000,10.85,
6292.000,10.94,
6291.000,11.02,
6290.000,11.11,
6289.000,11.19,
6288.000,11.28,
6287.000,11.37,
6286.000,11.46,
6285.000,11.55,
6284.000,11.65,
6283.000,11.74,
6282.000,11.83,
6281.000,11.92,
6280.000,12.01,
6279.000,12.1,
6278.000,12.19,
6277.000,12.27,
6276.000,12.36,
6275.000,12.45,
6274.000,12.54,
6273.000,12.63,
6272.000,12.73,
6271.000,12.82,
6270.000,12.92,
6269.000,13.02,
6268.000,13.11,
6267.000,13.21,
6266.000,13.3,
6265.000,13.39,
6264.000,13.49,
6263.000,13.58,
6262.000,13.67,
6261.000,13.77,
6260.000,13.86,
6259.000,13.96,
6258.000,14.04,
6257.000,14.12,
6256.000,14.2,
6255.000,14.28,
6254.000,14.36,
6253.000,14.43,
6252.000,14.51,
6251.000,14.59,
6250.000,14.66,
6249.000,14.72,
6248.000,14.78,
6247.000,14.84,
6246.000,14.89,
6245.000,14.94,
6244.000,14.99,
6243.000,15.04,
6242.000,15.08,
6241.000,15.11,
6240.000,15.14,
6239.000,15.15,
6238.000,15.16,
6237.000,15.16,
6236.000,15.16,
6235.000,15.16,
6234.000,15.15,
6233.000,15.14,
6232.000,15.12,
6231.000,15.09,
6230.000,15.06,
6229.000,15.02,
6228.000,14.97,
6227.000,14.92,
6226.000,14.86,
6225.000,14.79,
6224.000,14.72,
6223.000,14.65,
6222.000,14.57,
6221.000,14.48,
6220.000,14.37,
6219.000,14.26,
6218.000,14.14,
6217.000,14.02,
6216.000,13.9,
6215.000,13.78,
6214.000,13.66,
6213.000,13.53,
6212.000,13.4,
6211.000,13.26,
6210.000,13.12,
6209.000,12.97,
6208.000,12.83,
6207.000,12.69,
6206.000,12.54,
6205.000,12.39,
6204.000,12.24,
6203.000,12.08,
6202.000,11.93,
6201.000,11.77,
6200.000,11.62,
6199.000,11.47,
6198.000,11.32,
6197.000,11.18,
6196.000,11.03,
6195.000,10.89,
6194.000,10.74,
6193.000,10.59,
6192.000,10.45,
6191.000,10.32,
6190.000,10.19,
6189.000,10.07,
6188.000,9.94,
6187.000,9.82,
6186.000,9.69,
6185.000,9.56,
6184.000,9.44,
6183.000,9.32,
6182.000,9.21,
6181.000,9.1,
6180.000,9.01,
6179.000,8.91,
6178.000,8.81,
6177.000,8.72,
6176.000,8.62,
6175.000,8.53,
6174.000,8.44,
6173.000,8.37,
6172.000,8.29,
6171.000,8.22,
6170.000,8.15,
6169.000,8.07,
6168.000,8,
6167.000,7.93,
6166.000,7.87,
6165.000,7.82,
6164.000,7.77,
6163.000,7.73,
6162.000,7.68,
6161.000,7.64,
6160.000,7.6,
6159.000,7.56,
6158.000,7.52,
6157.000,7.49,
6156.000,7.46,
6155.000,7.44,
6154.000,7.42,
6153.000,7.4,
6152.000,7.38,
6151.000,7.36,
6150.000,7.35,
6149.000,7.34,
6148.000,7.33,
6147.000,7.32,
6146.000,7.31,
6145.000,7.31,
6144.000,7.32,
6143.000,7.33,
6142.000,7.34,
6141.000,7.35,
6140.000,7.36,
6139.000,7.37,
6138.000,7.38,
6137.000,7.39,
6136.000,7.4,
6135.000,7.42,
6134.000,7.45,
6133.000,7.47,
6132.000,7.5,
6131.000,7.53,
6130.000,7.55,
6129.000,7.58,
6128.000,7.61,
6127.000,7.64,
6126.000,7.68,
6125.000,7.72,
6124.000,7.75,
6123.000,7.79,
6122.000,7.83,
6121.000,7.87,
6120.000,7.92,
6119.000,7.97,
6118.000,8.02,
6117.000,8.07,
6116.000,8.13,
6115.000,8.18,
6114.000,8.23,
6113.000,8.28,
6112.000,8.33,
6111.000,8.39,
6110.000,8.44,
6109.000,8.5,
6108.000,8.55,
6107.000,8.6,
6106.000,8.66,
6105.000,8.73,
6104.000,8.79,
6103.000,8.86,
6102.000,8.92,
6101.000,8.99,
6100.000,9.05,
6099.000,9.11,
6098.000,9.18,
6097.000,9.24,
6096.000,9.31,
6095.000,9.37,
6094.000,9.44,
6093.000,9.51,
6092.000,9.58,
6091.000,9.65,
6090.000,9.73,
6089.000,9.8,
6088.000,9.87,
6087.000,9.94,
6086.000,10,
6085.000,10.07,
6084.000,10.13,
6083.000,10.2,
6082.000,10.26,
6081.000,10.33,
6080.000,10.41,
6079.000,10.49,
6078.000,10.57,
6077.000,10.65,
6076.000,10.72,
6075.000,10.8,
6074.000,10.88,
6073.000,10.95,
6072.000,11.03,
6071.000,11.1,
6070.000,11.18,
6069.000,11.25,
6068.000,11.33,
6067.000,11.41,
6066.000,11.48,
6065.000,11.56,
6064.000,11.64,
6063.000,11.73,
6062.000,11.81,
6061.000,11.89,
6060.000,11.97,
6059.000,12.06,
6058.000,12.14,
6057.000,12.23,
6056.000,12.31,
6055.000,12.4,
6054.000,12.48,
6053.000,12.57,
6052.000,12.65,
6051.000,12.74,
6050.000,12.82,
6049.000,12.91,
6048.000,13.01,
6047.000,13.11,
6046.000,13.21,
6045.000,13.3,
6044.000,13.4,
6043.000,13.49,
6042.000,13.59,
6041.000,13.68,
6040.000,13.77,
6039.000,13.87,
6038.000,13.96,
6037.000,14.06,
6036.000,14.15,
6035.000,14.24,
6034.000,14.33,
6033.000,14.43,
6032.000,14.52,
6031.000,14.62,
6030.000,14.72,
6029.000,14.81,
6028.000,14.91,
6027.000,15,
6026.000,15.08,
6025.000,15.17,
6024.000,15.25,
6023.000,15.33,
6022.000,15.41,
6021.000,15.49,
6020.000,15.57,
6019.000,15.64,
6018.000,15.71,
6017.000,15.77,
6016.000,15.83,
6015.000,15.88,
6014.000,15.93,
6013.000,15.98,
6012.000,16.03,
6011.000,16.07,
6010.000,16.1,
6009.000,16.13,
6008.000,16.14,
6007.000,16.16,
6006.000,16.16,
6005.000,16.16,
6004.000,16.15,
6003.000,16.14,
6002.000,16.12,
6001.000,16.09,
6000.000,16.05,
5999.000,16.01,
5998.000,15.96,
5997.000,15.9,
5996.000,15.83,
5995.000,15.75,
5994.000,15.66,
5993.000,15.57,
5992.000,15.47,
5991.000,15.37,
5990.000,15.26,
5989.000,15.15,
5988.000,15.02,
5987.000,14.89,
5986.000,14.75,
5985.000,14.6,
5984.000,14.45,
5983.000,14.3,
5982.000,14.14,
5981.000,13.98,
5980.000,13.82,
5979.000,13.65,
5978.000,13.47,
5977.000,13.29,
5976.000,13.12,
5975.000,12.94,
5974.000,12.77,
5973.000,12.6,
5972.000,12.42,
5971.000,12.25,
5970.000,12.07,
5969.000,11.89,
5968.000,11.71,
5967.000,11.54,
5966.000,11.36,
5965.000,11.19,
5964.000,11.02,
5963.000,10.85,
5962.000,10.69,
5961.000,10.53,
5960.000,10.37,
5959.000,10.21,
5958.000,10.06,
5957.000,9.9,
5956.000,9.75,
5955.000,9.6,
5954.000,9.46,
5953.000,9.32,
5952.000,9.18,
5951.000,9.05,
5950.000,8.93,
5949.000,8.81,
5948.000,8.69,
5947.000,8.58,
5946.000,8.46,
5945.000,8.35,
5944.000,8.24,
5943.000,8.13,
5942.000,8.04,
5941.000,7.94,
5940.000,7.84,
5939.000,7.75,
5938.000,7.66,
5937.000,7.57,
5936.000,7.49,
5935.000,7.42,
5934.000,7.35,
5933.000,7.28,
5932.000,7.22,
5931.000,7.16,
5930.000,7.1,
5929.000,7.04,
5928.000,6.99,
5927.000,6.94,
5926.000,6.89,
5925.000,6.85,
5924.000,6.81,
5923.000,6.78,
5922.000,6.74,
5921.000,6.72,
5920.000,6.69,
5919.000,6.66,
5918.000,6.64,
5917.000,6.62,
5916.000,6.6,
5915.000,6.58,
5914.000,6.57,
5913.000,6.56,
5912.000,6.55,
5911.000,6.55,
5910.000,6.55,
5909.000,6.55,
5908.000,6.55,
5907.000,6.56,
5906.000,6.56,
5905.000,6.57,
5904.000,6.59,
5903.000,6.6,
5902.000,6.62,
5901.000,6.64,
5900.000,6.66,
5899.000,6.68,
5898.000,6.71,
5897.000,6.73,
5896.000,6.76,
5895.000,6.79,
5894.000,6.82,
5893.000,6.85,
5892.000,6.88,
5891.000,6.91,
5890.000,6.95,
5889.000,7,
5888.000,7.05,
5887.000,7.1,
5886.000,7.14,
5885.000,7.19,
5884.000,7.24,
5883.000,7.28,
5882.000,7.33,
5881.000,7.39,
5880.000,7.44,
5879.000,7.5,
5878.000,7.56,
5877.000,7.61,
5876.000,7.66,
5875.000,7.72,
5874.000,7.78,
5873.000,7.84,
5872.000,7.9,
5871.000,7.96,
5870.000,8.02,
5869.000,8.09,
5868.000,8.15,
5867.000,8.23,
5866.000,8.3,
5865.000,8.38,
5864.000,8.45,
5863.000,8.53,
5862.000,8.6,
5861.000,8.66,
5860.000,8.73,
5859.000,8.8,
5858.000,8.88,
5857.000,8.96,
5856.000,9.04,
5855.000,9.12,
5854.000,9.2,
5853.000,9.28,
5852.000,9.36,
5851.000,9.44,
5850.000,9.52,
5849.000,9.61,
5848.000,9.7,
5847.000,9.79,
5846.000,9.88,
5845.000,9.97,
5844.000,10.05,
5843.000,10.14,
5842.000,10.22,
5841.000,10.31,
5840.000,10.4,
5839.000,10.49,
5838.000,10.59,
5837.000,10.69,
5836.000,10.79,
5835.000,10.89,
5834.000,10.98,
5833.000,11.08,
5832.000,11.17,
5831.000,11.26,
5830.000,11.36,
5829.000,11.45,
5828.000,11.55,
5827.000,11.66,
5826.000,11.77,
5825.000,11.87,
5824.000,11.98,
5823.000,12.08,
5822.000,12.18,
5821.000,12.29,
5820.000,12.39,
5819.000,12.49,
5818.000,12.6,
5817.000,12.71,
5816.000,12.82,
5815.000,12.93,
5814.000,13.04,
5813.000,13.14,
5812.000,13.25,
5811.000,13.36,
5810.000,13.47,
5809.000,13.59,
5808.000,13.7,
5807.000,13.82,
5806.000,13.93,
5805.000,14.04,
5804.000,14.16,
5803.000,14.26,
5802.000,14.37,
5801.000,14.48,
5800.000,14.59,
5799.000,14.7,
5798.000,14.81,
5797.000,14.92,
5796.000,15.03,
5795.000,15.14,
5794.000,15.25,
5793.000,15.35,
5792.000,15.45,
