,d2o 061 By Administrator Date Tuesday. December 14 2021,
Time,16:57:50,
Wavenumbers [1/cm],Transmittance %,
6609.000,13.0564,
6608.000,13.0652,
6607.000,13.0727,
6606.000,13.0772,
6605.000,13.0776,
6604.000,13.0762,
6603.000,13.0744,
6602.000,13.07,
6601.000,13.0608,
6600.000,13.0486,
6599.000,13.0359,
6598.000,13.0215,
6597.000,13.0029,
6596.000,12.9816,
6595.000,12.9598,
6594.000,12.9356,
6593.000,12.9061,
6592.000,12.8723,
6591.000,12.8374,
6590.000,12.8013,
6589.000,12.762,
6588.000,12.7199,
6587.000,12.6779,
6586.000,12.637,
6585.000,12.5972,
6584.000,12.5599,
6583.000,12.5271,
6582.000,12.4967,
6581.000,12.4635,
6580.000,12.4234,
6579.000,12.3753,
6578.000,12.3205,
6577.000,12.2626,
6576.000,12.2058,
6575.000,12.1519,
6574.000,12.1002,
6573.000,12.0502,
6572.000,12.003,
6571.000,11.9564,
6570.000,11.9056,
6569.000,11.849,
6568.000,11.7919,
6567.000,11.7394,
6566.000,11.6893,
6565.000,11.6359,
6564.000,11.5773,
6563.000,11.5161,
6562.000,11.4534,
6561.000,11.3887,
6560.000,11.323,
6559.000,11.2589,
6558.000,11.1977,
6557.000,11.1396,
6556.000,11.0852,
6555.000,11.0346,
6554.000,10.9845,
6553.000,10.9313,
6552.000,10.8749,
6551.000,10.818,
6550.000,10.7606,
6549.000,10.7003,
6548.000,10.6359,
6547.000,10.5701,
6546.000,10.5065,
6545.000,10.4467,
6544.000,10.3895,
6543.000,10.3327,
6542.000,10.2753,
6541.000,10.2182,
6540.000,10.1626,
6539.000,10.1073,
6538.000,10.0496,
6537.000,9.98831,
6536.000,9.92556,
6535.000,9.8627,
6534.000,9.79841,
6533.000,9.73216,
6532.000,9.66731,
6531.000,9.60853,
6530.000,9.55712,
6529.000,9.51038,
6528.000,9.46424,
6527.000,9.41492,
6526.000,9.35992,
6525.000,9.29971,
6524.000,9.23798,
6523.000,9.17869,
6522.000,9.12373,
6521.000,9.07348,
